sample_index,k_value,target_hash,scene_origin,max_target_theta_deg,min_target_separation_deg,source_dataset
421025,6,396017b231af88a0,existing45,56.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
421036,6,dae5d4696a30c77d,existing45,58.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
421029,6,3c29046545f2818c,existing45,58.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
426100,2,2755208fc5e24a8c,new30,37.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426101,2,144273c364ba1d06,new30,39.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426102,2,72064ab3fb89eb24,new30,40.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426103,2,bb41b1c83c9ea9ef,new30,37.0,18.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426104,2,391adad5546efec6,new30,39.0,32.71324920654297,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426105,2,a6b1b51090da767a,new30,41.0,33.82600784301758,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426106,2,1fb4084015c1aba8,new30,21.0,26.896507263183594,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426107,2,8019ac3b8235b95b,new30,41.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426108,2,750cb592ffbd7370,new30,24.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426109,2,ecb7ebf3cd4b3ddd,new30,32.0,18.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426110,4,d8080ec9c518a321,new30,39.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426111,4,a83e4c37ec47381b,new30,38.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426112,4,5048d515fd9ddf07,new30,32.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426113,4,c1488cc74eeab4e9,new30,42.0,23.56344223022461,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426114,4,7918db58c8dbee4f,new30,26.0,17.159866333007812,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426115,4,6d4ead10da8edb18,new30,35.0,21.58724594116211,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426116,4,c36ffca736bb3e6d,new30,40.0,22.431486129760742,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426117,4,2fee7c6cee3b1cb8,new30,41.0,22.9963321685791,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426118,4,718410264f397014,new30,29.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426119,4,db1c6884b4249566,new30,38.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426120,6,c7376dba61e083bc,new30,56.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426121,6,1838cc80c70b9e34,new30,50.0,13.433188438415527,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426122,6,fa34efa9ef22aa78,new30,58.0,13.988659858703613,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426123,6,7208612b03fff804,new30,56.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426124,6,7b395faec6c490b6,new30,56.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426125,6,b6324e86ff20ab4c,new30,58.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426126,6,93df69b6bd777ccf,new30,48.0,15.517605781555176,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426127,6,63e49bd8888e3169,new30,46.0,13.678428649902344,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426128,6,9ae6794eec54f5e0,new30,41.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
426129,6,e8801b2d170b8293,new30,43.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v16_robust_new_scenes_20260727_run01
