sample_index,ratio,initial_unique_masks,rescue_unique_masks,total_unique_masks
423000,0.6,32,8,40
423000,0.7,32,8,40
423000,0.8,32,8,40
423002,0.5,32,0,32
423002,0.6,32,0,32
423002,0.7,32,0,32
423002,0.8,32,0,32
423003,0.5,32,0,32
423003,0.6,32,0,32
423003,0.7,32,0,32
423003,0.8,32,0,32
423005,0.5,32,0,32
423005,0.6,32,0,32
423005,0.7,32,0,32
423005,0.8,32,0,32
423006,0.5,32,8,40
423006,0.6,32,8,40
423006,0.7,32,8,40
423006,0.8,32,8,40
423007,0.5,32,0,32
423007,0.6,32,0,32
423007,0.7,32,0,32
423007,0.8,32,0,32
423008,0.5,32,0,32
423008,0.6,32,0,32
423008,0.7,32,0,32
423008,0.8,32,0,32
423009,0.5,32,8,40
423009,0.6,32,8,40
423009,0.7,32,8,40
423009,0.8,32,8,40
423010,0.5,32,0,32
423010,0.6,32,0,32
423010,0.7,32,0,32
423010,0.8,32,0,32
423011,0.5,32,0,32
423011,0.6,32,0,32
423011,0.7,32,0,32
423011,0.8,32,0,32
423012,0.5,32,0,32
423012,0.6,32,0,32
423012,0.7,32,0,32
423012,0.8,32,0,32
423013,0.5,32,8,40
423013,0.6,32,8,40
423013,0.7,32,8,40
423013,0.8,32,8,40
423014,0.5,32,8,40
423014,0.6,32,8,40
423014,0.7,32,8,40
423014,0.8,32,8,40
423015,0.5,32,0,32
423015,0.6,32,0,32
423015,0.7,32,0,32
423015,0.8,32,0,32
423018,0.5,32,8,40
423018,0.6,32,8,40
423018,0.7,32,8,40
423018,0.8,32,8,40
426100,0.5,32,0,32
426100,0.6,32,0,32
426100,0.7,32,0,32
426100,0.8,32,0,32
426101,0.5,32,0,32
426101,0.6,32,0,32
426101,0.7,32,0,32
426101,0.8,32,0,32
426102,0.5,32,0,32
426102,0.6,32,0,32
426102,0.7,32,0,32
426102,0.8,32,0,32
426103,0.5,32,0,32
426103,0.6,32,0,32
426103,0.7,32,0,32
426103,0.8,32,0,32
426104,0.5,32,0,32
426104,0.6,32,0,32
426104,0.7,32,0,32
426104,0.8,32,0,32
426105,0.5,32,0,32
426105,0.6,32,0,32
426105,0.7,32,0,32
426105,0.8,32,0,32
426106,0.5,32,0,32
426106,0.6,32,0,32
426106,0.7,32,0,32
426106,0.8,32,0,32
426107,0.5,32,0,32
426107,0.6,32,0,32
426107,0.7,32,0,32
426107,0.8,32,0,32
426108,0.5,32,0,32
426108,0.6,32,0,32
426108,0.7,32,0,32
426108,0.8,32,0,32
426109,0.5,32,0,32
426109,0.6,32,0,32
426109,0.7,32,0,32
426109,0.8,32,0,32
426110,0.5,32,0,32
426110,0.6,32,0,32
426110,0.7,32,0,32
426110,0.8,32,0,32
426111,0.5,32,0,32
426111,0.6,32,0,32
426111,0.7,32,0,32
426111,0.8,32,0,32
426112,0.5,32,0,32
426112,0.6,32,0,32
426112,0.7,32,0,32
426112,0.8,32,0,32
426113,0.5,32,0,32
426113,0.6,32,0,32
426113,0.7,32,0,32
426113,0.8,32,0,32
426114,0.5,32,0,32
426114,0.6,32,0,32
426114,0.7,32,0,32
426114,0.8,32,0,32
426115,0.5,32,0,32
426115,0.6,32,0,32
426115,0.7,32,0,32
426115,0.8,32,0,32
426116,0.5,32,0,32
426116,0.6,32,0,32
426116,0.7,32,0,32
426116,0.8,32,0,32
426117,0.5,32,0,32
426117,0.6,32,0,32
426117,0.7,32,0,32
426117,0.8,32,0,32
426118,0.5,32,0,32
426118,0.6,32,0,32
426118,0.7,32,0,32
426118,0.8,32,0,32
426119,0.5,32,0,32
426119,0.6,32,0,32
426119,0.7,32,0,32
426119,0.8,32,0,32
426120,0.5,32,8,40
426120,0.6,32,8,40
426120,0.7,32,8,40
426120,0.8,32,8,40
426121,0.5,32,0,32
426121,0.6,32,0,32
426121,0.7,32,0,32
426121,0.8,32,0,32
426122,0.5,32,8,40
426122,0.6,32,8,40
426122,0.7,32,8,40
426122,0.8,32,8,40
426123,0.5,32,0,32
426123,0.6,32,0,32
426123,0.7,32,0,32
426123,0.8,32,0,32
426124,0.5,32,8,40
426124,0.6,32,8,40
426124,0.7,32,8,40
426124,0.8,32,8,40
426125,0.5,32,8,40
426125,0.6,32,8,40
426125,0.7,32,8,40
426125,0.8,32,8,40
426126,0.5,32,8,40
426126,0.6,32,8,40
426126,0.7,32,8,40
426126,0.8,32,8,40
426127,0.5,32,0,32
426127,0.6,32,0,32
426127,0.7,32,0,32
426127,0.8,32,0,32
426128,0.5,32,0,32
426128,0.6,32,0,32
426128,0.7,32,0,32
426128,0.8,32,0,32
426129,0.5,32,0,32
426129,0.6,32,0,32
426129,0.7,32,0,32
426129,0.8,32,0,32
