candidate_index,sample_index,sample_id,k,ratio,large_scan,min_target_separation_deg,selected_config,prior_combined_active_rl_db,refined_combined_active_rl_db,refined_combined_total_rl_db,refined_task_significant_active_rl_db,refined_task_strict_active_rl_db,dense_nearest_bound_ratio_max,dense_local_bound_ratio_max,combined_target_error_max,baseline_psll_db,refined_psll_db,baseline_nearest_iso_db,refined_nearest_iso_db,baseline_local_iso_db,refined_local_iso_db,baseline_weakest_target_gain_db,refined_weakest_target_gain_db,refined_target_spread_db,refined_pointing_error_deg,equal_weakest_gain_power_ratio,gate15,strict_gate20,mainlobe_gate,combined_active_gate,robust_active_RL_gate,strict_engineering_gate,unique_local_points_min,unique_local_points_mean,unique_local_points_max,dense_task_region_point_uses
17,17,tv017_s017_k1_r1.0,1,1.0,1,180.0,dense_equal20,9.98487394376695,10.023330508176302,12.543399339110117,10.023330508176302,10.023330508176302,0.0,0.0,2.905028932056498e-17,1.7908505590922772,3.5221023559570312,300.0,300.0,300.0,300.0,82.93021551300012,80.85385131835938,0.0,1.851360657265757,1.6130076215681186,0,0,0,1,1,0,45,45.0,45,0
18,18,tv018_s018_k2_r0.5,2,0.5,0,30.836536407470703,dense_preserve30,10.205918356736454,10.076602110196127,11.263674964521915,10.176984932432742,10.176984932432742,0.42626658467187833,0.8233181374256912,8.789142012993012e-12,-11.693332541222375,-11.125694274902344,33.41475408324651,32.54292297363281,18.324492243515266,22.885704040527344,81.73504360251576,81.59661102294922,0.7847442626953125,0.753272392411596,1.0323887371423044,1,1,1,1,1,1,59,72.0,85,142
19,19,tv019_s019_k2_r0.5,2,0.5,1,53.63685989379883,dense_preserve30,10.126672277896647,10.033672145891938,10.768357911552606,10.01493925654116,10.01493925654116,0.8580805524336927,0.7966272287018012,5.564165058281281e-12,-7.812351053317272,-6.4981689453125,26.999857984399867,27.570083618164062,14.076333361310802,23.832191467285156,79.70222681238218,79.35733032226562,2.5599288940429688,0.8411287694562455,1.0826539108124196,1,1,1,1,1,1,49,398.0,747,794
20,20,tv020_s020_k2_r0.5,2,0.5,1,54.766170501708984,dense_preserve30,10.145728746905485,10.340504345846142,11.291768849255435,10.028860494386546,10.028860494386546,1.007702389347425,0.8688031336544131,1.1883535954319104e-11,-6.595932507824045,-6.515663146972656,23.83257048168882,25.495601654052734,18.17206609854012,24.106468200683594,79.62276364644353,79.38935852050781,3.4564361572265625,0.7989188925666157,1.0552139223371542,1,1,0,1,1,0,42,283.5,525,565
21,21,tv021_s021_k2_r0.6,2,0.6000000238418579,0,33.27549362182617,dense_preserve30,10.263478348191619,10.039290883764506,11.155248157677683,10.028348384448291,10.028348384448291,0.5085329647309599,0.8168609366531346,5.9103167774090666e-12,-12.354307347497738,-11.5052490234375,33.45302324298039,33.744384765625,14.204463084770879,22.465225219726562,82.6731516121633,82.3488540649414,1.019439697265625,0.6708795507678821,1.0775309535683633,1,1,1,1,1,1,63,312.0,561,622
22,22,tv022_s022_k2_r0.6,2,0.6000000238418579,1,28.5905818939209,dense_preserve30,10.293429862327518,10.067547828184928,12.287359464760963,10.066173208470472,10.066173208470472,1.4329379397006794,0.9972387456367856,4.579620568408188e-11,-5.248096364109415,-5.644264221191406,21.40518193652997,24.325504302978516,19.56073588344851,21.999614715576172,80.14918107710554,79.89085388183594,1.2685928344726562,1.8942304360002395,1.0612866946805979,0,0,0,1,1,0,47,49.0,51,96
23,23,tv023_s023_k2_r0.6,2,0.6000000238418579,1,70.64033508300781,dense_preserve30,10.13372077247956,10.146187895220471,10.804637886983706,10.147515890460284,10.147515890460284,0.8173308797804056,0.8007228935362286,1.8085642296054057e-12,-5.195956648762291,-5.331062316894531,29.163708332340136,29.529926300048828,17.613957203346757,23.651046752929688,80.80062743394448,80.59180450439453,2.7721481323242188,1.290335458576411,1.0492580092014931,1,1,1,1,1,1,47,78.0,109,154
24,24,tv024_s024_k2_r0.7,2,0.699999988079071,0,25.092235565185547,dense_equal20,10.216638926823347,10.135778927580239,11.171141170808843,10.029945622341131,10.029945622341131,0.9856984247596554,0.7205400509841459,2.17507196361199e-11,-11.532748852472139,-12.480804443359375,35.40755931675162,28.123149871826172,15.914342684658749,24.439353942871094,83.52160199409484,83.56539916992188,0.0113983154296875,0.5027963584743803,0.9899660073852815,1,1,1,1,1,1,109,394.5,680,787
25,25,tv025_s025_k2_r0.7,2,0.699999988079071,1,80.07714080810547,dense_equal20,10.136191296043824,10.136191236874595,11.142211338635768,10.025710548275228,10.025710548275228,0.9705717100155073,1.2225739924150902,0.4851181715528276,-6.3401548525392855,-6.388450622558594,22.69472957372996,26.106712341308594,18.662848317426977,18.853553771972656,80.8206362008298,80.91080474853516,2.7741012573242188,0.9141719072705323,0.9794519725872527,1,0,1,1,1,0,45,72.5,100,143
26,26,tv026_s026_k2_r0.7,2,0.699999988079071,1,55.273494720458984,dense_preserve30,10.146897410838122,10.14689732616844,11.081157424143747,10.072741843164806,10.072741843164806,0.5843483585384592,1.1855280774058623,0.07939892521742356,-5.375051911680075,-5.718498229980469,21.87642913859301,30.799213409423828,18.307999754306678,20.528060913085938,79.80655136556213,79.64741516113281,3.3627548217773438,2.4851305324312665,1.037322075796062,1,1,0,1,1,0,47,277.5,508,553
27,27,tv027_s027_k2_r0.8,2,0.800000011920929,0,14.186053276062012,dense_equal20,10.254212354436342,10.229236969818004,11.663348151914635,10.021916219896799,10.021916219896799,1.0675641224499628,0.8784018266298835,3.156143015572577e-11,-14.113926432951402,-12.143714904785156,27.591721553509764,26.384605407714844,14.466945181265999,23.875320434570312,84.58119076629005,84.1065673828125,0.0401763916015625,0.7521484878180047,1.1154814135462983,1,1,1,1,1,1,115,225.5,336,449
28,28,tv028_s028_k2_r0.8,2,0.800000011920929,1,55.8316764831543,dense_preserve30,10.12079248108671,10.077745582612238,12.029931329671008,10.04199359390768,10.04199359390768,1.2637836116607482,0.9035105052236354,2.2745559544946556e-11,-5.931903958877442,-6.123222351074219,22.413544294609366,25.13116455078125,21.068914196409594,23.44732666015625,81.61979853645389,81.25288391113281,2.4773941040039062,1.9707308196750868,1.0881567553526232,1,1,0,1,1,0,50,423.5,797,845
29,29,tv029_s029_k2_r0.8,2,0.800000011920929,1,82.30632781982422,dense_preserve30,10.370183649245334,10.208849470625616,12.23621911528278,10.018927133261453,10.018927133261453,0.8175436782621012,0.8062641685211488,2.7890201389009877e-12,-5.045859319688333,-4.8849334716796875,27.355190388943967,27.47406005859375,23.1811527466298,22.32624053955078,81.7133225406482,81.53861999511719,0.4310760498046875,1.597575792829073,1.041046802404967,1,1,0,1,1,0,46,46.5,47,91
30,30,tv030_s030_k2_r0.9,2,0.8999999761581421,0,31.914785385131836,dense_equal20,10.065734416448409,10.044921465611875,12.241384213028919,10.008860725213912,10.008860725213912,0.5904131961560148,0.7053183792964233,8.009443244567809e-13,-15.260789897703035,-14.649528503417969,28.056505800385544,32.57270050048828,18.399038147577755,25.78345489501953,85.4520164129789,85.39421844482422,0.0104522705078125,0.5250123889861675,1.0133974258944671,1,1,1,1,1,1,140,144.5,149,287
31,31,tv031_s031_k2_r0.9,2,0.8999999761581421,1,35.052467346191406,dense_preserve30,10.386598407380864,10.386598237139113,14.240706352837824,10.031072526606238,10.031072526606238,0.7367903011924979,1.3133235168021966,0.07503960515474585,-3.1742641716225535,-3.3123626708984375,23.221371889896147,30.49837875366211,19.626333707449476,20.98712158203125,82.11128838725932,81.9700927734375,1.7291107177734375,2.877363310332569,1.0330457643813156,1,1,0,1,1,0,42,51.0,60,100
32,32,tv032_s032_k2_r0.9,2,0.8999999761581421,1,19.151371002197266,dense_preserve30,10.103795247326339,10.018732859749885,12.26930502455911,10.016862555315393,-6.184450972734982,0.8868629238562288,0.8293782503190466,1.4640209540101896e-11,-3.9286051216170677,-3.2998275756835938,28.212860194418624,29.035667419433594,14.75382439563623,24.760944366455078,82.01466993535783,81.90926361083984,1.9689483642578125,2.979667590576027,1.024567634044018,1,1,0,1,1,0,47,54.0,61,106
33,33,tv033_s033_k2_r1.0,2,1.0,0,39.66925811767578,dense_preserve30,10.239922146012375,10.256282765338016,13.028598028553029,10.030654181369044,10.030654181369044,0.3573127147381503,0.37956666309851483,1.5569461934427064e-11,-14.803960297957573,-13.825286865234375,32.548334744742355,35.78599166870117,30.83925485578723,30.833816528320312,85.48983336562416,85.4566650390625,0.1712493896484375,0.4677607853623416,1.007666527911816,1,1,1,1,1,1,87,97.5,108,193
34,34,tv034_s034_k2_r1.0,2,1.0,1,57.99696350097656,dense_preserve30,10.142797727754543,10.081788625108928,15.12255787453439,10.096755647189026,10.096755647189026,0.9306083973703682,0.8541373238056036,1.769214291556023e-11,-6.374471346324725,-6.471351623535156,26.613991075082744,27.846256256103516,21.6359952367269,23.85137939453125,83.24681882205869,83.11705017089844,0.739471435546875,2.5174806211155727,1.0303312331947625,1,1,0,1,1,0,49,55.5,62,109
35,35,tv035_s035_k2_r1.0,2,1.0,1,51.33946228027344,dense_preserve30,9.140416653027323,9.140416901596687,12.373435672312084,9.109059429679153,-11.268772962615508,1.0000002944714999,1.7375262998529954,0.12923759001440863,-2.7520053599896244,-1.02313232421875,22.317475425614617,26.80835723876953,16.819396814843557,18.357040405273438,80.67032072809518,80.41838073730469,2.9050140380859375,3.1214658169817042,1.0597269988651672,1,0,0,0,0,0,46,168.0,290,334
36,36,tv036_s036_k4_r0.5,4,0.5,0,21.625534057617188,dense_equal20,10.191635926152859,10.338578506092757,11.226022009150196,10.047130705747591,10.047130705747591,1.0897110635768392,0.8383524902204954,5.903180226178564e-11,-6.661358587299233,-6.277412414550781,25.266443166959967,26.748680114746094,17.37186972611717,22.622310638427734,78.0315966353246,78.27159118652344,0.16300201416015625,0.40515532954041805,0.9462383485467493,1,1,1,1,1,1,62,108.25,166,1287
37,37,tv037_s037_k4_r0.5,4,0.5,1,21.323556900024414,dense_preserve30,10.098408573181349,10.065120753296048,11.165510310121245,10.0361145039029,10.0361145039029,0.8292266245300036,0.8112900172826503,4.54694640395621e-12,-4.695358052534189,-3.78021240234375,23.516929282185934,27.588851928710938,15.419537362126846,22.06029510498047,76.31593345703537,75.98095703125,3.4593582153320312,0.426165686821786,1.0801837574519113,1,1,0,1,1,0,44,95.5,157,1134
38,38,tv038_s038_k4_r0.5,4,0.5,1,13.506495475769043,dense_preserve30,10.630020969025153,10.103016946223262,10.986723086473189,10.020558123854936,5.338073032589367,0.92595434034061,0.8545989116606161,3.629944502315919e-11,-1.8775868510202827,-2.3513717651367188,21.45586050203442,28.201683044433594,14.04799283993691,22.616806030273438,74.42449913062,74.02635192871094,3.716888427734375,2.1649483832744005,1.096010513613993,1,1,0,1,1,0,46,165.75,462,1977
39,39,tv039_s039_k4_r0.6,4,0.6000000238418579,0,15.059062004089355,dense_equal20,10.420822267420867,10.01654025868177,10.944394120470909,10.04565444977366,10.04565444977366,0.7121973368669852,0.7099121809235761,1.6298092014480884e-12,-8.624082163189314,-9.437660217285156,25.760131057607737,28.79491424560547,17.539132280588603,23.133731842041016,79.95451403626237,80.09257507324219,0.10880279541015625,0.8796393222310983,0.9687102527580997,1,1,1,1,1,1,94,285.75,805,3417
40,40,tv040_s040_k4_r0.6,4,0.6000000238418579,1,13.3247652053833,dense_preserve30,10.194650756860359,10.194650943088195,11.00689337043354,10.050148315901652,10.050148315901652,1.0027240513763864,2.2496542746869728,0.035465306501384686,-4.1791567969171695,-2.7686309814453125,23.045345224700952,27.00052261352539,16.755065342981027,15.534614562988281,77.56120308491691,77.66383361816406,2.263671875,2.992590094908055,0.9766454849936852,1,0,0,1,1,0,52,129.5,284,1542
41,41,tv041_s041_k4_r0.6,4,0.6000000238418579,1,24.257118225097656,dense_equal20,10.128039472718456,10.039722874239118,11.538489234129566,10.119521335217904,10.119521335217904,2.4772257434869323,1.456259230282244,2.434848279136458e-10,-4.895189503627847,-4.424629211425781,22.11521156507633,19.660354614257812,18.408147116274833,19.475494384765625,77.2496654672929,78.7126235961914,0.1775360107421875,0.9504306848392212,0.7140098237900457,0,0,1,1,1,0,47,75.25,113,891
42,42,tv042_s042_k4_r0.7,4,0.699999988079071,1,23.54428482055664,dense_preserve30,10.08968633704501,10.116212669958678,11.389971605739147,10.024549753387536,10.024549753387536,0.8985452771971395,0.8297446321937336,1.3035401705473617e-11,-8.695882118016556,-7.3621826171875,24.67746425867523,28.098251342773438,18.181388327941534,22.657470703125,78.71586957414667,78.54948425292969,2.4954986572265625,1.4114732699568016,1.0390549894034578,1,1,1,1,1,1,50,206.0,609,2460
43,43,tv043_s043_k4_r0.7,4,0.699999988079071,1,31.78203010559082,dense_preserve30,10.193744250598096,10.224717430141517,11.242725849124188,10.045006001579615,10.045006001579615,0.9530708489184877,0.8504131714094887,1.904314597776066e-11,-4.64079123797984,-3.9650497436523438,23.520249437985342,25.983928680419922,16.215057170314196,22.237377166748047,77.49087184840099,77.3482437133789,3.8905410766601562,2.0030697772704658,1.0333865709337524,1,1,0,1,1,0,42,99.0,217,1176
44,44,tv044_s044_k4_r0.7,4,0.699999988079071,1,25.887489318847656,dense_preserve30,10.165133677469544,10.119016654022708,11.2858826850956,10.028252779241647,5.211090576972292,0.84484131364921,0.8137989743125251,7.472562223775294e-12,-4.480455715735474,-3.8423233032226562,24.753928796202388,27.197296142578125,15.992276823044193,22.686058044433594,76.21323166206872,75.8623046875,3.82745361328125,2.00176867397502,1.0841582961741882,1,1,0,1,1,0,41,66.5,88,786
45,45,tv045_s045_k4_r0.8,4,0.800000011920929,1,17.196489334106445,dense_preserve30,10.202411732807121,10.139429718061418,11.968599741550781,10.053542777259574,10.053542777259574,0.8577212078414571,0.8206796300992814,9.963031200547245e-12,-5.517826249284354,-6.4200286865234375,23.8232654284051,27.58385467529297,16.605921276383,22.366092681884766,79.26077275895727,79.07560729980469,2.6510696411132812,1.2409181692031352,1.0435578898340467,1,1,1,1,1,1,46,138.0,383,1644
46,46,tv046_s046_k4_r0.8,4,0.800000011920929,1,11.813552856445312,dense_preserve30,10.17952817964767,10.047957826895432,12.408873874354779,10.049443200840255,10.049443200840255,0.8380077871867487,0.8440292093366494,6.500199686457002e-12,-5.6298079344979755,-5.2727508544921875,25.169045957289136,28.033523559570312,14.921870161027869,22.371597290039062,78.0970925280478,77.90213775634766,3.2984695434570312,1.3917167365726981,1.0459127980604437,1,1,0,1,1,0,47,67.0,111,792
47,47,tv047_s047_k4_r0.8,4,0.800000011920929,1,39.343414306640625,dense_preserve30,10.580015416853023,10.301453889319527,13.3946209467803,10.063010874966913,10.063010874966913,0.8772198903996238,0.8161417606432617,8.633613114132652e-12,-4.930288132170588,-4.091522216796875,26.839128735728366,27.125385284423828,19.715406027838142,22.407085418701172,78.31335915393132,78.44908905029297,1.6413040161132812,2.8268360708288816,0.9692303620575006,1,1,0,1,1,0,47,52.5,55,618
48,48,tv048_s048_k4_r0.9,4,0.8999999761581421,0,13.632284164428711,dense_equal20,10.203832293908055,10.435714785787022,12.360737762135344,10.0328399334499,10.0328399334499,0.7121399649253315,0.7091476013423595,8.27370908649261e-13,-10.501397935852594,-9.633438110351562,24.815133884755795,28.54845428466797,17.428076301274416,23.40192413330078,80.82247303253469,81.51679992675781,0.0618133544921875,1.1703168677400844,0.8522505900417046,1,1,1,1,1,1,77,121.0,140,1440
49,49,tv049_s049_k4_r0.9,4,0.8999999761581421,1,30.004592895507812,dense_equal20,10.267382744901326,10.07571057773908,13.747419843775187,10.070046715862851,10.070046715862851,0.9360817410140364,0.8049283933037494,3.1774063111764835e-11,-5.9075741857508035,-6.189659118652344,25.800515237972007,26.092552185058594,20.274022794044697,22.892845153808594,79.40848644970248,79.78682708740234,0.10167694091796875,1.3188517201753525,0.9165706286312615,1,1,1,1,1,1,45,50.5,63,594
50,50,tv050_s050_k4_r0.9,4,0.8999999761581421,1,16.084293365478516,dense_preserve30,10.251748177364966,10.062532234564298,12.410042045376455,10.032136630770347,10.032136630770347,0.7882768125444671,0.7948387324466729,1.6668505472221767e-13,-4.216205965626102,-3.870880126953125,26.990466879444014,29.731643676757812,16.81676817319729,23.34387969970703,78.14317954364122,78.18850708007812,2.92572021484375,2.904077063761827,0.9896172260514994,1,1,0,1,1,0,46,69.75,119,825
51,51,tv051_s051_k4_r1.0,4,1.0,0,19.107898712158203,dense_equal20,10.122152021921341,10.175200209615504,12.263115221619877,10.024877893532517,10.024877893532517,0.9175772692796141,0.8153837038687511,4.673311811898299e-11,-11.517920151017236,-13.065155029296875,24.714227706687325,26.189865112304688,16.87736143891827,23.806007385253906,82.10483418161283,82.33126831054688,0.01485443115234375,0.7467348602670818,0.9491975030735169,1,1,1,1,1,1,80,193.5,428,2310
52,52,tv052_s052_k4_r1.0,4,1.0,1,28.844627380371094,dense_equal20,10.178721003251837,10.138352660473702,14.212591777732015,10.002107794077336,10.002107794077336,2.7232940621566546,1.6140619175579212,2.9038201176738025e-10,-6.6990532494430965,-6.4168548583984375,24.44869860320587,19.0518798828125,19.156308701530463,18.328475952148438,80.23668608029945,80.55426025390625,0.3341064453125,2.1312306992707266,0.929485421849285,0,0,0,1,1,0,51,235.75,780,2817
53,53,tv053_s053_k4_r1.0,4,1.0,1,40.21367263793945,dense_preserve30,10.017495238606532,10.038036133133087,13.301883968901457,9.560784175748495,9.560784175748495,1.0214537255890082,0.8688685126969411,1.905388978752195e-11,-4.419468006615915,-3.2548980712890625,26.41148413689119,27.63953399658203,18.34417524993438,24.174030303955078,79.66900730268686,79.48060607910156,2.4432296752929688,2.8423492746787966,1.0443356951908618,1,1,0,1,0,0,47,75.25,150,891
54,54,tv054_s054_k6_r0.5,6,0.5,1,27.88064956665039,dense_preserve30,10.143900496865834,10.41624580757061,11.319533482481098,10.031436578465021,10.031436578465021,0.8278648127576776,0.806831063510696,6.52900561430172e-12,-3.6342093975465133,-2.8405075073242188,22.979385434442165,27.38541030883789,12.160737106653528,22.24361801147461,74.42822778652364,73.99967193603516,3.7999496459960938,2.5594857694099975,1.1037115441976257,1,1,0,1,1,0,47,83.16666666666667,169,2465
55,55,tv055_s055_k6_r0.5,6,0.5,1,17.667423248291016,dense_preserve30,10.402774594699927,10.177869800826604,11.703031067253331,10.03010974322158,10.03010974322158,0.8333617310212064,0.8155252067175567,1.1750090721023025e-11,-1.4804866832751031,-0.7872390747070312,21.759227193779623,27.440597534179688,14.621628731530706,22.413532257080078,75.08993289848856,74.96089172363281,3.116943359375,4.031996014416079,1.0301586593270946,1,1,0,1,1,0,47,164.66666666666666,623,4910
56,56,tv056_s056_k6_r0.5,6,0.5,1,12.149877548217773,dense_preserve30,10.19140538632599,10.344679569853161,11.098383965864556,10.002402562151023,10.002402562151023,0.7992373121063502,0.8176393761117245,2.155518805052647e-12,-1.863733666136767,-0.743743896484375,21.594419812533005,27.868545532226562,11.866480632115,22.100727081298828,72.32301006691092,71.87393188476562,5.234222412109375,1.307392883786249,1.1089394107874582,1,1,0,1,1,0,45,230.66666666666666,764,6890
57,57,tv057_s057_k6_r0.6,6,0.6000000238418579,1,15.85890007019043,dense_preserve30,10.372591018978305,10.170602597500977,11.41928710657539,10.021153380594075,10.021153380594075,0.8243878794165075,0.8065304941064035,6.8595494833082484e-12,-5.811442170098772,-4.295082092285156,23.0359931917804,26.82114028930664,11.145336229906661,22.25808334350586,75.5826696892674,75.33078002929688,3.643218994140625,0.8814230690208881,1.0597147176546184,1,1,0,1,1,0,48,89.16666666666667,133,2645
58,58,tv058_s058_k6_r0.6,6,0.6000000238418579,1,14.846776962280273,dense_preserve30,10.56535399843488,10.223683197552347,10.889812614206573,10.010900623164074,10.010900623164074,0.9870512947297719,0.862085785315502,3.778104189813273e-11,-4.52811806849877,-3.3872528076171875,23.014037158006218,26.3765869140625,14.34931613048758,21.9871826171875,75.30848966256463,74.91148376464844,3.7107315063476562,0.8738429095860547,1.095722525421808,1,1,0,1,1,0,46,116.66666666666667,286,3470
59,59,tv059_s059_k6_r0.6,6,0.6000000238418579,1,18.34391975402832,dense_preserve30,10.306848090145444,10.078449257722518,11.10179347880952,10.018190787064325,10.018190787064325,0.822268162760263,0.8093977681739819,3.1607880055332914e-12,-2.76767763716407,-2.6542129516601562,22.065733371579,27.388015747070312,16.792111744856086,22.242511749267578,75.09162684496927,74.76715850830078,4.279853820800781,3.9832250370243476,1.0775733290857932,1,1,0,1,1,0,42,168.66666666666666,654,5030
