k,ratio,large_scan,candidate_count,combined_active_gate_count,combined_active_gate_rate,robust_active_gate_count,robust_active_gate_rate,gate15_count,strict_gate20_count,mainlobe_gate_count,strict_engineering_gate_count,strict_engineering_gate_rate,mean_active_rl_improvement_db,max_active_rl_improvement_db,mean_equal_weakest_gain_power_ratio
2,0.9,0,1,1,1.0,0,0.0,1,0,1,0,0.0,2.5558513577444915,2.5558513577444915,1.0096391438225434
2,0.9,1,2,2,1.0,1,0.5,2,1,0,0,0.0,7.751676009039328,7.848001144615077,1.0190914924703192
2,0.9,all,3,3,1.0,1,0.3333333333333333,3,1,1,0,0.0,6.019734458607716,7.848001144615077,1.0159407095877273
2,1.0,0,1,1,1.0,1,1.0,1,1,1,1,1.0,8.57935315223542,8.57935315223542,0.9934050008702675
2,1.0,1,2,1,0.5,1,0.5,2,1,0,0,0.0,9.594868745126089,10.488021408062636,1.0490685378631013
2,1.0,all,3,2,0.6666666666666666,2,0.6666666666666666,3,2,1,1,0.3333333333333333,9.256363547495866,10.488021408062636,1.0305140255321568
2,all,all,18,17,0.9444444444444444,13,0.7222222222222222,16,7,10,1,0.05555555555555555,7.38520998900799,10.488021408062636,1.0213132429795064
4,0.5,0,1,1,1.0,1,1.0,1,0,1,0,0.0,5.734745209184197,5.734745209184197,1.042276183788391
4,0.5,1,2,2,1.0,2,1.0,1,0,0,0,0.0,7.115960735255483,8.861039659519037,1.0160808050077623
4,0.5,all,3,3,1.0,3,1.0,2,0,1,0,0.0,6.655555559898388,8.861039659519037,1.0248125979346385
4,0.6,0,1,1,1.0,1,1.0,1,0,1,0,0.0,12.90333905051935,12.90333905051935,1.0918118012859193
4,0.6,1,2,2,1.0,2,1.0,2,0,0,0,0.0,10.339455835517622,12.084908942340032,0.9656458915164887
4,0.6,all,3,3,1.0,3,1.0,3,0,1,0,0.0,11.19408357385153,12.90333905051935,1.0077011947729655
4,0.7,1,3,3,1.0,3,1.0,3,0,1,0,0.0,6.259926699422049,7.28717326977794,1.0295457828292802
4,0.7,all,3,3,1.0,3,1.0,3,0,1,0,0.0,6.259926699422049,7.28717326977794,1.0295457828292802
4,0.8,1,3,3,1.0,3,1.0,2,0,1,0,0.0,6.340878369518759,7.3472419000659865,0.9477814112813362
4,0.8,all,3,3,1.0,3,1.0,2,0,1,0,0.0,6.340878369518759,7.3472419000659865,0.9477814112813362
4,0.9,0,1,1,1.0,1,1.0,1,0,1,0,0.0,4.8258822269785835,4.8258822269785835,1.0257424981334557
4,0.9,1,2,2,1.0,2,1.0,2,1,1,1,0.5,7.403913399089368,8.09268205107924,0.9976989085717862
4,0.9,all,3,3,1.0,3,1.0,3,1,2,1,0.3333333333333333,6.54456967505244,8.09268205107924,1.0070467717590095
4,1.0,0,1,1,1.0,0,0.0,1,0,1,0,0.0,6.248088783715333,6.248088783715333,0.9880433982334151
4,1.0,1,2,2,1.0,0,0.0,2,1,0,0,0.0,8.108053062266638,8.91053659752008,1.0275689114062356
4,1.0,all,3,3,1.0,0,0.0,3,1,1,0,0.0,7.488064969416203,8.91053659752008,1.0143937403486287
4,all,all,18,18,1.0,15,0.8333333333333334,16,2,7,1,0.05555555555555555,7.4138464745265615,12.90333905051935,1.0052135831543096
6,0.5,0,2,2,1.0,2,1.0,0,0,0,0,0.0,13.37158364760705,15.920051042694771,1.3660606396372015
6,0.5,1,5,4,0.8,3,0.6,1,0,0,0,0.0,10.981599929624128,22.23015943806189,2.1820018247211173
6,0.5,all,7,6,0.8571428571428571,5,0.7142857142857143,1,0,0,0,0.0,11.664452420476392,22.23015943806189,1.9488757718399985
6,0.6,0,2,2,1.0,1,0.5,0,0,0,0,0.0,15.938873506185963,16.026837635865043,1.4687749660908933
6,0.6,1,5,4,0.8,3,0.6,2,0,0,0,0.0,13.448285337405554,30.173831374043353,2.1245661476738213
6,0.6,all,7,6,0.8571428571428571,4,0.5714285714285714,2,0,0,0,0.0,14.159881957057097,30.173831374043353,1.9371972386501273
6,0.7,0,2,2,1.0,1,0.5,0,0,0,0,0.0,13.29919024301319,14.57970846460837,1.5317032271617885
6,0.7,1,5,4,0.8,3,0.6,3,0,1,0,0.0,13.723114438737976,24.026721750043137,1.711265740507335
6,0.7,all,7,6,0.8571428571428571,4,0.5714285714285714,3,0,1,0,0.0,13.601993239959468,24.026721750043137,1.6599621652657501
6,0.8,0,2,2,1.0,0,0.0,0,0,0,0,0.0,15.131994230335883,17.842731669607232,1.5736628818958383
6,0.8,1,5,4,0.8,2,0.4,2,0,1,0,0.0,13.288036150220972,24.86420238862209,2.3145637815126534
6,0.8,all,7,6,0.8571428571428571,2,0.2857142857142857,2,0,1,0,0.0,13.814881315968089,24.86420238862209,2.1028778101935637
6,0.9,0,2,2,1.0,0,0.0,0,0,0,0,0.0,20.269585032066097,21.34896563385639,1.7428547113334738
6,0.9,1,5,3,0.6,3,0.6,1,0,1,0,0.0,12.170818514586733,23.73297802822898,2.0979564974054923
6,0.9,all,7,5,0.7142857142857143,3,0.42857142857142855,1,0,1,0,0.0,14.484751805295122,23.73297802822898,1.9964988442420584
6,1.0,0,2,2,1.0,0,0.0,0,0,0,0,0.0,15.963216471030854,20.917784620547696,1.799160313493973
6,1.0,1,5,3,0.6,0,0.0,1,1,0,0,0.0,12.585784319706537,20.72694964012956,2.1936545930127664
6,1.0,all,7,5,0.7142857142857143,0,0.0,1,1,0,0,0.0,13.550764934370628,20.917784620547696,2.0809419417216826
6,all,all,42,34,0.8095238095238095,18,0.42857142857142855,10,1,3,0,0.0,13.546120945521134,30.173831374043353,1.9543922953188633
all,all,all,96,85,0.8854166666666666,62,0.6458333333333334,59,27,30,11,0.11458333333333333,10.3300709364875,32.47006968271016,1.4359507786949253
