Theta[deg],Phi[deg],re(rETheta)[mV],im(rETheta)[mV],re(rEPhi)[mV],im(rEPhi)[mV]
115,20,-386.11,529.24,-1138.09,706.964
120,20,-336.453,679.894,-958.399,715.561
125,20,-282.82,841.06,-752.129,699.822
130,20,-225.993,1005.51,-521.047,667.889
135,20,-166.528,1159.94,-276.129,625.76
140,20,-104.543,1285.17,-37.8336,578.839
145,20,-40.593,1357.7,167.487,532.913
150,20,22.9864,1352.96,314.531,493.915
155,20,81.5138,1250.38,386.851,466.579
160,20,129.117,1040.08,381.964,452.782
165,20,161.233,729.253,311.267,450.349
170,20,176.749,345.756,194.918,452.628
175,20,178.007,-64.0113,54.5461,448.783
180,20,168.307,-443.657,-92.4283,424.986
0,25,5589.81,788.147,13184.2,-142.28
5,25,5195.77,-799.922,13056.3,-2485.5
10,25,4516.07,-2276.28,12343.8,-4687.06
15,25,3628.39,-3505.26,11129.2,-6585.19
20,25,2632.22,-4394.08,9541.99,-8055.14
25,25,1631.62,-4906.56,7737.34,-9022.95
30,25,717.044,-5061.63,5871.27,-9471.25
35,25,-48.1875,-4918.62,4078.76,-9435.75
40,25,-632.844,-4556.3,2459.7,-8992.87
45,25,-1034.44,-4054.16,1074.65,-8242.07
50,25,-1270.97,-3481.28,-50.8943,-7288.04
55,25,-1372.03,-2892.51,-918.049,-6227.24
60,25,-1371.73,-2329.07,-1545.49,-5140.5
65,25,-1303.96,-1819.81,-1962.3,-4090.86
70,25,-1199.08,-1382.05,-2203.02,-3124.26
75,25,-1081.6,-1022.26,-2304.07,-2271.28
80,25,-968.737,-737.339,-2300.79,-1549.03
85,25,-870.123,-517.052,-2224.82,-963.024
90,25,-788.63,-346.84,-2102.14,-509.173
95,25,-722.045,-210.508,-1951.79,-175.989
100,25,-665.155,-92.1973,-1785.69,53.2337
105,25,-611.881,22.4044,-1609.23,198.19
110,25,-557.136,145.314,-1422.49,279.32
115,25,-498.128,285.532,-1222.04,315.61
120,25,-434.75,448.001,-1003.32,322.755
125,25,-368.882,632.179,-763.733,312.247
130,25,-302.852,830.551,-505.934,291.807
135,25,-237.91,1027.68,-240.588,267.02
140,25,-173.773,1200.48,13.0844,243.227
145,25,-109.728,1320.15,230.129,226.407
150,25,-46.5384,1356.21,386.009,222.374
155,25,12.529,1282.58,463.994,234.792
160,25,62.8861,1085.29,460.429,263.372
165,25,101.59,770.127,385.185,303.248
170,25,129.873,367.186,257.103,345.429
175,25,152.827,-71.0157,97.0788,377.551
180,25,175.722,-479.009,-77.4077,384.701
0,30,6717.62,772.747,12646.9,-210.43
5,30,6313.25,-1081.78,12520.8,-2541.86
10,30,5548.94,-2802.35,11808.6,-4738.12
15,30,4517.72,-4229.61,10591.7,-6637.61
20,30,3341.89,-5255.91,9000.33,-8114.33
25,30,2150.29,-5841.16,7192.48,-9092.55
30,30,1054.55,-6010.4,5327.78,-9553.98
35,30,131.912,-5835.36,3544.1,-9534.97
40,30,-580.475,-5409.09,1942.16,-9113.77
45,30,-1080.32,-4823.97,581.184,-8391.59
50,30,-1389.05,-4159.18,-516.219,-7473.52
55,30,-1540.52,-3477.15,-1354.22,-6454.57
60,30,-1572.8,-2824.81,-1953.72,-5412.79
65,30,-1523.17,-2235.41,-2344.68,-4408.1
70,30,-1425.06,-1729.29,-2561.27,-3483.91
75,30,-1305.8,-1314.5,-2638.72,-2669.25
80,30,-1185.17,-988.019,-2610.83,-1980.6
85,30,-1074.88,-738.366,-2507.81,-1423.36
90,30,-979.337,-548.774,-2354.47,-993.434
95,30,-897.274,-400.261,-2169.33,-679.075
100,30,-824.066,-273.952,-1964.45,-462.96
105,30,-754.115,-152.554,-1746.27,-324.512
110,30,-682.968,-21.2879,-1516.74,-242.41
115,30,-608.739,131.231,-1274.95,-197.099
120,30,-532.418,311.759,-1019.06,-172.867
125,30,-456.881,520.738,-748.659,-158.8
130,30,-384.974,750.488,-467.49,-148.144
135,30,-317.699,983.989,-185.891,-136.347
140,30,-253.761,1195.08,78.3341,-118.94
145,30,-190.998,1350.71,301.958,-90.7608
150,30,-128.733,1415.5,461.598,-47.1939
155,30,-69.037,1358.8,540.638,13.4418
160,30,-15.3199,1163.36,534.658,88.1908
165,30,31.1811,834.148,452.484,169.631
170,30,74.2728,403.742,312.248,247.36
175,30,122.034,-69.3045,134.789,309.204
180,30,181.8,-510.715,-61.7979,341.489
0,35,7794.31,751.467,12013.3,-276.979
5,35,7381.01,-1364.06,11892.6,-2550.1
10,35,6535.45,-3326.94,11200,-4698.23
15,35,5364.44,-4955.28,10012.2,-6565.09
20,35,4011.69,-6126.47,8454.95,-8026.93
25,35,2630.06,-6795.44,6683.37,-9007.69
30,35,1352.28,-6991.6,4855.81,-9487.52
35,35,269.896,-6797.38,3109.69,-9501.2
40,35,-573.423,-6318.75,1545.22,-9125.77
45,35,-1175,-5660.03,220.515,-8460.98
50,35,-1559.17,-4909.79,-843.273,-7609.53
55,35,-1763.56,-4137.4,-1651.57,-6662.84
60,35,-1829.57,-3394.86,-2225.77,-5694.65
65,35,-1797.23,-2719.28,-2595.41,-4760.64
70,35,-1702.45,-2133.96,-2793.44,-3900.78
75,35,-1575.15,-1648.89,-2853.4,-3141.82
80,35,-1437.86,-1262.03,-2807.34,-2499.03
85,35,-1305.12,-961.854,-2683.9,-1977.42
90,35,-1183.97,-730.698,-2506.84,-1572.97
95,35,-1075.46,-548.08,-2294.21,-1274.19
100,35,-976.866,-393.274,-2058.41,-1063.97
105,35,-884.08,-247.035,-1806.96,-921.966
110,35,-793.827,-92.7311,-1543.63,-827.069
115,35,-705.075,82.6325,-1269.79,-760.125
120,35,-619.279,287.04,-985.954,-706.087
125,35,-539.253,521.611,-693.573,-654.99
130,35,-467.153,778.578,-397.24,-601.237
135,35,-402.693,1039.86,-106.919,-541.517
140,35,-342.921,1277.18,160.921,-472.658
145,35,-284.005,1454.44,384.662,-391.021
150,35,-223.917,1532.82,542.063,-294.044
155,35,-163.713,1478.45,616.787,-182.759
160,35,-105.775,1272.06,604.033,-63.1019
165,35,-49.7247,918.592,512.159,55.243
170,35,10.7075,453.27,359.298,161.422
175,35,86.4006,-59.8148,166.941,245.037
180,35,186.494,-538.535,-45.7179,295.678
0,40,8811.67,724.467,11288.2,-341.419
5,40,8391.87,-1638.56,11176.2,-2511.23
10,40,7472.93,-3834.64,10522.4,-4568.82
15,40,6172.76,-5661.65,9394.98,-6367.99
20,40,4653.69,-6982.59,7910.7,-7790.68
25,40,3090.42,-7746.18,6216.17,-8762.08
30,40,1635.7,-7983.9,4463.54,-9260.34
35,40,395.366,-7786.29,2786.4,-9316.63
40,40,-579.663,-7270.13,1282.89,-9003.83
45,40,-1285.33,-6550.23,10.2577,-8417.2
50,40,-1747.94,-5723.67,-1010.54,-7654.46
55,40,-2008.03,-4866,-1784.5,-6801.6
60,40,-2109.62,-4033.71,-2331.97,-5926.8
65,40,-2094.77,-3267.38,-2680.93,-5080.72
70,40,-2001.33,-2593.22,-2862.42,-4299.32
75,40,-1861.54,-2023.66,-2908.03,-3606.66
80,40,-1700.91,-1558.56,-2848.07,-3016.61
85,40,-1537.52,-1187.58,-2709.84,-2533.77
90,40,-1382.12,-893.515,-2516.33,-2154.48
95,40,-1239.28,-655.648,-2285.41,-1867.99
100,40,-1109.31,-452.542,-2029.87,-1658.21
105,40,-990.463,-263.978,-1758.15,-1505.88
110,40,-881.01,-72.3135,-1475.36,-1391.04
115,40,-780.623,136.325,-1184.42,-1295.69
120,40,-690.575,370.548,-887.346,-1205.95
125,40,-612.637,631.748,-586.657,-1113
130,40,-547.187,911.98,-287.307,-1012.39
135,40,-491.711,1192.44,1.23245,-902
140,40,-440.966,1443.57,263.616,-780.081
145,40,-389.164,1627.52,479.502,-644.905
150,40,-332.877,1703.63,627.561,-496.482
155,40,-272.239,1636.55,691.803,-338.951
160,40,-208.765,1406.49,667.427,-181.23
165,40,-140.749,1019.31,562.945,-34.76
170,40,-59.917,512.993,397.187,90.1256
175,40,46.8045,-43.6867,192.901,186.116
180,40,189.769,-562.255,-29.2899,247.616
0,45,9761.98,691.953,10477.3,-403.261
5,45,9339.02,-1897.4,10376.8,-2427.65
10,45,8358.86,-4310.33,9779.11,-4353.9
15,45,6946.98,-6327.82,8741.72,-6050.02
20,45,5280.28,-7799.63,7367.81,-7406.8
25,45,3551.81,-8667.18,5790.62,-8352.35
30,45,1932.21,-8961.33,4151.39,-8862.76
35,45,541.12,-8777.55,2576.44,-8963.97
40,45,-562.571,-8240.79,1160.25,-8722.1
45,45,-1372.16,-7474.58,-40.9953,-8225.25
50,45,-1914.68,-6583.47,-1005.63,-7563.96
55,45,-2232.67,-5648.58,-1736.99,-6817.25
60,45,-2372,-4730.41,-2253.24,-6046.88
65,45,-2376.23,-3872.67,-2579.88,-5297.94
70,45,-2284.7,-3104.4,-2745.48,-4602.12
75,45,-2131.82,-2440.83,-2779.34,-3980.68
80,45,-1946.13,-1884.39,-2709.89,-3446.05
85,45,-1749.57,-1426.91,-2563.18,-3002.64
90,45,-1557.19,-1052.65,-2361.59,-2647.4
95,45,-1377.79,-741.737,-2122.93,-2370.83
100,45,-1215.35,-472.987,-1860.46,-2158.41
105,45,-1070.97,-226.12,-1583.32,-1992.61
110,45,-944.716,16.6717,-1297.45,-1855.32
115,45,-836.903,269.338,-1006.59,-1730.3
120,45,-748.259,540.374,-713.304,-1605.23
125,45,-678.908,830.846,-420.328,-1472.57
130,45,-626.725,1132.3,-132.345,-1328.93
135,45,-586.252,1425.32,141.886,-1173.2
140,45,-549.372,1679.71,388.008,-1004.94
145,45,-507.943,1857.15,586.653,-824.395
150,45,-456.926,1916.79,717.218,-634.246
155,45,-395.494,1823.68,764.163,-441.684
160,45,-324.475,1559.12,723.108,-258.203
165,45,-241.309,1130.87,603.305,-96.2403
170,45,-136.511,579.626,424.857,35.3292
175,45,4.22036,-22.2141,212.157,133.246
180,45,191.6,-581.697,-12.6389,197.67
0,50,10638,654.174,9586.6,-462.035
5,50,10216,-2133.24,9499.8,-2303.09
10,50,9190.54,-4739.56,8973.01,-4060.14
15,50,7690.71,-6933.02,8051.58,-5618.49
20,50,5902.91,-8551.93,6821.93,-6880.64
25,50,4033.9,-9529.58,5399.72,-7779.41
30,50,2269.1,-9893.45,3911.15,-8289.19
35,50,740.845,-9740.53,2472.02,-8429.65
40,50,-483.471,-9200.98,1171.25,-8258.18
45,50,-1393.17,-8405.14,63.4423,-7853.53
50,50,-2014.68,-7464.05,-828.756,-7297.35
55,50,-2391.61,-6463.89,-1506.41,-6660.61
60,50,-2571.19,-5468.75,-1984.86,-5998.07
65,50,-2598.15,-4525.1,-2286.63,-5349.01
70,50,-2513.08,-3664.54,-2437.24,-4740.73
75,50,-2352.21,-2905,-2463.18,-4191.6
80,50,-2146.84,-2251.72,-2390.52,-3712.66
85,50,-1922.49,-1699.09,-2243.6,-3308.19
90,50,-1698.32,-1233.51,-2043.88,-2976.04
95,50,-1487.23,-836.663,-1808.99,-2708.21
100,50,-1296.9,-488.472,-1552.55,-2492.2
105,50,-1131.42,-169.482,-1284.32,-2312.79
110,50,-992.834,137.344,-1010.86,-2154.27
115,50,-882.31,445.08,-736.281,-2002.68
120,50,-800.126,761.192,-463.12,-1847.65
125,50,-744.681,1085.63,-193.639,-1683.08
130,50,-711.072,1408.9,68.3171,-1506.48
135,50,-690.467,1710.94,315.027,-1317.52
140,50,-671.37,1961.43,533.177,-1116.8
145,50,-642.801,2122.71,704.312,-906.245
150,50,-597.752,2155.36,808.592,-690.907
155,50,-534.302,2026.56,831.205,-480.478
160,50,-452.809,1720.2,768.656,-288.192
165,50,-350.51,1246.76,631.441,-126.485
170,50,-217.768,649.518,441.284,-1.89321
175,50,-40.2926,3.21399,224.334,86.9406
180,50,191.972,-596.712,4.10816,146.22
0,55,11433,611.415,8622.96,-517.291
5,55,11016.6,-2339.48,8550.88,-2142.54
10,55,9964.81,-5109.04,8106.24,-3696.67
15,55,8406.09,-7457.36,7321.51,-5084.48
20,55,6530.79,-9213.64,6264.38,-6222.4
25,55,4553.77,-10302.7,5029.9,-7049.84
30,55,2671.19,-10746.2,3725.82,-7540.41
35,55,1026.24,-10639.3,2454.47,-7707.1
40,55,-305.023,-10114.4,1297.19,-7597.32
45,55,-1306.76,-9306.7,306.042,-7278.97
50,55,-2003.58,-8332.8,-495.657,-6823.55
55,55,-2439.33,-7283.49,-1106.68,-6293.32
60,55,-2662.32,-6226.03,-1539.46,-5735.8
65,55,-2718.34,-5209.02,-1813.3,-5184.44
70,55,-2648.97,-4265.95,-1950.35,-4662.07
75,55,-2491.71,-3416.88,-1973.6,-4184.05
80,55,-2279.76,-2669.49,-1905.88,-3759.88
85,55,-2041.22,-2020.77,-1768.93,-3393.66
90,55,-1798.34,-1459.53,-1582.46,-3084.13
95,55,-1567.34,-969.6,-1363.37,-2825.09
100,55,-1359.12,-532.74,-1125.33,-2606.41
105,55,-1180.61,-131.206,-878.705,-2415.67
110,55,-1036.09,250.308,-630.731,-2240.1
115,55,-927.983,623.016,-385.873,-2068.52
120,55,-856.619,992.395,-146.492,-1892.82
125,55,-819.033,1356.45,85.9262,-1708.42
130,55,-807.671,1704.13,308.732,-1513.66
135,55,-810.167,2014.58,515.546,-1308.67
140,55,-811.263,2257.84,694.332,-1094.7
145,55,-796.665,2397.87,827.789,-874.901
150,55,-756.997,2398.01,897.192,-655.987
155,55,-689.109,2228.97,888.946,-449.196
160,55,-593.175,1878.36,800.964,-268.29
165,55,-467.033,1359.85,645.349,-124.535
170,55,-302.138,718.848,445.535,-21.3482
175,55,-85.6062,31.1763,229.214,47.4082
180,55,190.884,-607.185,20.824,93.6567
0,60,12141.1,564.004,7593.69,-568.611
5,60,11735,-2510.52,7536.26,-1952.05
10,60,10677.7,-5407.09,7180.64,-3275.02
15,60,9093.18,-7882.5,6546.76,-4462.84
20,60,7169.64,-9759.69,5682.89,-5447.57
25,60,5124,-10955.3,4661.71,-6177.08
30,60,3158.25,-11483.4,3570.07,-6625.48
35,60,1423.82,-11434.2,2494.33,-6799.52
40,60,4.92518,-10939.7,1506.22,-6736.13
45,60,-1076.6,-10138.1,653.931,-6491.37
50,60,-1842.4,-9150.34,-39.2786,-6125.85
55,60,-2335.94,-8071.38,-570.277,-5692.75
60,60,-2606.35,-6971.03,-948.814,-5232.4
65,60,-2700.34,-5899.14,-1191.07,-4772.57
70,60,-2660.1,-4890,-1315.57,-4331.66
75,60,-2523.49,-3964.81,-1341.29,-3921.84
80,60,-2324.22,-3133.08,-1286.93,-3550.81
85,60,-2091.44,-2394.16,-1170.51,-3222.23
90,60,-1848.98,-1739.55,-1008.93,-2935.68
95,60,-1615.2,-1155.68,-817.481,-2686.88
100,60,-1403.49,-626.864,-609.389,-2468.41
105,60,-1223.39,-137.795,-395.404,-2271.06
110,60,-1081.6,324.335,-183.495,-2085.44
115,60,-982.283,768.1,21.3158,-1903.5
120,60,-926.385,1196.25,216.68,-1719.56
125,60,-910.12,1604.21,401.801,-1530.58
130,60,-923.612,1979.02,575.242,-1335.57
135,60,-951.021,2299.03,732.102,-1134.86
140,60,-973.128,2535.06,861.895,-929.989
145,60,-971.998,2653.44,948.926,-724.717
150,60,-935.603,2621.17,976.212,-526.561
155,60,-859.546,2413.29,932.057,-347.049
160,60,-744.232,2021.57,816.323,-199.042
165,60,-589.025,1462.8,642.929,-91.3895
170,60,-387.813,783.84,436.827,-23.7652
175,60,-130.543,60.2853,226.746,14.5568
180,60,188.342,-613.037,37.3814,40.3807
0,65,12756.7,512.3,6506.63,-615.604
5,65,12365.5,-2641.91,6462.58,-1738.56
10,65,11324.6,-5624.11,6198.03,-2808.79
15,65,9749.35,-8192.54,5721.56,-3772.08
20,65,7820.68,-10167.1,5062.61,-4577.16
25,65,5750.99,-11457.3,4271.09,-5182.07
30,65,3742.64,-12068.6,3411.57,-5563.16
35,65,1951.76,-12084.3,2552.57,-5721.96
40,65,469.52,-11633.1,1754.3,-5685.1
45,65,-675.89,-10854.1,1059.53,-5496.45
50,65,-1502.25,-9871.82,490.532,-5205.22
55,65,-2051.82,-8784.25,51.7856,-4855.4
60,65,-2374.15,-7662.96,-264.067,-4480.35
65,65,-2516.55,-6557.98,-470.226,-4102.49
70,65,-2521.13,-5503.18,-581.607,-3736
75,65,-2424.91,-4519.83,-612.899,-3389.89
80,65,-2260.59,-3618.6,-578.124,-3069.78
85,65,-2056.56,-2801.11,-490.793,-2778.61
90,65,-1836.73,-2061.74,-364.085,-2516.6
95,65,-1620.41,-1390.07,-210.773,-2281.36
100,65,-1422.8,-773.4,-42.8761,-2068.34
105,65,-1255.72,-199.315,128.963,-1871.8
110,65,-1128.28,342.117,296.267,-1685.92
115,65,-1046.6,856.478,453.434,-1505.86
120,65,-1012.6,1343.45,597.899,-1328.39
125,65,-1022.04,1795.69,729.214,-1151.87
130,65,-1063.04,2198.28,846.837,-975.842
135,65,-1116.48,2529.05,947.188,-800.648
140,65,-1159.22,2760.05,1021.49,-627.808
145,65,-1169.63,2860.49,1056.15,-461.172
150,65,-1133.02,2801.37,1036.69,-308.108
155,65,-1043.96,2562.06,954.087,-179.111
160,65,-903.653,2138.1,810.646,-84.6715
165,65,-714.023,1548.65,622.141,-30.0592
170,65,-472.732,840.992,414.608,-10.7776
175,65,-173.902,89.2512,217.071,-11.9918
180,65,184.368,-614.224,53.6542,-13.2027
0,70,13275.2,456.697,5370.06,-657.911
5,70,12903,-2730.52,5336.95,-1509.71
10,70,11899.4,-5753.01,5160.57,-2313.29
15,70,10369,-8374.79,4840.01,-3033.97
20,70,8479.79,-10416.2,4387.55,-3637.48
25,70,6433.56,-11781.7,3831.22,-4093.49
30,70,4427.15,-12468,3213.23,-4382.47
35,70,2617.17,-12549.8,2583.05,-4502.29
40,70,1099.65,-12150.7,1987.78,-4470.05
45,70,-91.0314,-11408.5,1463.3,-4317.5
50,70,-967.925,-10449.3,1029.8,-4082.27
55,70,-1571.04,-9373.31,692.659,-3799.13
60,70,-1949.45,-8252.75,446.735,-3494.74
65,70,-2150.34,-7136.9,281.743,-3186.76
70,70,-2214.88,-6058.2,186.28,-2885.72
75,70,-2178.13,-5037.16,149.812,-2597.65
80,70,-2070.3,-4085.14,162.953,-2326.06
85,70,-1917.65,-3205.9,216.854,-2072.85
90,70,-1742.89,-2396.92,302.479,-1838.56
95,70,-1565.36,-1651.1,410.22,-1622.42
100,70,-1401.41,-958.938,530.059,-1422.61
105,70,-1264.74,-310.95,652.27,-1236.74
110,70,-1166.53,299.956,768.524,-1062.49
115,70,-1114.62,876.43,872.988,-898.138
120,70,-1111.77,1415.22,962.842,-742.663
125,70,-1153.31,1906.46,1037.6,-595.664
130,70,-1225.49,2333.75,1097.07,-457.06
135,70,-1306.18,2675.02,1138.57,-327.147
140,70,-1368.59,2904.14,1154.98,-207.265
145,70,-1387.69,2993.45,1135.26,-100.923
150,70,-1346.48,2917.71,1068.13,-14.4944
155,70,-1238.97,2659.76,947.942,43.7743
160,70,-1067.94,2217.62,779.812,67.0463
165,70,-838.913,1611.36,581.214,54.556
170,70,-554.602,887.302,378.643,15.1612
175,70,-214.488,116.941,200.525,-32.8696
180,70,178.99,-610.736,69.5188,-66.6856
0,75,13692.8,397.618,4192.61,-695.211
5,75,13342.5,-2774.64,4167.03,-1273.57
