candidate_index,sample_index,target_hash,k_value,ratio,active_count,selection_role,candidate_source,source_candidate_index,candidate_origin,frozen_E2_corner,frozen_E2_root_margin,E2_worst_margin_db,E2_psll_margin_db,E2_nearest_iso_margin_db,E2_local20_iso_margin_db,E2_mainlobe_margin_db,E2_active_rl_margin_db,E2_hardware_margin_db,max_target_theta_deg,min_target_separation_deg,phase_rms_deg,gain_rms_db,soft_active_port_count,phase_bits,amplitude_bits,perturbation_seed,mask_sha256,nominal_weights_sha256,actual_weights_sha256,physical_16x16_operator_corner_included
10,426110,d8080ec9c518a321,4,0.7,179,local_boundary,v16_final,1422,adversarial_multi_corner_refinement,frequency_low_x0.20,active_rl,0.28093892335891724,7.380485534667969,1.2309150695800781,2.1101608276367188,0.29616546630859375,0.28093892335891724,0.9872948527336121,39.0,16.000000000000018,1.8761368769979374,0.11551945802378293,179,7,7,61594506,e6344b4746beb534c2e6a1bb63659801da08fff7d9572e38bfc61c587c7d7e08,55b63be7badc8908c451864a8565939482f90a5abeda6c86c3b32abbcb9a5f0a,d57ce5009a3dc1cc9ac6f7b6d233f91be1bed931fa88cb316c4f34ecf94e11e3,0
11,426113,c1488cc74eeab4e9,4,0.8,205,active_rl_boundary,v16_final,1435,adversarial_multi_corner_refinement,frequency_low_x0.20,mainlobe,0.2664642333984375,8.888725280761719,1.7624435424804688,3.5571060180664062,0.2664642333984375,0.2902584671974182,0.9947565197944641,42.0,23.56344134439845,1.8172331328226154,0.11654657378978414,205,7,7,61594797,e72656ac57400306e5475afbda206d2be6a53d6851e872c967dc860f227bd0af,c264bf8f3d72074a4f6187ac446b15ec7ddabd77417fe2ced541a5f1d2b70df9,2d7f28cdcd222eabe63c1c9a0c207232453248c07daae33c77266b6240939952,0
12,426117,2fee7c6cee3b1cb8,4,0.6,154,large_scan,v16_final,1449,adversarial_multi_corner_refinement,frequency_high_x0.20,active_rl,0.045229632407426834,5.468315124511719,1.0042724609375,2.9984054565429688,0.3230133056640625,0.045229632407426834,1.0033506155014038,41.0,22.996331885497668,1.712805943419211,0.11419418028746886,154,7,7,61695188,28426903423dda83b3afbf4002f544140973abaea3df2c5181c48cecbadb5d20,6bd9ed7a5823c747348ec8d0645f0e759b032033bf83db5f86b11c8fa451a2da,421f8fd23b4ede1f72489addfb1b9dd96f2a691265e5ae48654ca670714d9392,0
13,426121,1838cc80c70b9e34,6,0.5,128,reserve,v16_final,1464,adversarial_multi_corner_refinement,frequency_low_x0.20,mainlobe,0.34738922119140625,4.628669738769531,1.5951652526855469,2.8227005004882812,0.34738922119140625,0.3858434557914734,0.9852496385574341,50.0,13.433188811140962,1.791488888078162,0.12540123765720917,128,7,7,61595573,73a612f2e72820b72a775f7a8492b79cafa2371393f1f361b545603dc026afb5,88f1cb1798578bb516d2216c5815cb75e4100d13272123b517a7bd6619d4e6fe,9da61bb9e9671931e744c552bbb88b32cfca0d8694b61a6a5199a5d32a02ddf0,0
14,426128,9ae6794eec54f5e0,6,0.5,128,psll_boundary,v16_final,1492,adversarial_multi_corner_refinement,frequency_low_x0.20,active_rl,0.07132849842309952,3.063262939453125,1.6820831298828125,3.5967254638671875,0.27352142333984375,0.07132849842309952,0.9839863777160645,41.0,16.000000000000018,1.9786158300530998,0.12218978880635234,128,7,7,61596252,c1465f1abe554548d6170887d7db8709581d2c87f9012221ec006a2aa487d94a,af84fac51171f31e075ffc8842036083b7758a0edbc7ed79cca0aa6ed647aefe,6cedc2c54e589cbf990408ef417b14d8ab15bd9f2d1d48b82459b6bc1efe87dd,0
15,426125,b6324e86ff20ab4c,6,0.6,154,nearest_boundary,v17_quantized_boundary,173,K6_multifrequency_combined_mainlobe_reserve,frequency_high_x0.20,mainlobe,0.2602548599243164,1.910491943359375,2.2503662109375,2.142669677734375,0.2602548599243164,0.4859517216682434,0.7480971217155457,58.0,15.999999999999995,1.7356245379524111,0.12454177048586468,154,7,7,61695964,6fd9af26532adb818248f0a6b56e3bd6ca985e4848af59ea94db7b6dc868835f,31ac35eb25bab2691e32d26cd6fafb78d6a512cd890d6490d43e3b3714d11796,127cf0d4f5b7ac4371a5bf826fe9eb93cec76840ee8bc2eebffec68719e0fb73,0
16,426122,fa34efa9ef22aa78,6,0.7,179,local_boundary,v17_multifrequency,275,K6_multifrequency_combined_mainlobe_reserve,frequency_low_x0.20,mainlobe,0.0018352261977270246,4.402290344238281,2.63818359375,0.461212158203125,0.0018352261977270246,0.5917887091636658,0.9937734603881836,58.0,13.98865949788551,1.8227381924988346,0.11907060208719455,179,7,7,61595670,eb196e1a6368070a5e2827001e9b36d275efb21153ed9830b917602bd81c0df5,97b77dbfcbdab403bd18f304ea977e0a9bb24b24b0106cf2fd4fb72a4df1726d,3ce999b3cfada1ec45b006ef97721210bd0ebfd3940f619152619aaa10673ecf,0
17,426124,7b395faec6c490b6,6,0.8,205,active_rl_boundary,v17_multifrequency,318,K6_multifrequency_combined_mainlobe_reserve,frequency_high_x0.20,active_rl,0.02759375236928463,4.6858367919921875,1.4777069091796875,0.0345611572265625,0.3018951416015625,0.02759375236928463,0.3112950325012207,56.0,14.0,2.026013945029298,0.11505204995461661,205,7,7,61695867,0f702a22c49d384396b4496fe0c266685240283876a8f9f634624560f3e972a1,60bc5b38071545f237306573a4dabd79846aafbd981fa73724c72c9e10742fdf,030a36c2466bb7714bda65efc04d737b92902f316520909dd9686e262652f5d3,0
18,426126,93df69b6bd777ccf,6,0.7,179,large_scan,v17_multifrequency,374,K6_multifrequency_combined_mainlobe_reserve,frequency_low_x0.20,mainlobe,0.33162689208984375,3.8454132080078125,3.165771484375,2.5459976196289062,0.33162689208984375,0.9870518445968628,0.9979643225669861,48.0,15.517605913375775,1.7445058535819662,0.1080842742143955,179,7,7,61596058,0abda2d78c99a1fe15fa6af30ccda4875e3ae390fecf2e494624835b330559ce,1ce4be1f26cff2b1e18ef3cb89610ba963244eb64b5708dbf9398b1080cbace5,7178a98940cfc7c8cce033666615c7937d751edd26f34e7cf094402378b49c5c,0
19,426120,c7376dba61e083bc,6,0.8,205,small_gap,v17_quantized_boundary,154,K6_multifrequency_combined_mainlobe_reserve,frequency_low_x0.20,mainlobe,0.334747314453125,0.7679595947265625,2.4809341430664062,0.5573959350585938,0.334747314453125,1.910154938697815,1.0008124113082886,56.0,14.0,1.922223984104495,0.12484214313554604,205,7,7,61595476,bde68d860b83a681d91ec348f68d9104ebfd68481f07290dce26f6b1dc225936,d1f085d8fbeaa3ccf814408f5202de6fc892cc7624a4914188181c28cc0e7e32,8b438e6c223742094a64de3ae1f0c75d98022388ae453214e57ea28e48c674fa,0
