generated_index,sample_index,k,ratio,round,local_index,mask_family,mask_hash,parent_origin,parent_source_index,quick_active_rl_floor_db,quick_high_active_rl_floor_db,active_port_score_mean,selected_for_full_refine
52,426106,2,0.6,initial,20,center_density,b9bbe3f3a76ee331,ratio_continuation_03,6614,-36.71717771772439,-31.878601877650468,0.04518397853121521,0
53,426106,2,0.6,initial,21,checker_balance,22270f364d741136,ratio_continuation_03,6614,-28.1499708258724,-27.54386751286001,0.02102022286995218,0
54,426106,2,0.6,initial,22,hard_positive_neighbor_00,a53abe5526fd7a23,adversarial_multi_corner_refinement,6618,-27.675881893186066,-23.685923881074746,0.023454348802620956,0
55,426106,2,0.6,initial,23,hard_positive_swap_00,77d4d87214c16f08,adversarial_multi_corner_refinement,6618,-27.254461535894464,-23.3133652964675,0.023469136909547002,0
56,426106,2,0.6,alternating,0,three_frequency_guided_swap_00,00f970333e6a388a,best_initial_refined,34,1.668432042804657,1.668432042804657,-0.014524859332628844,1
57,426106,2,0.6,alternating,1,three_frequency_guided_swap_01,9cca28eb42f2eb39,best_initial_refined,34,-0.6645711994936542,-0.5213403381975215,-0.011634107366642787,0
58,426106,2,0.6,alternating,2,three_frequency_guided_swap_02,603c754e2dc73334,best_initial_refined,34,-6.222409681310641,-5.556590417448381,-0.009689656183699224,0
59,426106,2,0.6,alternating,3,three_frequency_guided_swap_03,a594b2f420b4405f,best_initial_refined,34,-6.198834708057543,-5.555199506486115,-0.007755921319520322,0
60,426106,2,0.6,alternating,4,three_frequency_guided_swap_04,4456ec8496857771,best_initial_refined,34,-8.211263840274661,-6.615128593116651,-0.004231224727004341,0
61,426106,2,0.6,alternating,5,three_frequency_guided_swap_05,094a5b374461b844,best_initial_refined,34,-9.866226478897492,-8.45797116831242,-0.0012028237979904192,0
62,426106,2,0.6,alternating,6,three_frequency_guided_swap_06,f2a2d8bb16bc3f46,best_initial_refined,34,-10.033091843916132,-8.567572822509614,0.001682349521660858,0
63,426106,2,0.6,alternating,7,three_frequency_guided_swap_07,e66331288f99d10d,best_initial_refined,34,-19.72850656282305,-19.72850656282305,0.004494442272291821,0
64,426106,2,0.7,initial,0,three_frequency_guided_swap_00,74629f5586b01950,adversarial_multi_corner_refinement,6578,5.7528090595519075,5.7528090595519075,-0.0181971020001494,0
65,426106,2,0.7,initial,1,three_frequency_guided_swap_01,72c16d3bec5e689c,adversarial_multi_corner_refinement,6578,3.633930571283577,3.633930571283577,-0.016526904696676795,0
66,426106,2,0.7,initial,2,three_frequency_guided_swap_02,9c7350e8d5ec18ec,adversarial_multi_corner_refinement,6578,3.9879763375444313,3.9879763375444313,-0.014930459388861167,0
67,426106,2,0.7,initial,3,three_frequency_guided_swap_03,14e4a889926d41ed,adversarial_multi_corner_refinement,6578,-0.9773779818849321,0.06628391884682085,-0.013469734687735789,0
68,426106,2,0.7,initial,4,three_frequency_guided_swap_04,d994a60a901e834b,adversarial_multi_corner_refinement,6578,-1.1552704285055069,-0.23066555227491797,-0.010624334109641365,0
69,426106,2,0.7,initial,5,three_frequency_guided_swap_05,e4f5427b8b1c2e11,adversarial_multi_corner_refinement,6578,-0.2030691384000919,0.9315770473614639,-0.007921452500512792,0
70,426106,2,0.7,initial,6,three_frequency_guided_swap_06,5cc2edcafa1aea31,adversarial_multi_corner_refinement,6578,-0.21414163248861423,0.9633613641358102,-0.005349914170570064,0
71,426106,2,0.7,initial,7,three_frequency_guided_swap_07,a2fad585889fb2a9,adversarial_multi_corner_refinement,6578,-30.821124081349854,-19.733380064826832,-0.0029419994018778884,0
72,426106,2,0.7,initial,8,failed_best_swap_00_1,e20f4f4e41ba5d54,adversarial_multi_corner_refinement,6578,2.4592308184005693,4.198476406965689,-0.020083907559832487,0
73,426106,2,0.7,initial,9,failed_best_swap_00_2,7c015a00a82b27ce,adversarial_multi_corner_refinement,6578,1.9969889735828392,5.3147220053489335,-0.02120333592600128,0
74,426106,2,0.7,initial,10,failed_best_swap_00_3,2ae9916b27dac37d,adversarial_multi_corner_refinement,6578,-5.314166189119556,-4.918050436715939,-0.018361633776579362,0
75,426106,2,0.7,initial,11,failed_best_swap_01_1,b05a29efe4972d64,ring_quadrant,6562,-6.90276887024119,-6.867021312772794,0.008265143860052006,0
76,426106,2,0.7,initial,12,failed_best_swap_01_2,c33578fc61812cfb,ring_quadrant,6562,-2.9983103068229644,-2.9983103068229644,0.009949226072672727,0
77,426106,2,0.7,initial,13,failed_best_swap_01_3,28d3b4f9a59561f7,ring_quadrant,6562,-13.620020795611477,-13.308791405008968,0.006856292519435476,0
78,426106,2,0.7,initial,14,power_top,c5c66fce4f37ef91,ring_quadrant,6562,-17.461664698736435,-16.110174973769503,0.028555633392127446,0
79,426106,2,0.7,initial,15,parent_normalized,01417de65958c596,adversarial_multi_corner_refinement,6578,8.380255951520915,8.67887848701877,-0.020586364693997102,1
80,426106,2,0.7,initial,16,ring_quadrant,0e3a404dc23fce16,ring_quadrant,6562,-16.801667676933196,-15.341839045230616,0.02539399538140615,0
81,426106,2,0.7,initial,17,mirrored_pair,cd06fbc60dc74b86,ring_quadrant,6562,-24.156903470571933,-24.102744544817654,0.024313173647400238,0
82,426106,2,0.7,initial,18,min_spacing_150,26d1809cad8c0b5c,ring_quadrant,6562,-34.0929201163431,-26.14995491294405,0.021974770341454605,0
83,426106,2,0.7,initial,19,edge_density,0f3a62e3386caa34,ring_quadrant,6562,-33.822113960858296,-25.84891190242078,0.023334970226507323,0
84,426106,2,0.7,initial,20,center_density,cecf3c807e322062,ring_quadrant,6562,-13.810302298565684,-13.810302298565684,0.021087823054193763,0
85,426106,2,0.7,initial,21,checker_balance,aed6c625959ac496,ring_quadrant,6562,-22.183910053678705,-20.458934772411407,0.0061232820209677075,0
86,426106,2,0.7,initial,22,hard_positive_neighbor_00,5890201a995778ba,adversarial_multi_corner_refinement,6578,-12.762747858831531,-10.141390588817302,-0.02619954171383487,0
87,426106,2,0.7,initial,23,hard_positive_swap_00,bbf887c491b69e65,adversarial_multi_corner_refinement,6578,-12.826260674608838,-10.616497080731476,-0.028609078188812778,0
88,426106,2,0.7,alternating,0,three_frequency_guided_swap_00,35bca9f801a24a57,best_initial_refined,44,1.6903250533214709,1.6903250533214709,-0.03020422776833262,0
89,426106,2,0.7,alternating,1,three_frequency_guided_swap_01,8c1316b36a659798,best_initial_refined,44,1.6683960573841188,1.6683960573841188,-0.028538048099936944,0
90,426106,2,0.7,alternating,2,three_frequency_guided_swap_02,db7f4a1c32f869ef,best_initial_refined,44,1.6990864941366177,1.6990864941366177,-0.02699199260204119,1
91,426106,2,0.7,alternating,3,three_frequency_guided_swap_03,ef049a445a635724,best_initial_refined,44,-2.6007698660122855,-2.4041471810584953,-0.024003818853361582,0
92,426106,2,0.7,alternating,4,three_frequency_guided_swap_04,cdfc9c5490067e1e,best_initial_refined,44,-29.95362762953533,-15.825064981976862,-0.015946368019582494,0
93,426106,2,0.7,alternating,5,three_frequency_guided_swap_05,a7b8e5b8ee1cc45c,best_initial_refined,44,1.687044787622698,1.687044787622698,-0.03265196223353569,0
94,426106,2,0.7,alternating,6,three_frequency_guided_swap_06,2b83d5e6ffac85d4,best_initial_refined,44,1.6651488789569437,1.6651488789569437,-0.030985782565140008,0
95,426106,2,0.7,alternating,7,three_frequency_guided_swap_07,1c862daf6c025bf5,best_initial_refined,44,1.6958664460595432,1.6958664460595432,-0.029439727067244268,0
96,426106,2,0.8,initial,0,three_frequency_guided_swap_00,6b4db8af8a6300f9,adversarial_multi_corner_refinement,6529,-0.5752606463013141,-0.5667502295505151,-0.04599900421496846,0
97,426106,2,0.8,initial,1,three_frequency_guided_swap_01,fd102bb318515868,adversarial_multi_corner_refinement,6529,-0.5401649111252402,-0.5325216103500828,-0.04284744716447838,0
98,426106,2,0.8,initial,2,three_frequency_guided_swap_02,a221f351b353d9d1,adversarial_multi_corner_refinement,6529,-0.5338654503166206,-0.5269797423437595,-0.03973238885154141,0
99,426106,2,0.8,initial,3,three_frequency_guided_swap_03,c2a5fad35f1732d7,adversarial_multi_corner_refinement,6529,-0.5900174451257644,-0.5854863777752322,-0.03683669223031206,0
100,426106,2,0.8,initial,4,three_frequency_guided_swap_04,02273fa999536964,adversarial_multi_corner_refinement,6529,-0.9144145891830822,-0.8660821926316893,-0.031488143799857995,0
101,426106,2,0.8,initial,5,three_frequency_guided_swap_05,1f3ece0aacb659b6,adversarial_multi_corner_refinement,6529,-10.950880181332728,-10.310621299687268,-0.026557060810231226,0
102,426106,2,0.8,initial,6,three_frequency_guided_swap_06,dfba8d6a6318115b,adversarial_multi_corner_refinement,6529,-9.961903702033574,-9.668961321690972,-0.023626177613726054,0
103,426106,2,0.8,initial,7,three_frequency_guided_swap_07,5511cdecb766b117,adversarial_multi_corner_refinement,6529,-11.566455042446837,-10.862185339048429,-0.02098059438796525,0
104,426106,2,0.8,initial,8,failed_best_swap_00_1,9ac1a6286a832cb5,adversarial_multi_corner_refinement,6529,-2.9579033973772835,-2.9579033973772835,-0.048419543486929305,0
105,426106,2,0.8,initial,9,failed_best_swap_00_2,ac7a8207b2b46226,adversarial_multi_corner_refinement,6529,-8.425389248409063,-7.1434884188236225,-0.04781401230801214,0
106,426106,2,0.8,initial,10,failed_best_swap_00_3,e8edaa4b79c741cb,adversarial_multi_corner_refinement,6529,-5.702253314132889,-4.9534892635098355,-0.049633413383285314,0
107,426106,2,0.8,initial,11,failed_best_swap_01_1,9108970d67aed5eb,center_density,6534,-1.7768714481649068,-1.7768714481649068,0.0034394701734647205,0
108,426106,2,0.8,initial,12,failed_best_swap_01_2,869dc98e6474f620,center_density,6534,-3.747441989113582,-3.6009007054428803,0.00505287368408703,0
109,426106,2,0.8,initial,13,failed_best_swap_01_3,d33ecbc2f40d0bee,center_density,6534,-34.62194577960454,-14.503222261365211,0.0036167467184126047,0
110,426106,2,0.8,initial,14,power_top,33ef4b0b700bd864,center_density,6534,-27.93660982239652,-19.924343537123676,0.010747171095744995,0
111,426106,2,0.8,initial,15,parent_normalized,95201fd9cb257857,adversarial_multi_corner_refinement,6529,5.655448077634672,6.4105822615103065,-0.04956383263842027,1
112,426106,2,0.8,initial,16,ring_quadrant,65793fc3b3b2a946,center_density,6534,-36.53255148059059,-17.782043625560096,0.010035264315255142,0
113,426106,2,0.8,initial,17,mirrored_pair,ba48391dc92bf7d0,center_density,6534,-31.73197219766128,-30.01972737895037,0.0069395161349513615,0
114,426106,2,0.8,initial,18,min_spacing_150,b90f6e35174ed2fb,center_density,6534,-41.174823577324624,-29.47390162599159,-0.0006538774864826744,0
115,426106,2,0.8,initial,19,edge_density,8cec191bf6a605a6,center_density,6534,-44.66200891978894,-29.182039533538475,0.002155081114676898,0
116,426106,2,0.8,initial,20,center_density,373882e1e1fed464,center_density,6534,-29.394622746802636,-21.658773949349445,0.008461352914844731,0
117,426106,2,0.8,initial,21,checker_balance,48a112f027c1959e,center_density,6534,-42.64026258677218,-27.24325735314104,-0.0008830005603862296,0
118,426106,2,0.8,initial,22,hard_positive_neighbor_00,92cd0e1df36d65bd,adversarial_multi_corner_refinement,6529,-21.32535332075976,-17.729556220029835,-0.024218947887844035,0
119,426106,2,0.8,initial,23,hard_positive_swap_00,92e8a93b668a7682,adversarial_multi_corner_refinement,6529,-21.24450279537797,-17.34156963755277,-0.0241796176087674,0
120,426106,2,0.8,alternating,0,three_frequency_guided_swap_00,8a50fdeeb65e88cc,best_initial_refined,54,1.4546282092052043,1.8848044330959235,-0.055659331512799386,0
121,426106,2,0.8,alternating,1,three_frequency_guided_swap_01,83cd81fe697c85a2,best_initial_refined,54,0.2762822988122028,0.7165148789382326,-0.052467809758038476,0
122,426106,2,0.8,alternating,2,three_frequency_guided_swap_02,3e832b1711cfe0ca,best_initial_refined,54,-0.7993130152323447,-0.08665891537939564,-0.049514575654804834,0
123,426106,2,0.8,alternating,3,three_frequency_guided_swap_03,79e32b7a86da8e5f,best_initial_refined,54,-8.732292781085762,-7.936587604456044,-0.03906187033709128,0
124,426106,2,0.8,alternating,4,three_frequency_guided_swap_04,2cecf587b25439b5,best_initial_refined,54,-12.402192730899465,-11.621019079602599,-0.035958424048010834,0
125,426106,2,0.8,alternating,5,three_frequency_guided_swap_05,bbb5890510b5ecae,best_initial_refined,54,-12.387607578322514,-11.631401432077453,-0.03310282451773685,0
126,426106,2,0.8,alternating,6,three_frequency_guided_swap_06,9e646d87f6be0196,best_initial_refined,54,4.998961082034141,5.479516959880783,-0.0592881791057492,1
127,426106,2,0.8,alternating,7,three_frequency_guided_swap_07,a004730127145fe1,best_initial_refined,54,4.911453490248177,5.338112745645925,-0.05609665735098829,0
128,426104,2,0.5,initial,0,three_frequency_guided_swap_00,e9e070d4e8ecf928,adversarial_multi_corner_refinement,6388,4.489325102869706,4.740244090197162,0.0068173001938048455,0
129,426104,2,0.5,initial,1,three_frequency_guided_swap_01,2bdcd8694f3a29ed,adversarial_multi_corner_refinement,6388,4.66643128964251,4.9178450790571056,0.01058862512741825,0
130,426104,2,0.5,initial,2,three_frequency_guided_swap_02,e494002f1edac960,adversarial_multi_corner_refinement,6388,4.59761063090623,4.8472785536483105,0.014182258127045102,0
131,426104,2,0.5,initial,3,three_frequency_guided_swap_03,3d6084dc78652200,adversarial_multi_corner_refinement,6388,-33.55198753743552,-30.3838256601,0.017546464571858527,0
132,426104,2,0.5,initial,4,three_frequency_guided_swap_04,ccb78671382db180,adversarial_multi_corner_refinement,6388,-33.44232474935688,-30.311661714530153,0.023655510901674073,0
133,426104,2,0.5,initial,5,three_frequency_guided_swap_05,a07e688ca37173f8,adversarial_multi_corner_refinement,6388,-33.35207070399612,-30.43322760983653,0.02833682568519339,0
134,426104,2,0.5,initial,6,three_frequency_guided_swap_06,90fee770d4cbfb11,adversarial_multi_corner_refinement,6388,-31.569938549660655,-28.713611655920047,0.032180457094367856,0
135,426104,2,0.5,initial,7,three_frequency_guided_swap_07,95253475ea0f4d7a,adversarial_multi_corner_refinement,6388,-30.133566168033813,-27.24262796340451,0.035918700014925885,0
136,426104,2,0.5,initial,8,failed_best_swap_00_1,ff39171868a0dde5,adversarial_multi_corner_refinement,6388,-2.3844300902320166,-2.3844300902320166,-0.0013868379306460688,0
137,426104,2,0.5,initial,9,failed_best_swap_00_2,c7858166ed3e9ae6,adversarial_multi_corner_refinement,6388,-2.9836720640882177,-2.9836720640882177,8.004693492936414e-05,0
138,426104,2,0.5,initial,10,failed_best_swap_00_3,b6058d23fc6aa947,adversarial_multi_corner_refinement,6388,-20.125976325888296,-19.353573094167547,0.0034418185957042166,0
139,426104,2,0.5,initial,11,failed_best_swap_01_1,76b535758910cddc,local_swap_01,6393,-1.121267685682286,0.5533360014119815,0.050918072112481394,0
140,426104,2,0.5,initial,12,failed_best_swap_01_2,92362a2997437583,local_swap_01,6393,5.225233095970392,5.225233095970392,0.050028442380156385,0
141,426104,2,0.5,initial,13,failed_best_swap_01_3,b73517c0035006c0,local_swap_01,6393,-4.135121866541909,-3.885512260642659,0.04751172249734219,0
142,426104,2,0.5,initial,14,power_top,38dc9e50fc2c8bbc,local_swap_01,6393,-28.405434818863103,-28.405434818863103,0.08712117990474891,0
143,426104,2,0.5,initial,15,parent_normalized,3a3d58d62995bf7c,adversarial_multi_corner_refinement,6388,7.042259580077246,7.042259580077246,0.0012862087101314693,1
144,426104,2,0.5,initial,16,ring_quadrant,44a3a3a3e7cd78dd,local_swap_01,6393,-30.417313183616482,-30.417313183616482,0.0838216611251118,0
145,426104,2,0.5,initial,17,mirrored_pair,af776269252d4309,local_swap_01,6393,-39.128501957912505,-35.292246844596484,0.07618729531492957,0
146,426104,2,0.5,initial,18,spread_030,7350a7e6c9cf335b,local_swap_01,6393,-29.491092186183128,-28.462286307713697,0.08711429750509228,0
147,426104,2,0.5,initial,19,min_spacing_150,0b353302e7120504,local_swap_01,6393,-37.73967243228267,-34.79187422144435,0.06732550883970446,0
148,426104,2,0.5,initial,20,edge_density,9c518241b52d5c5d,local_swap_01,6393,-40.41284020003175,-37.82135890345681,0.07079373116109353,0
149,426104,2,0.5,initial,21,center_density,4dbddc13cca76635,local_swap_01,6393,-37.63477790133528,-33.10625054143271,0.07259635955195129,0
150,426104,2,0.5,initial,22,checker_balance,ebfefbd08c6a8174,local_swap_01,6393,-41.33299437106245,-36.657170467773625,0.0310967831226868,0
151,426104,2,0.5,initial,23,hard_positive_neighbor_00,e8e44726e4566270,local_swap_01,6393,-26.078478734007465,-24.61784177801633,0.04387319773160928,0
152,426104,2,0.5,alternating,0,three_frequency_guided_swap_00,5421833814209f43,best_initial_refined,64,3.5303835047281824,5.0741824606698005,-0.0033090342894210737,1
153,426104,2,0.5,alternating,1,three_frequency_guided_swap_01,cc56ea388f62c053,best_initial_refined,64,3.5284416570404753,5.044607597441736,0.0003950178431671213,0
154,426104,2,0.5,alternating,2,three_frequency_guided_swap_02,218fa052747f31dc,best_initial_refined,64,-19.609648121346908,-18.052704779582598,0.0038392014378271673,0
155,426104,2,0.5,alternating,3,three_frequency_guided_swap_03,0f554115516571d0,best_initial_refined,64,-20.2337256865515,-18.842454323246706,0.010223035323507818,0
156,426104,2,0.5,alternating,4,three_frequency_guided_swap_04,161961253f95e639,best_initial_refined,64,-31.396973125696945,-31.396973125696945,0.015137720377476026,0
157,426104,2,0.5,alternating,5,three_frequency_guided_swap_05,a89bc1d90a8eca77,best_initial_refined,64,-31.59043490983557,-31.59043490983557,0.01926967517504308,0
158,426104,2,0.5,alternating,6,three_frequency_guided_swap_06,e50be3530eb13f64,best_initial_refined,64,-31.156015723920323,-31.156015723920323,0.0232501594850185,0
159,426104,2,0.5,alternating,7,three_frequency_guided_swap_07,e53028c191acfecc,best_initial_refined,64,3.2800546565316004,4.776064809934494,-0.008941321363028554,0
160,426104,2,0.6,initial,0,three_frequency_guided_swap_00,2ba3eb1b2b21bfcf,ratio_continuation_01,6354,3.0023895689428217,3.0023895689428217,-0.005737582123470476,0
161,426104,2,0.6,initial,1,three_frequency_guided_swap_01,73041acf0803a385,ratio_continuation_01,6354,3.045397419210442,3.045397419210442,-0.0026718311699938913,0
162,426104,2,0.6,initial,2,three_frequency_guided_swap_02,219b3d38a5045fb0,ratio_continuation_01,6354,-33.66597847534965,-28.859158639151868,0.00017662735746673053,0
163,426104,2,0.6,initial,3,three_frequency_guided_swap_03,2dc9ef0cda8e1368,ratio_continuation_01,6354,-33.458737342951956,-28.87877666048668,0.002926331305893141,0
164,426104,2,0.6,initial,4,three_frequency_guided_swap_04,81d0fa488d0ff459,ratio_continuation_01,6354,-31.827779298609965,-29.276099549990168,0.007956037050863477,0
165,426104,2,0.6,initial,5,three_frequency_guided_swap_05,682cb28355024ff2,ratio_continuation_01,6354,-31.14733242574917,-29.292322247255104,0.01242687273972314,0
166,426104,2,0.6,initial,6,three_frequency_guided_swap_06,5beac09812df9289,ratio_continuation_01,6354,-30.54430343443594,-28.28511805416975,0.01580896221277222,0
