candidate_index,sample_index,scene_id,target_hash,parent_candidate_index,variant_kind,k,parent_ratio,active_ratio,ratio_delta,active_count,phase_error_rms_deg,gain_error_rms_db,dropout_count,phase_ramp_deg,perturbation_seed,residual_intensity,nominal_eep_gate15,nominal_eep_gate20,actual_basis_gate15,actual_basis_gate20,actual_basis_mainlobe_gate,predicted_mainlobe_failure,nominal_psll_db,actual_basis_psll_db,nominal_nearest_iso_db,actual_basis_nearest_iso_db,nominal_local_iso_db,actual_basis_local_iso_db,nominal_weakest_target_gain_db,actual_basis_weakest_target_gain_db,actual_basis_pointing_error_deg,combined_worst_active_rl_db,combined_total_rl_db,task_significant_worst_active_rl_db,robust_active_gate,expected_hfss_case_count
10,100005,expanded_100005_8e92dfcc4fbb67c6,8e92dfcc4fbb67c6,1,nominal_control,2,0.4140625,0.4140625,0.0,106,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-10.79656982421875,-10.79656982421875,29.44680404663086,29.44680404663086,23.308204650878906,23.308204650878906,81.6689224243164,81.6689224243164,8.537736462515939e-07,10.122116132943695,11.354151835654527,10.049918887571431,1,3
11,100005,expanded_100005_8e92dfcc4fbb67c6,8e92dfcc4fbb67c6,1,targeted_mainlobe_failure,2,0.4140625,0.4140625,0.0,106,24.198223114013672,0.0,0,3.0,-1,5.516344414334339,1,1,0,0,0,1,-10.79656982421875,-8.225349426269531,29.44680404663086,23.282176971435547,23.308204650878906,23.119304656982422,81.6689224243164,81.6241455078125,2.6239315189901777,-1.6533260620638446,11.17075998702524,8.977584783569323,0,3
12,100006,expanded_100006_fee96824b7e32672,fee96824b7e32672,2,nominal_control,2,0.3984375,0.3984375,0.0,102,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-6.117332458496094,-6.117332458496094,34.41389465332031,34.41389465332031,23.876602172851562,23.876602172851562,79.53770446777344,79.53770446777344,0.9999999999991713,10.160870810182942,10.933073819691312,10.051450742955074,1,3
13,100006,expanded_100006_fee96824b7e32672,fee96824b7e32672,2,targeted_mainlobe_failure,2,0.3984375,0.3984375,0.0,102,17.667545318603516,0.0,0,1.5,-1,2.5288449221083718,1,1,1,1,0,1,-6.117332458496094,-5.251373291015625,34.41389465332031,32.15827560424805,23.876602172851562,22.420425415039062,79.53770446777344,79.30274963378906,1.9999639378438443,-1.365784377874688,10.817985333776694,8.988447168748234,0,3
14,100007,expanded_100007_4730cd34ba08bd6a,4730cd34ba08bd6a,2,nominal_control,2,0.3984375,0.3984375,0.0,102,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-6.5403900146484375,-6.5403900146484375,27.07180404663086,27.07180404663086,24.311691284179688,24.311691284179688,79.14804077148438,79.14804077148438,0.9999999999995357,10.036438470836238,10.65235549325984,10.039764048117362,1,3
15,100007,expanded_100007_4730cd34ba08bd6a,4730cd34ba08bd6a,2,targeted_mainlobe_failure,2,0.3984375,0.3984375,0.0,102,7.82230281829834,0.0,0,1.0,-1,1.2385197647403905,1,1,1,1,0,1,-6.5403900146484375,-6.559906005859375,27.07180404663086,27.478687286376953,24.311691284179688,21.91592788696289,79.14804077148438,79.23773956298828,1.8572866455691839,9.844623575641366,10.80762616493502,9.986682855556849,0,3
16,100008,expanded_100008_ca5af396b39a2927,ca5af396b39a2927,2,nominal_control,2,0.3984375,0.3984375,0.0,102,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-5.646568298339844,-5.646568298339844,28.147201538085938,28.147201538085938,23.931900024414062,23.931900024414062,79.28099060058594,79.28099060058594,0.9999999999995357,10.096563419574077,10.917982453401422,10.103284953615557,1,3
17,100008,expanded_100008_ca5af396b39a2927,ca5af396b39a2927,2,targeted_mainlobe_failure,2,0.3984375,0.3984375,0.0,102,17.551719665527344,0.0,0,1.5,-1,2.408063096122948,1,1,1,1,0,1,-5.646568298339844,-4.831687927246094,28.147201538085938,27.205101013183594,23.931900024414062,21.695537567138672,79.28099060058594,78.98240661621094,1.9999659902190643,-7.449676530920504,10.628629029839797,8.88836668309469,0,3
18,100009,expanded_100009_ad8069302ca4ccef,ad8069302ca4ccef,3,nominal_control,4,0.50390625,0.50390625,0.0,129,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-9.026779174804688,-9.026779174804688,28.616653442382812,28.616653442382812,23.413002014160156,23.413002014160156,80.1779556274414,80.1779556274414,1.0000000000002647,10.019489265000516,11.052817551712188,10.019319584500828,1,5
19,100009,expanded_100009_ad8069302ca4ccef,ad8069302ca4ccef,3,targeted_mainlobe_failure,4,0.50390625,0.50390625,0.0,129,11.356196403503418,0.0,0,2.5,-1,2.5029059853157394,1,1,1,1,0,1,-9.026779174804688,-7.7680816650390625,28.616653442382812,29.175514221191406,23.413002014160156,20.281845092773438,80.1779556274414,80.13756561279297,1.5626280717059626,4.660566350702319,11.115598084628505,9.556922386758064,0,5
20,100010,expanded_100010_eba6f25c436f3423,eba6f25c436f3423,3,nominal_control,4,0.50390625,0.50390625,0.0,129,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-9.4049072265625,-9.4049072265625,28.736228942871094,28.736228942871094,23.943115234375,23.943115234375,79.9677963256836,79.9677963256836,1.0000000000002647,10.039526328024039,10.76212707073811,10.040833303986872,1,5
21,100010,expanded_100010_eba6f25c436f3423,eba6f25c436f3423,3,targeted_mainlobe_failure,4,0.50390625,0.50390625,0.0,129,20.465391159057617,0.0,0,1.5,-1,4.163873911897056,1,1,1,1,0,1,-9.4049072265625,-7.0998687744140625,28.736228942871094,27.578834533691406,23.943115234375,21.576568603515625,79.9677963256836,79.49179077148438,2.0036892910795325,-3.2370347547060763,10.626716061816989,8.671404052758485,0,5
22,100011,expanded_100011_ec20138a313b8a03,ec20138a313b8a03,3,nominal_control,4,0.50390625,0.50390625,0.0,129,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-9.15972900390625,-9.15972900390625,28.583358764648438,28.583358764648438,23.21662139892578,23.21662139892578,80.00235748291016,80.00235748291016,0.9999999999999002,10.010906786194374,10.86155019346782,10.017365820361647,1,5
23,100011,expanded_100011_ec20138a313b8a03,ec20138a313b8a03,3,targeted_mainlobe_failure,4,0.50390625,0.50390625,0.0,129,11.851541519165039,0.0,0,2.5,-1,1.6757823207858387,1,1,1,1,0,1,-9.15972900390625,-8.424186706542969,28.583358764648438,27.268421173095703,23.21662139892578,22.025970458984375,80.00235748291016,80.00283813476562,1.6267244773870073,3.6507065389430475,10.977585957756373,9.952268022892081,0,5
24,100012,expanded_100012_98e4fd318b170d97,98e4fd318b170d97,4,nominal_control,2,0.49609375,0.49609375,0.0,127,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-10.890342712402344,-10.890342712402344,35.313629150390625,35.313629150390625,23.168701171875,23.168701171875,82.4471664428711,82.4471664428711,0.17430270312381774,10.229657591588994,11.163904781047378,10.034509958532126,1,3
25,100012,expanded_100012_98e4fd318b170d97,98e4fd318b170d97,4,targeted_mainlobe_failure,2,0.49609375,0.49609375,0.0,127,20.38106918334961,0.0,0,1.5,-1,4.601727230911367,1,1,1,1,0,1,-10.890342712402344,-8.16998291015625,35.313629150390625,33.58502960205078,23.168701171875,21.757102966308594,82.4471664428711,82.26371765136719,2.000041100493427,7.345490398598234,11.1872569117699,9.199854089806683,0,3
26,100013,expanded_100013_cdc3cf3e599522d2,cdc3cf3e599522d2,4,nominal_control,2,0.49609375,0.49609375,0.0,127,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-10.824226379394531,-10.824226379394531,29.831005096435547,29.831005096435547,22.723052978515625,22.723052978515625,82.11552429199219,82.11552429199219,0.17430270312381774,10.068277935566423,11.139225496990317,10.027747178012053,1,3
27,100013,expanded_100013_cdc3cf3e599522d2,cdc3cf3e599522d2,4,targeted_mainlobe_failure,2,0.49609375,0.49609375,0.0,127,16.701068878173828,0.0,0,2.5,-1,1.6695488806013363,1,1,1,1,0,1,-10.824226379394531,-10.731254577636719,29.831005096435547,29.35476303100586,22.723052978515625,21.87625503540039,82.11552429199219,82.21734619140625,2.4622930577102795,7.281716110900126,11.147095938491018,9.987817232000198,0,3
28,100014,expanded_100014_b1ff895ca2d60067,b1ff895ca2d60067,4,nominal_control,2,0.49609375,0.49609375,0.0,127,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-11.396713256835938,-11.396713256835938,32.298194885253906,32.298194885253906,22.720916748046875,22.720916748046875,82.24234008789062,82.24234008789062,0.20904642891876396,10.050691046919171,11.13784340845195,10.08159670501701,1,3
29,100014,expanded_100014_b1ff895ca2d60067,b1ff895ca2d60067,4,targeted_mainlobe_failure,2,0.49609375,0.49609375,0.0,127,20.147947311401367,0.0,0,1.5,-1,5.849217199483194,1,1,1,1,0,1,-11.396713256835938,-7.6840057373046875,32.298194885253906,29.06983184814453,22.720916748046875,21.795578002929688,82.24234008789062,82.03971862792969,1.999971977787495,4.296822231391074,11.125615185687161,8.392451475519923,0,3
30,100015,expanded_100015_a368eb3ffb2259b8,a368eb3ffb2259b8,5,nominal_control,2,0.51171875,0.51171875,0.0,131,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-5.266044616699219,-5.266044616699219,30.5050048828125,30.5050048828125,23.349258422851562,23.349258422851562,80.41344451904297,80.41344451904297,0.9999999999999002,10.06585704672619,10.51489071516393,10.058522889135787,1,3
31,100015,expanded_100015_a368eb3ffb2259b8,a368eb3ffb2259b8,5,targeted_mainlobe_failure,2,0.51171875,0.51171875,0.0,131,9.400419235229492,0.0,0,1.0,-1,1.905968773001706,1,1,1,1,0,1,-5.266044616699219,-5.097770690917969,30.5050048828125,32.173728942871094,23.349258422851562,21.165679931640625,80.41344451904297,80.12721252441406,1.9767744295482343,1.1506658512988968,10.328975051219844,9.5612800036648,0,3
32,100016,expanded_100016_85e8dd1d6a328798,85e8dd1d6a328798,5,nominal_control,2,0.51171875,0.51171875,0.0,131,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-4.9631195068359375,-4.9631195068359375,33.367347717285156,33.367347717285156,23.557331085205078,23.557331085205078,80.42056274414062,80.42056274414062,0.9999999999999002,10.051778102413898,10.869176262337268,10.089926272383874,1,3
33,100016,expanded_100016_85e8dd1d6a328798,85e8dd1d6a328798,5,targeted_mainlobe_failure,2,0.51171875,0.51171875,0.0,131,16.234752655029297,0.0,0,1.5,-1,2.297077749531653,1,1,1,1,0,1,-4.9631195068359375,-4.104217529296875,33.367347717285156,30.71172332763672,23.557331085205078,24.217445373535156,80.42056274414062,80.31131744384766,1.9999916044098855,1.9655232046898605,10.944509143167366,10.058051430865556,0,3
34,100017,expanded_100017_5e8bf33e3dff5609,5e8bf33e3dff5609,5,nominal_control,2,0.51171875,0.51171875,0.0,131,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-5.3324432373046875,-5.3324432373046875,28.592327117919922,28.592327117919922,24.33266830444336,24.33266830444336,80.47848510742188,80.47848510742188,0.9999999999999002,10.05373968261713,10.837252612518588,10.023268977954343,1,3
35,100017,expanded_100017_5e8bf33e3dff5609,5e8bf33e3dff5609,5,targeted_mainlobe_failure,2,0.51171875,0.51171875,0.0,131,9.54856014251709,0.0,0,1.0,-1,1.7776064595138164,1,1,1,1,0,1,-5.3324432373046875,-4.7067413330078125,28.592327117919922,30.074050903320312,24.33266830444336,23.85424041748047,80.47848510742188,80.31277465820312,1.9923123758146424,-7.4889246057749155,10.683411795531994,9.286671587440424,0,3
36,100018,expanded_100018_e72b93fb7f372e80,e72b93fb7f372e80,6,nominal_control,6,0.5234375,0.5234375,0.0,134,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-5.0678863525390625,-5.0678863525390625,25.270492553710938,25.270492553710938,22.42292022705078,22.42292022705078,77.57670593261719,77.57670593261719,0.9999999999999002,10.155963354628252,10.728099749628672,10.042629840414945,1,7
37,100018,expanded_100018_e72b93fb7f372e80,e72b93fb7f372e80,6,targeted_mainlobe_failure,6,0.5234375,0.5234375,0.0,134,11.974565505981445,0.0,0,1.0,-1,1.6039034963930832,1,1,0,0,0,1,-5.0678863525390625,-4.315788269042969,25.270492553710938,24.733928680419922,22.42292022705078,22.217803955078125,77.57670593261719,77.41079711914062,2.000953126208918,0.7054312201686594,10.592273489421135,9.625568720535334,0,7
38,100019,expanded_100019_1a9df883e84c2f83,1a9df883e84c2f83,6,nominal_control,6,0.5234375,0.5234375,0.0,134,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-5.177909851074219,-5.177909851074219,25.792282104492188,25.792282104492188,22.993038177490234,22.993038177490234,78.06778717041016,78.06778717041016,0.9999999999999002,10.082520969532322,11.169521086001568,10.021703834909601,1,7
39,100019,expanded_100019_1a9df883e84c2f83,1a9df883e84c2f83,6,targeted_mainlobe_failure,6,0.5234375,0.5234375,0.0,134,7.966342926025391,0.0,0,1.0,-1,1.5172613655222906,1,1,0,0,0,1,-5.177909851074219,-4.642723083496094,25.792282104492188,24.44530487060547,22.993038177490234,22.91530990600586,78.06778717041016,77.93030548095703,1.9768330642964347,5.385498335475455,11.082286933042031,9.707485366091213,0,7
40,100020,expanded_100020_f0d8fb5396776ddd,f0d8fb5396776ddd,6,nominal_control,6,0.5234375,0.5234375,0.0,134,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-5.302345275878906,-5.302345275878906,25.769996643066406,25.769996643066406,22.649993896484375,22.649993896484375,78.05424499511719,78.05424499511719,0.9999999999995357,10.11523437505327,10.814312618424486,10.023592651732212,1,7
41,100020,expanded_100020_f0d8fb5396776ddd,f0d8fb5396776ddd,6,targeted_mainlobe_failure,6,0.5234375,0.5234375,0.0,134,18.07423973083496,0.0,0,1.5,-1,2.2097472229504747,1,1,0,0,0,1,-5.302345275878906,-4.355491638183594,25.769996643066406,24.436172485351562,22.649993896484375,22.167278289794922,78.05424499511719,77.7455062866211,2.000039871315524,0.634531859235399,10.702099083217538,8.491876000863316,0,7
42,100021,expanded_100021_96909c6b8423e784,96909c6b8423e784,7,nominal_control,4,0.59375,0.59375,0.0,152,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-6.552177429199219,-6.552177429199219,28.857074737548828,28.857074737548828,22.94760513305664,22.94760513305664,78.18993377685547,78.18993377685547,0.9999999999995357,10.115353360496378,11.553120823954119,10.011070717704037,1,5
43,100021,expanded_100021_96909c6b8423e784,96909c6b8423e784,7,targeted_mainlobe_failure,4,0.59375,0.59375,0.0,152,12.743608474731445,0.0,0,1.5,-1,1.7513010590401827,1,1,1,1,0,1,-6.552177429199219,-6.0097198486328125,28.857074737548828,28.24197006225586,22.94760513305664,21.24859619140625,78.18993377685547,77.99732971191406,1.8754220185925965,-0.39030523740003237,11.473967677786678,9.405907641334712,0,5
44,100022,expanded_100022_40bf0f715eee05a2,40bf0f715eee05a2,7,nominal_control,4,0.59375,0.59375,0.0,152,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-7.362480163574219,-7.362480163574219,28.304779052734375,28.304779052734375,23.297317504882812,23.297317504882812,78.57939147949219,78.57939147949219,0.9999999999995357,10.217372254549598,11.306725971343319,10.050248609180361,1,5
45,100022,expanded_100022_40bf0f715eee05a2,40bf0f715eee05a2,7,targeted_mainlobe_failure,4,0.59375,0.59375,0.0,152,17.82242202758789,0.0,0,1.5,-1,4.000726988161932,1,1,1,1,0,1,-7.362480163574219,-5.068084716796875,28.304779052734375,26.16020965576172,23.297317504882812,22.07463836669922,78.57939147949219,78.2148666381836,1.9999891325733996,-1.9996676494192298,11.194297906335676,9.630199996107091,0,5
46,100023,expanded_100023_1f67e45920c66ef4,1f67e45920c66ef4,7,nominal_control,4,0.59375,0.59375,0.0,152,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-6.940765380859375,-6.940765380859375,28.249988555908203,28.249988555908203,22.681320190429688,22.681320190429688,78.44371032714844,78.44371032714844,0.9999999999995357,10.140988927670833,11.405555297974136,10.031064906421035,1,5
47,100023,expanded_100023_1f67e45920c66ef4,1f67e45920c66ef4,7,targeted_mainlobe_failure,4,0.59375,0.59375,0.0,152,8.641792297363281,0.0,0,1.0,-1,1.3623071282472103,1,1,1,1,0,1,-6.940765380859375,-6.341239929199219,28.249988555908203,28.416393280029297,22.681320190429688,21.90534210205078,78.44371032714844,78.36317443847656,1.8933001695798939,7.466309638895138,11.405992092340929,9.734042215007255,0,5
48,100024,expanded_100024_1d9b4d689b12af41,1d9b4d689b12af41,8,nominal_control,2,0.5625,0.5625,0.0,144,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-12.856430053710938,-12.856430053710938,30.83313751220703,30.83313751220703,24.05142593383789,24.05142593383789,83.63229370117188,83.63229370117188,0.2789695098888165,10.121867334914072,11.300682330973794,10.012629846151732,1,3
49,100024,expanded_100024_1d9b4d689b12af41,1d9b4d689b12af41,8,intermediate_implementation_error,2,0.5625,0.5625,0.0,144,15.0,0.75,1,0.0,20285428,4.133420192639628,1,1,1,0,0,1,-12.856430053710938,-11.570449829101562,30.83313751220703,27.22125244140625,24.05142593383789,19.688392639160156,83.63229370117188,82.8481674194336,0.4181376997335014,-300.0,10.744481992592192,5.280112472925581,0,3
50,100025,expanded_100025_e0a20f2d9e6c21fb,e0a20f2d9e6c21fb,8,nominal_control,2,0.5625,0.5625,0.0,144,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-12.341377258300781,-12.341377258300781,28.917953491210938,28.917953491210938,24.329025268554688,24.329025268554688,83.50846862792969,83.50846862792969,0.2789695098888165,10.040805653915207,11.186405565010261,10.040349536089778,1,3
51,100025,expanded_100025_e0a20f2d9e6c21fb,e0a20f2d9e6c21fb,8,intermediate_implementation_error,2,0.5625,0.5625,0.0,144,15.0,0.75,1,0.0,20286437,3.4780583904981284,1,1,1,1,1,0,-12.341377258300781,-11.507606506347656,28.917953491210938,34.54496383666992,24.329025268554688,21.41851806640625,83.50846862792969,83.06861114501953,0.13886797242283316,-300.0,10.603946795548369,6.138600334157841,0,3
52,100026,expanded_100026_be1fd3192a931cea,be1fd3192a931cea,8,nominal_control,2,0.5625,0.5625,0.0,144,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-11.057052612304688,-11.057052612304688,30.65052032470703,30.65052032470703,23.47109603881836,23.47109603881836,83.55854797363281,83.55854797363281,0.17430270312381774,10.212845256547467,11.313541452325502,10.07374922700613,1,3
53,100026,expanded_100026_be1fd3192a931cea,be1fd3192a931cea,8,intermediate_implementation_error,2,0.5625,0.5625,0.0,144,15.0,0.75,1,0.0,20287444,3.729756796757422,1,1,1,1,1,0,-11.057052612304688,-9.791091918945312,30.65052032470703,36.13030242919922,23.47109603881836,20.93310546875,83.55854797363281,83.18621826171875,0.3483491488115128,-300.0,11.020729625380191,6.618757148941302,0,3
54,100027,expanded_100027_fc866bec710f4f22,fc866bec710f4f22,9,nominal_control,4,0.65234375,0.65234375,0.0,167,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-6.495201110839844,-6.495201110839844,27.978443145751953,27.978443145751953,22.920391082763672,22.920391082763672,78.95854187011719,78.95854187011719,0.9999999999999002,10.11577366420765,12.003241785587345,10.023706339504121,1,5
55,100027,expanded_100027_fc866bec710f4f22,fc866bec710f4f22,9,intermediate_implementation_error,4,0.65234375,0.65234375,0.0,167,15.0,0.75,1,0.0,20288455,3.3815021383113546,1,1,0,0,0,1,-6.495201110839844,-5.817420959472656,27.978443145751953,23.29718017578125,22.920391082763672,19.134681701660156,78.95854187011719,78.37162017822266,0.9998855854377378,-300.0,11.079924938416365,5.277792365289362,0,5
56,100028,expanded_100028_741e629a044cdc18,741e629a044cdc18,9,nominal_control,4,0.65234375,0.65234375,0.0,167,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-5.904060363769531,-5.904060363769531,27.016948699951172,27.016948699951172,22.34856414794922,22.34856414794922,79.18402099609375,79.18402099609375,0.9999999999999002,10.144900664802082,11.985072199814557,10.036296433966534,1,5
57,100028,expanded_100028_741e629a044cdc18,741e629a044cdc18,9,intermediate_implementation_error,4,0.65234375,0.65234375,0.0,167,15.0,0.75,1,0.0,20289463,4.020296851629348,1,1,0,0,0,1,-5.904060363769531,-4.637367248535156,27.016948699951172,23.425865173339844,22.34856414794922,20.214282989501953,79.18402099609375,78.36174774169922,1.9999786214714856,-300.0,11.012109709748916,3.9132646077371214,0,5
58,100029,expanded_100029_4931280b90e5d0ce,4931280b90e5d0ce,9,nominal_control,4,0.65234375,0.65234375,0.0,167,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-5.5391845703125,-5.5391845703125,26.70462417602539,26.70462417602539,23.245899200439453,23.245899200439453,79.03809356689453,79.03809356689453,1.0000000000002647,10.173096515215136,11.913170288771934,10.055492920168774,1,5
59,100029,expanded_100029_4931280b90e5d0ce,4931280b90e5d0ce,9,intermediate_implementation_error,4,0.65234375,0.65234375,0.0,167,15.0,0.75,1,0.0,20290471,3.7858885557295077,1,1,0,0,0,1,-5.5391845703125,-4.82940673828125,26.70462417602539,21.382160186767578,23.245899200439453,19.586074829101562,79.03809356689453,78.70756530761719,2.0000207485442414,-300.0,10.990992542065737,2.5502294604922797,0,5
60,100030,expanded_100030_6f1cb0681288cde9,6f1cb0681288cde9,10,nominal_control,2,0.65625,0.65625,0.0,168,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-11.251312255859375,-11.251312255859375,27.688133239746094,27.688133239746094,24.680660247802734,24.680660247802734,84.08424377441406,84.08424377441406,8.537736462515939e-07,10.126480768637741,11.575040366351068,10.068595929389527,1,3
61,100030,expanded_100030_6f1cb0681288cde9,6f1cb0681288cde9,10,intermediate_implementation_error,2,0.65625,0.65625,0.0,168,15.0,0.75,1,0.0,20291479,3.309039431738711,1,1,0,0,0,1,-11.251312255859375,-11.554550170898438,27.688133239746094,24.565975189208984,24.680660247802734,19.912033081054688,84.08424377441406,83.55117797851562,1.0000796867334893,-300.0,10.756816426107616,4.589612614753207,0,3
62,100031,expanded_100031_e4449e980c261e01,e4449e980c261e01,10,nominal_control,2,0.65625,0.65625,0.0,168,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-11.900199890136719,-11.900199890136719,27.717803955078125,27.717803955078125,24.866249084472656,24.866249084472656,84.10521697998047,84.10521697998047,8.537736462515939e-07,10.07754508136782,11.66343880981417,10.044440090152298,1,3
63,100031,expanded_100031_e4449e980c261e01,e4449e980c261e01,10,intermediate_implementation_error,2,0.65625,0.65625,0.0,168,15.0,0.75,1,0.0,20292488,2.7993750295713653,1,1,1,1,0,1,-11.900199890136719,-10.651557922363281,27.717803955078125,27.88402557373047,24.866249084472656,21.362533569335938,84.10521697998047,83.5938949584961,0.2438543675062202,-300.0,11.01819347544045,4.702652444833741,0,3
