stimulus_index,stimulus_family,sample_index,k_value,ratio,window_role,source_type,task_index,worst_port,active_rl_db,worst_gamma_magnitude,source_port_magnitude,reflected_port_magnitude,required_b_reduction_for_10db,required_b_reduction_for_11db,stop_line_pass,design_line_pass,source_port,coupling_relation,s_magnitude,s_phase_deg,source_magnitude,term_real,term_imag,term_magnitude,term_alignment_with_total
8,old_285_replay,426105,2,0.800000011920929,corner,task,1,P10,5.11690964331876,0.5548230786045053,0.48363866591364313,0.2683338935543833,0.1153939186731481,0.13202599746333096,False,False,P01,diagonal,0.063880131359037,139.19540158061,0.0,-0.0,0.0,0.0,-0.0
8,old_285_replay,426105,2,0.800000011920929,corner,task,1,P10,5.11690964331876,0.5548230786045053,0.48363866591364313,0.2683338935543833,0.1153939186731481,0.13202599746333096,False,False,P11,y_neighbor,0.22114394099010298,-124.185421282005,0.7045040003698324,0.15575633463757615,-0.00355025811381994,0.1557967910850777,0.9506453497594314
21,old_285_replay,426109,2,0.6000000238418579,corner,combined,-1,P11,8.24583207178046,0.38699771111913134,0.5519251685380347,0.2135937769332603,0.0390597138780108,0.058040129498974885,False,False,P00,diagonal,0.063652560312172,139.228562638808,0.0,-0.0,0.0,0.0,0.0
21,old_285_replay,426109,2,0.6000000238418579,corner,combined,-1,P11,8.24583207178046,0.38699771111913134,0.5519251685380347,0.2135937769332603,0.0390597138780108,0.058040129498974885,False,False,P10,y_neighbor,0.22114394099010298,-124.185421282005,0.8338936527546615,-0.0630094041503936,-0.17331202525386943,0.1844105287367983,0.9365495070166664
21,old_285_replay,426109,2,0.6000000238418579,corner,combined,-1,P11,8.24583207178046,0.38699771111913134,0.5519251685380347,0.2135937769332603,0.0390597138780108,0.058040129498974885,False,False,P01,x_neighbor,0.177996764958833,-23.879828669598304,0.0,0.0,0.0,0.0,-0.0
21,old_285_replay,426109,2,0.6000000238418579,corner,combined,-1,P11,8.24583207178046,0.38699771111913134,0.5519251685380347,0.2135937769332603,0.0390597138780108,0.058040129498974885,False,False,P11,self,0.13858096432942,-127.72686751526298,0.5519251685380347,-0.07570675464227025,0.01089241795713997,0.07648632209367852,0.5345293908374243
23,old_285_replay,426109,2,0.6000000238418579,corner,task,1,P11,8.950382195201502,0.3568460470522558,0.6878155591508912,0.24544426338403258,0.027937885682123992,0.05159150020713377,False,False,P00,diagonal,0.063652560312172,139.228562638808,0.0,-0.0,0.0,0.0,0.0
23,old_285_replay,426109,2,0.6000000238418579,corner,task,1,P11,8.950382195201502,0.3568460470522558,0.6878155591508912,0.24544426338403258,0.027937885682123992,0.05159150020713377,False,False,P10,y_neighbor,0.22114394099010298,-124.185421282005,0.7258854622137925,0.00042345377559420416,-0.16052461330021536,0.16052517182138054,0.9762145026351818
23,old_285_replay,426109,2,0.6000000238418579,corner,task,1,P11,8.950382195201502,0.3568460470522558,0.6878155591508912,0.24544426338403258,0.027937885682123992,0.05159150020713377,False,False,P01,x_neighbor,0.177996764958833,-23.879828669598304,0.0,0.0,0.0,0.0,-0.0
23,old_285_replay,426109,2,0.6000000238418579,corner,task,1,P11,8.950382195201502,0.3568460470522558,0.6878155591508912,0.24544426338403258,0.027937885682123992,0.05159150020713377,False,False,P11,self,0.13858096432942,-127.72686751526298,0.6878155591508912,-0.05300522189720462,-0.07922117725581412,0.09531814346790973,0.9309587806215635
40,old_285_replay,426110,4,0.699999988079071,corner,combined,-1,P10,4.558869587781168,0.5916386270965512,0.43408529019971104,0.2568216251365651,0.11955180355593967,0.13447976787538082,False,False,P00,x_neighbor,0.177287235448698,-24.2139363904075,0.561957092733632,0.0796807291537113,0.059805382719534395,0.09962781941153324,0.8852662781247939
40,old_285_replay,426110,4,0.699999988079071,corner,combined,-1,P10,4.558869587781168,0.5916386270965512,0.43408529019971104,0.2568216251365651,0.11955180355593967,0.13447976787538082,False,False,P10,self,0.136232878997807,-128.024603514836,0.43408529019971104,0.02233979319222284,-0.054754740471235325,0.05913668881450518,0.2252996630587406
40,old_285_replay,426110,4,0.699999988079071,corner,combined,-1,P10,4.558869587781168,0.5916386270965512,0.43408529019971104,0.2568216251365651,0.11955180355593967,0.13447976787538082,False,False,P01,diagonal,0.063880131359037,139.19540158061,0.0,-0.0,0.0,0.0,0.0
40,old_285_replay,426110,4,0.699999988079071,corner,combined,-1,P10,4.558869587781168,0.5916386270965512,0.43408529019971104,0.2568216251365651,0.11955180355593967,0.13447976787538082,False,False,P11,y_neighbor,0.22114394099010298,-124.185421282005,0.7041123381698762,0.1515154288764191,0.03589894353181426,0.15571017736264256,0.9973721873196556
42,old_285_replay,426110,4,0.699999988079071,corner,task,1,P10,9.09831407794555,0.35081996113045766,0.5817622927503417,0.20409382492984085,0.020124434740566605,0.040130933335757096,False,False,P00,x_neighbor,0.177287235448698,-24.2139363904075,0.5111560422324678,0.03638175455184727,0.08299767234842631,0.09062144161029215,0.1414129437932046
42,old_285_replay,426110,4,0.699999988079071,corner,task,1,P10,9.09831407794555,0.35081996113045766,0.5817622927503417,0.20409382492984085,0.020124434740566605,0.040130933335757096,False,False,P10,self,0.136232878997807,-128.024603514836,0.5817622927503417,0.07445650486275937,-0.027158939734713124,0.07925515203374409,0.9969178745563576
42,old_285_replay,426110,4,0.699999988079071,corner,task,1,P10,9.09831407794555,0.35081996113045766,0.5817622927503417,0.20409382492984085,0.020124434740566605,0.040130933335757096,False,False,P01,diagonal,0.063880131359037,139.19540158061,0.0,-0.0,0.0,0.0,-0.0
42,old_285_replay,426110,4,0.699999988079071,corner,task,1,P10,9.09831407794555,0.35081996113045766,0.5817622927503417,0.20409382492984085,0.020124434740566605,0.040130933335757096,False,False,P11,y_neighbor,0.22114394099010298,-124.185421282005,0.6326706361931733,0.08579419428274282,-0.11051932814313525,0.13991127783647403,0.8024221072374252
43,old_285_replay,426110,4,0.699999988079071,corner,task,2,P10,7.392526169513221,0.42694672989746324,0.5889601375113133,0.2514546047504155,0.06520905619224321,0.08546308487471038,False,False,P00,x_neighbor,0.177287235448698,-24.2139363904075,0.4851143463608289,0.08105656045827231,0.028751035087924617,0.08600458134281351,0.7438858028308319
43,old_285_replay,426110,4,0.699999988079071,corner,task,2,P10,7.392526169513221,0.42694672989746324,0.5889601375113133,0.2514546047504155,0.06520905619224321,0.08546308487471038,False,False,P10,self,0.136232878997807,-128.024603514836,0.5889601375113133,0.016074395370882268,-0.07860907713628429,0.0802357351481105,0.558665589996936
43,old_285_replay,426110,4,0.699999988079071,corner,task,2,P10,7.392526169513221,0.42694672989746324,0.5889601375113133,0.2514546047504155,0.06520905619224321,0.08546308487471038,False,False,P01,diagonal,0.063880131359037,139.19540158061,0.0,-0.0,0.0,0.0,-0.0
43,old_285_replay,426110,4,0.699999988079071,corner,task,2,P10,7.392526169513221,0.42694672989746324,0.5889601375113133,0.2514546047504155,0.06520905619224321,0.08546308487471038,False,False,P11,y_neighbor,0.22114394099010298,-124.185421282005,0.6463667611170434,0.13533911841368507,-0.04599122937149152,0.14294009287843146,0.9979850336116237
44,old_285_replay,426110,4,0.699999988079071,corner,task,3,P10,6.657625585450019,0.464642274602417,0.5477448162472223,0.25450539732279237,0.08129327773362988,0.10012993324281677,False,False,P00,x_neighbor,0.177287235448698,-24.2139363904075,0.5957718185587889,-0.05346524075149306,0.09109133304353477,0.10562273867053099,0.7324382200077227
44,old_285_replay,426110,4,0.699999988079071,corner,task,3,P10,6.657625585450019,0.464642274602417,0.5477448162472223,0.25450539732279237,0.08129327773362988,0.10012993324281677,False,False,P10,self,0.136232878997807,-128.024603514836,0.5477448162472223,0.008861732713424272,0.07409278936967235,0.07462085327348386,0.995093580256257
44,old_285_replay,426110,4,0.699999988079071,corner,task,3,P10,6.657625585450019,0.464642274602417,0.5477448162472223,0.25450539732279237,0.08129327773362988,0.10012993324281677,False,False,P01,diagonal,0.063880131359037,139.19540158061,0.0,-0.0,0.0,0.0,0.0
44,old_285_replay,426110,4,0.699999988079071,corner,task,3,P10,6.657625585450019,0.464642274602417,0.5477448162472223,0.25450539732279237,0.08129327773362988,0.10012993324281677,False,False,P11,y_neighbor,0.22114394099010298,-124.185421282005,0.5873938636592103,0.09968157140601688,0.08329002956656863,0.12989859392300102,0.7920681161022288
63,old_285_replay,426102,2,0.699999988079071,corner,task,1,P10,8.333772919240673,0.3830992961170265,0.5824170546101916,0.22312356366771616,0.03894711959822858,0.05897613510864805,False,False,P00,x_neighbor,0.177287235448698,-24.2139363904075,0.0,0.0,0.0,0.0,0.0
63,old_285_replay,426102,2,0.699999988079071,corner,task,1,P10,8.333772919240673,0.3830992961170265,0.5824170546101916,0.22312356366771616,0.03894711959822858,0.05897613510864805,False,False,P10,self,0.136232878997807,-128.024603514836,0.5824170546101916,-0.06572389765238956,-0.0444510460149897,0.07934435212696937,0.6711612778655314
63,old_285_replay,426102,2,0.699999988079071,corner,task,1,P10,8.333772919240673,0.3830992961170265,0.5824170546101916,0.22312356366771616,0.03894711959822858,0.05897613510864805,False,False,P01,diagonal,0.063880131359037,139.19540158061,0.0,-0.0,0.0,0.0,0.0
63,old_285_replay,426102,2,0.699999988079071,corner,task,1,P10,8.333772919240673,0.3830992961170265,0.5824170546101916,0.22312356366771616,0.03894711959822858,0.05897613510864805,False,False,P11,y_neighbor,0.22114394099010298,-124.185421282005,0.8128901292723117,-0.15098542233620063,0.09756597135489956,0.17976572677923328,0.9449560266367212
80,old_285_replay,426113,4,0.800000011920929,corner,combined,-1,P00,9.566103040797584,0.33242589596971894,0.4274604514125049,0.14209892355242248,0.006924059941696981,0.021624199547262274,False,False,P00,self,0.13840586460662296,-126.940543860558,0.4274604514125049,0.04458241802235528,0.03889309090285608,0.0591630333628851,0.7857566272503668
80,old_285_replay,426113,4,0.800000011920929,corner,combined,-1,P00,9.566103040797584,0.33242589596971894,0.4274604514125049,0.14209892355242248,0.006924059941696981,0.021624199547262274,False,False,P10,x_neighbor,0.177287235448698,-24.2139363904075,0.5642122824705753,0.09915280414906945,0.01320035401773162,0.10002763576540818,0.9966494369504789
80,old_285_replay,426113,4,0.800000011920929,corner,combined,-1,P00,9.566103040797584,0.33242589596971894,0.4274604514125049,0.14209892355242248,0.006924059941696981,0.021624199547262274,False,False,P01,y_neighbor,0.221120650005401,-124.185373834792,0.0,0.0,-0.0,0.0,0.0
80,old_285_replay,426113,4,0.800000011920929,corner,combined,-1,P00,9.566103040797584,0.33242589596971894,0.4274604514125049,0.14209892355242248,0.006924059941696981,0.021624199547262274,False,False,P11,diagonal,0.0636525603121721,139.228562638808,0.706358310671815,-0.0018172379097956479,-0.04492477573633876,0.044961514972041705,-0.09077338404452351
82,old_285_replay,426113,4,0.800000011920929,corner,task,1,P11,7.721976855275424,0.41105615659429207,0.5773409572785702,0.23731955494339843,0.05474831379317352,0.0746027649920182,False,False,P00,diagonal,0.063652560312172,139.228562638808,0.4811458359344043,0.017016719931840812,-0.025463565834125474,0.03062616434076508,0.47117138432384154
82,old_285_replay,426113,4,0.800000011920929,corner,task,1,P11,7.721976855275424,0.41105615659429207,0.5773409572785702,0.23731955494339843,0.05474831379317352,0.0746027649920182,False,False,P10,y_neighbor,0.22114394099010298,-124.185421282005,0.6596787924874533,0.1393402300972137,0.04320222660586426,0.14588396795826777,0.9796368728208071
82,old_285_replay,426113,4,0.800000011920929,corner,task,1,P11,7.721976855275424,0.41105615659429207,0.5773409572785702,0.23731955494339843,0.05474831379317352,0.0746027649920182,False,False,P01,x_neighbor,0.177996764958833,-23.879828669598304,0.0,0.0,0.0,0.0,0.0
82,old_285_replay,426113,4,0.800000011920929,corner,task,1,P11,7.721976855275424,0.41105615659429207,0.5773409572785702,0.23731955494339843,0.05474831379317352,0.0746027649920182,False,False,P11,self,0.13858096432942,-127.72686751526298,0.5773409572785702,0.07981230595953084,0.0055991558427337385,0.08000846660653473,0.9995950668872124
83,old_285_replay,426113,4,0.800000011920929,corner,task,2,P11,7.7922245250246815,0.40774512164775084,0.4655405335530759,0.1898218814855578,0.04260503856978182,0.0586147321277842,False,False,P00,diagonal,0.063652560312172,139.228562638808,0.49174511496215384,-0.018186638970251807,-0.025475252137992444,0.03130083558834445,0.43009773436732407
83,old_285_replay,426113,4,0.800000011920929,corner,task,2,P11,7.7922245250246815,0.40774512164775084,0.4655405335530759,0.1898218814855578,0.04260503856978182,0.0586147321277842,False,False,P10,y_neighbor,0.22114394099010298,-124.185421282005,0.7358388190510068,0.0475004389648779,-0.15563918475496058,0.1627262963784429,0.9780333803201969
83,old_285_replay,426113,4,0.800000011920929,corner,task,2,P11,7.7922245250246815,0.40774512164775084,0.4655405335530759,0.1898218814855578,0.04260503856978182,0.0586147321277842,False,False,P01,x_neighbor,0.177996764958833,-23.879828669598304,0.0,0.0,0.0,0.0,0.0
83,old_285_replay,426113,4,0.800000011920929,corner,task,2,P11,7.7922245250246815,0.40774512164775084,0.4655405335530759,0.1898218814855578,0.04260503856978182,0.0586147321277842,False,False,P11,self,0.13858096432942,-127.72686751526298,0.4655405335530759,0.06272355385664698,0.015097955220883221,0.06451505607421797,0.26672399201538693
84,old_285_replay,426113,4,0.800000011920929,corner,task,3,P11,5.086109391287089,0.5567939791738572,0.43572592365539337,0.2426095708612908,0.10482093542812249,0.1198053202673109,False,False,P00,diagonal,0.063652560312172,139.228562638808,0.37272079882177755,-0.004547536140531751,-0.023284718852554766,0.02372463312660412,0.9992274842841864
84,old_285_replay,426113,4,0.800000011920929,corner,task,3,P11,5.086109391287089,0.5567939791738572,0.43572592365539337,0.2426095708612908,0.10482093542812249,0.1198053202673109,False,False,P10,y_neighbor,0.22114394099010298,-124.185421282005,0.8192815046712629,-0.06831270995869475,-0.16780719499274827,0.18117914072330454,0.9729689027870941
84,old_285_replay,426113,4,0.800000011920929,corner,task,3,P11,5.086109391287089,0.5567939791738572,0.43572592365539337,0.2426095708612908,0.10482093542812249,0.1198053202673109,False,False,P01,x_neighbor,0.177996764958833,-23.879828669598304,0.0,0.0,0.0,0.0,-0.0
84,old_285_replay,426113,4,0.800000011920929,corner,task,3,P11,5.086109391287089,0.5567939791738572,0.43572592365539337,0.2426095708612908,0.10482093542812249,0.1198053202673109,False,False,P11,self,0.13858096432942,-127.72686751526298,0.43572592365539337,0.035750377718879504,-0.048662672226148396,0.060383318683491644,0.705850499085258
101,old_285_replay,426105,2,0.800000011920929,edge,combined,-1,P10,5.686594047993436,0.5196013821091432,0.3395165012162602,0.17641324328082944,0.06904869857535843,0.08072449208977595,False,False,P00,x_neighbor,0.177287235448698,-24.2139363904075,0.519634316645559,0.005872356571302521,0.09193717812601543,0.09212453144236453,0.8704768531126337
101,old_285_replay,426105,2,0.800000011920929,edge,combined,-1,P10,5.686594047993436,0.5196013821091432,0.3395165012162602,0.17641324328082944,0.06904869857535843,0.08072449208977595,False,False,P10,self,0.136232878997807,-128.024603514836,0.3395165012162602,0.04445945951957722,-0.012756378199618923,0.046253310427953574,0.2945623166831936
101,old_285_replay,426105,2,0.800000011920929,edge,combined,-1,P10,5.686594047993436,0.5196013821091432,0.3395165012162602,0.17641324328082944,0.06904869857535843,0.08072449208977595,False,False,P01,diagonal,0.063880131359037,139.19540158061,0.6529387255068377,0.03225745497395042,-0.0264417279794407,0.041709811554779,-0.10801952138447395
101,old_285_replay,426105,2,0.800000011920929,edge,combined,-1,P10,5.686594047993436,0.5196013821091432,0.3395165012162602,0.17641324328082944,0.06904869857535843,0.08072449208977595,False,False,P11,y_neighbor,0.22114394099010298,-124.185421282005,0.43402736337389103,0.0138550987348601,0.09497726411240397,0.09598252163404575,0.9074773321309287
102,old_285_replay,426105,2,0.800000011920929,edge,task,0,P10,8.509216954905218,0.37543879927914603,0.5589432959617003,0.20984899990098912,0.03309561008893236,0.05231737541267392,False,False,P00,x_neighbor,0.177287235448698,-24.2139363904075,0.49414042807506164,0.07191478988370602,0.05002861481157617,0.08760479041686388,0.8116465707699574
102,old_285_replay,426105,2,0.800000011920929,edge,task,0,P10,8.509216954905218,0.37543879927914603,0.5589432959617003,0.20984899990098912,0.03309561008893236,0.05231737541267392,False,False,P10,self,0.136232878997807,-128.024603514836,0.5589432959617003,0.01879856223585276,-0.07378954245945873,0.07614645440538576,0.26236576120267224
102,old_285_replay,426105,2,0.800000011920929,edge,task,0,P10,8.509216954905218,0.37543879927914603,0.5589432959617003,0.20984899990098912,0.03309561008893236,0.05231737541267392,False,False,P01,diagonal,0.063880131359037,139.19540158061,0.48843477856462475,0.026229603922663623,-0.016897562408551597,0.03120127781503038,0.8492257589231458
102,old_285_replay,426105,2,0.800000011920929,edge,task,0,P10,8.509216954905218,0.37543879927914603,0.5589432959617003,0.20984899990098912,0.03309561008893236,0.05231737541267392,False,False,P11,y_neighbor,0.22114394099010298,-124.185421282005,0.45259152258071006,0.09287911590506628,0.03729681142929826,0.10008787296220942,0.9218871191933982
103,old_285_replay,426105,2,0.800000011920929,edge,task,1,P10,7.284176220360984,0.43230592614791896,0.4933079856351257,0.21325996560615731,0.05726228335049513,0.07422688494910845,False,False,P00,x_neighbor,0.177287235448698,-24.2139363904075,0.5491133261677764,-0.05979333266185507,0.07682403546991408,0.09735078354432429,0.9430598030038683
103,old_285_replay,426105,2,0.800000011920929,edge,task,1,P10,7.284176220360984,0.43230592614791896,0.4933079856351257,0.21325996560615731,0.05726228335049513,0.07422688494910845,False,False,P10,self,0.136232878997807,-128.024603514836,0.4933079856351257,0.04223001697415597,0.05227912001397451,0.06720476711568199,0.5388196281730608
103,old_285_replay,426105,2,0.800000011920929,edge,task,1,P10,7.284176220360984,0.43230592614791896,0.4933079856351257,0.21325996560615731,0.05726228335049513,0.07422688494910845,False,False,P01,diagonal,0.063880131359037,139.19540158061,0.42650265009107546,0.018785857631295692,-0.019732816503301255,0.027245045312795296,-0.9053791757150121
103,old_285_replay,426105,2,0.800000011920929,edge,task,1,P10,7.284176220360984,0.43230592614791896,0.4933079856351257,0.21325996560615731,0.05726228335049513,0.07422688494910845,False,False,P11,y_neighbor,0.22114394099010298,-124.185421282005,0.5227018810988197,-0.06877125509893964,0.0929091317558089,0.11559235394913318,0.9508258992790122
116,old_285_replay,426109,2,0.6000000238418579,edge,combined,-1,P11,3.286082163063498,0.6850083916909813,0.37484808989463403,0.2567740871871596,0.13823671312410063,0.1511275413495476,False,False,P00,diagonal,0.063652560312172,139.228562638808,0.0,-0.0,0.0,0.0,0.0
116,old_285_replay,426109,2,0.6000000238418579,edge,combined,-1,P11,3.286082163063498,0.6850083916909813,0.37484808989463403,0.2567740871871596,0.13823671312410063,0.1511275413495476,False,False,P10,y_neighbor,0.22114394099010298,-124.185421282005,0.927086259049555,-0.1586398782779253,0.1298706590258195,0.20501950896399013,0.9998106641465336
116,old_285_replay,426109,2,0.6000000238418579,edge,combined,-1,P11,3.286082163063498,0.6850083916909813,0.37484808989463403,0.2567740871871596,0.13823671312410063,0.1511275413495476,False,False,P01,x_neighbor,0.177996764958833,-23.879828669598304,0.0,0.0,0.0,0.0,0.0
116,old_285_replay,426109,2,0.6000000238418579,edge,combined,-1,P11,3.286082163063498,0.6850083916909813,0.37484808989463403,0.2567740871871596,0.13823671312410063,0.1511275413495476,False,False,P11,self,0.13858096432942,-127.72686751526298,0.37484808989463403,-0.04317404008087808,0.02888725166673553,0.051946809774639495,0.9970467097319622
117,old_285_replay,426109,2,0.6000000238418579,edge,task,0,P11,9.070516379938505,0.35194449864840727,0.6899109597368983,0.24281036683664417,0.024641365288512185,0.048367039535168965,False,False,P00,diagonal,0.063652560312172,139.228562638808,0.0,-0.0,0.0,0.0,0.0
117,old_285_replay,426109,2,0.6000000238418579,edge,task,0,P11,9.070516379938505,0.35194449864840727,0.6899109597368983,0.24281036683664417,0.024641365288512185,0.048367039535168965,False,False,P10,y_neighbor,0.22114394099010298,-124.185421282005,0.7238942336365003,-0.10247765171406954,-0.12298569702965936,0.16008482368638605,0.9704468778532371
117,old_285_replay,426109,2,0.6000000238418579,edge,task,0,P11,9.070516379938505,0.35194449864840727,0.6899109597368983,0.24281036683664417,0.024641365288512185,0.048367039535168965,False,False,P01,x_neighbor,0.177996764958833,-23.879828669598304,0.0,0.0,0.0,0.0,-0.0
117,old_285_replay,426109,2,0.6000000238418579,edge,task,0,P11,9.070516379938505,0.35194449864840727,0.6899109597368983,0.24281036683664417,0.024641365288512185,0.048367039535168965,False,False,P11,self,0.13858096432942,-127.72686751526298,0.6899109597368983,-0.09337770028210146,-0.020532787277421,0.095608526101775,0.9147358825028602
118,old_285_replay,426109,2,0.6000000238418579,edge,task,1,P11,5.575155799582227,0.5263107128721298,0.44724710587837563,0.2353909431248448,0.09395898997542987,0.1093395821983408,False,False,P00,diagonal,0.063652560312172,139.228562638808,0.0,-0.0,0.0,0.0,0.0
118,old_285_replay,426109,2,0.6000000238418579,edge,task,1,P11,5.575155799582227,0.5263107128721298,0.44724710587837563,0.2353909431248448,0.09395898997542987,0.1093395821983408,False,False,P10,y_neighbor,0.22114394099010298,-124.185421282005,0.894410428441933,-0.024550763024084543,0.19626387266728096,0.19779344700829557,0.9739260742905694
118,old_285_replay,426109,2,0.6000000238418579,edge,task,1,P11,5.575155799582227,0.5263107128721298,0.44724710587837563,0.2353909431248448,0.09395898997542987,0.1093395821983408,False,False,P01,x_neighbor,0.177996764958833,-23.879828669598304,0.0,0.0,0.0,0.0,0.0
118,old_285_replay,426109,2,0.6000000238418579,edge,task,1,P11,5.575155799582227,0.5263107128721298,0.44724710587837563,0.2353909431248448,0.09395898997542987,0.1093395821983408,False,False,P11,self,0.13858096432942,-127.72686751526298,0.44724710587837563,0.049084231203910596,0.03784508710203965,0.061979935226167494,0.6898159477521516
135,old_285_replay,426110,4,0.699999988079071,edge,combined,-1,P10,7.352835026008848,0.4289021751086795,0.4186210468342758,0.17954747753349326,0.047167879085460135,0.06156403622691521,False,False,P00,x_neighbor,0.177287235448698,-24.2139363904075,0.5464885299268422,-0.07333159002240744,0.06331876909419615,0.09688544067515291,0.9883695759203301
135,old_285_replay,426110,4,0.699999988079071,edge,combined,-1,P10,7.352835026008848,0.4289021751086795,0.4186210468342758,0.17954747753349326,0.047167879085460135,0.06156403622691521,False,False,P10,self,0.136232878997807,-128.024603514836,0.4186210468342758,0.05182609637780505,0.023800650811843932,0.057029950419309194,-0.2718987994042648
135,old_285_replay,426110,4,0.699999988079071,edge,combined,-1,P10,7.352835026008848,0.4289021751086795,0.4186210468342758,0.17954747753349326,0.047167879085460135,0.06156403622691521,False,False,P01,diagonal,0.063880131359037,139.19540158061,0.5174868771916946,0.015568375602173038,0.029161610115969617,0.033057129691583295,0.3658513182006145
135,old_285_replay,426110,4,0.699999988079071,edge,combined,-1,P10,7.352835026008848,0.4289021751086795,0.4186210468342758,0.17954747753349326,0.047167879085460135,0.06156403622691521,False,False,P11,y_neighbor,0.22114394099010298,-124.185421282005,0.5082460187268825,-0.11053566462148577,0.020362255898538413,0.11239552757379247,0.7758425809139713
136,old_285_replay,426110,4,0.699999988079071,edge,task,0,P11,6.271222251689999,0.48577916877637256,0.4493541027444441,0.21828686251744878,0.07618861845607255,0.0916416691905893,False,False,P00,diagonal,0.063652560312172,139.228562638808,0.5144890806587454,-0.021773598241461984,-0.02446176129648526,0.03274854723658472,0.6140493101589554
136,old_285_replay,426110,4,0.699999988079071,edge,task,0,P11,6.271222251689999,0.48577916877637256,0.4493541027444441,0.21828686251744878,0.07618861845607255,0.0916416691905893,False,False,P10,y_neighbor,0.22114394099010298,-124.185421282005,0.5179272860762303,0.067465181251712,-0.09255838612399746,0.11453648118920608,0.9015046051295028
136,old_285_replay,426110,4,0.699999988079071,edge,task,0,P11,6.271222251689999,0.48577916877637256,0.4493541027444441,0.21828686251744878,0.07618861845607255,0.0916416691905893,False,False,P01,x_neighbor,0.177996764958833,-23.879828669598304,0.5149108972617933,0.05205517819261804,-0.07543496805422824,0.0916524739546492,0.9123798650317375
136,old_285_replay,426110,4,0.699999988079071,edge,task,0,P11,6.271222251689999,0.48577916877637256,0.4493541027444441,0.21828686251744878,0.07618861845607255,0.0916416691905893,False,False,P11,self,0.13858096432942,-127.72686751526298,0.4493541027444441,-0.058174668533375974,-0.022214872715228408,0.06227192488370634,0.18147186930955367
