candidate_index,sample_index,sample_id,scene_id,source_dataset,source_sample_index,selection_role,k,ratio,active_count,large_scan,min_target_separation_deg,variant_kind,parent_candidate_index,parent_ratio,ratio_delta,phase_error_rms_deg,gain_error_rms_db,dropout_count,phase_bits,amplitude_bits,perturbation_seed,eep_psll_db,hfss_psll_db,delta_psll_db,eep_nearest_iso_db,hfss_nearest_iso_db,delta_nearest_iso_db,eep_local_iso_db,hfss_local_iso_db,delta_local_iso_db,eep_mainlobe_gain_db,hfss_mainlobe_gain_db,delta_mainlobe_gain_db,eep_target_spread_db,hfss_target_spread_db,eep_pointing_error_deg,hfss_pointing_error_deg,all_case_worst_active_rl_db,all_case_worst_total_rl_db,gate15,strict_gate20,mainlobe_gate,active_RL_gate,strict_engineering_gate,eep_gate15,hard_negative,hard_positive,fullwave_complete,near_boundary,training_priority
10,200003,gate15_c010_s200003,gate15_psll_200003_85adc4ecf9e1f6c2,gate15_boundary_scenes_run01,60,gate15_psll_inside,6,0.5234375,134,1,21.460710525512695,gate15_psll_inside,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.288414001464844,-0.22708892822265625,4.0613250732421875,25.95602798461914,25.956043243408203,1.52587890625e-05,22.39548110961914,21.605384826660156,-0.7900962829589844,77.37361145019531,76.95809173583984,-0.41551971435546875,0.6446456909179688,0.6446380615234375,1.0036461650242572,1.0145016578298007,-0.06898953035115321,9.948445608787745,1,1,1,0,0,1,0,1,1,1,5
11,200003,gate15_c011_s200003,gate15_psll_200003_85adc4ecf9e1f6c2,gate15_boundary_scenes_run01,60,gate15_psll_outside,6,0.5234375,134,1,21.460710525512695,gate15_psll_outside,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.288414001464844,0.22438812255859375,4.5128021240234375,25.95602798461914,25.956058502197266,3.0517578125e-05,22.39548110961914,21.551284790039062,-0.8441963195800781,77.37361145019531,76.90514373779297,-0.46846771240234375,0.6446456909179688,0.6446380615234375,1.0036461650242572,1.0597998299552585,-1.0324285269880242,9.943585164560286,0,0,1,0,0,1,1,0,1,1,7
12,200004,gate15_c012_s200004,gate15_psll_200004_1c12768767174523,gate15_boundary_scenes_run01,66,nominal_control,6,0.72265625,185,1,14.045465469360352,nominal_control,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-6.885292053222656,-6.8852996826171875,-7.62939453125e-06,29.57398223876953,29.573970794677734,-1.1444091796875e-05,23.931079864501953,23.931079864501953,0.0,78.96701049804688,78.96701049804688,0.0,0.2428436279296875,0.2428436279296875,1.4462673401904567,1.4462673401904567,10.062650222367267,10.526113181452248,1,1,1,1,1,1,0,1,1,1,5
13,200004,gate15_c013_s200004,gate15_psll_200004_1c12768767174523,gate15_boundary_scenes_run01,66,gate15_psll_inside,6,0.72265625,185,1,14.045465469360352,gate15_psll_inside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-6.885292053222656,-0.43505859375,6.450233459472656,29.57398223876953,29.573978424072266,-3.814697265625e-06,23.931079864501953,23.46154022216797,-0.4695396423339844,78.96701049804688,78.55050659179688,-0.41650390625,0.2428436279296875,0.2429656982421875,1.4462673401904567,1.4462673401904567,-7.385130945954743,10.540739836835854,1,1,1,0,0,1,0,1,1,1,5
14,200004,gate15_c014_s200004,gate15_psll_200004_1c12768767174523,gate15_boundary_scenes_run01,66,gate15_psll_outside,6,0.72265625,185,1,14.045465469360352,gate15_psll_outside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-6.885292053222656,0.0177154541015625,6.903007507324219,29.57398223876953,29.573951721191406,-3.0517578125e-05,23.931079864501953,23.432998657226562,-0.4980812072753906,78.96701049804688,78.49964904785156,-0.4673614501953125,0.2428436279296875,0.24298858642578125,1.4462673401904567,1.4462673401904567,-6.300448792196863,10.540996270706469,0,0,1,0,0,1,1,0,1,1,7
15,200005,gate15_c015_s200005,gate15_psll_200005_f1d3431529f7334f,gate15_boundary_scenes_run01,66,nominal_control,6,0.72265625,185,1,12.560807228088379,nominal_control,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-7.3638458251953125,-7.363838195800781,7.62939453125e-06,28.23455047607422,28.234542846679688,-7.62939453125e-06,23.291065216064453,23.29106903076172,3.814697265625e-06,78.8746337890625,78.87462615966797,-7.62939453125e-06,0.1596527099609375,0.15966796875,0.9999999999999002,0.9999999999999002,10.0116252553061,10.540432410412258,1,1,1,1,1,1,0,1,1,1,5
16,200005,gate15_c016_s200005,gate15_psll_200005_f1d3431529f7334f,gate15_boundary_scenes_run01,66,gate15_psll_inside,6,0.72265625,185,1,12.560807228088379,gate15_psll_inside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-7.3638458251953125,-0.44887542724609375,6.914970397949219,28.23455047607422,28.23456573486328,1.52587890625e-05,23.291065216064453,23.123252868652344,-0.16781234741210938,78.8746337890625,78.47998809814453,-0.39464569091796875,0.1596527099609375,0.19042205810546875,0.9999999999999002,1.3382236885273253,-14.451000572366512,10.69331686908382,1,1,1,0,0,1,0,1,1,1,5
17,200005,gate15_c017_s200005,gate15_psll_200005_f1d3431529f7334f,gate15_boundary_scenes_run01,66,gate15_psll_outside,6,0.72265625,185,1,12.560807228088379,gate15_psll_outside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-7.3638458251953125,0.44448089599609375,7.808326721191406,28.23455047607422,28.234554290771484,3.814697265625e-06,23.291061401367188,22.919937133789062,-0.371124267578125,78.8746337890625,78.38042449951172,-0.49420928955078125,0.1596527099609375,0.19426727294921875,0.9999999999999002,1.3382236885273253,-3.6619856160433333,10.701383097448637,0,0,1,0,0,1,1,0,1,1,7
18,200006,gate15_c018_s200006,gate15_psll_200006_e972fa4c2d91862d,gate15_boundary_scenes_run01,60,nominal_control,6,0.5234375,134,1,19.935461044311523,nominal_control,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.998283386230469,-4.9982757568359375,7.62939453125e-06,26.08881378173828,26.088775634765625,-3.814697265625e-05,22.467422485351562,22.467411041259766,-1.1444091796875e-05,77.57154846191406,77.57154083251953,-7.62939453125e-06,0.8081893920898438,0.808197021484375,0.9999999999999002,0.9999999999999002,10.031744188748226,10.026407504335301,1,1,1,1,1,1,0,1,1,1,5
19,200006,gate15_c019_s200006,gate15_psll_200006_e972fa4c2d91862d,gate15_boundary_scenes_run01,60,gate15_psll_inside,6,0.5234375,134,1,19.935461044311523,gate15_psll_inside,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.998283386230469,-0.32450103759765625,4.6737823486328125,26.088817596435547,26.08877944946289,-3.814697265625e-05,22.467422485351562,21.146987915039062,-1.3204345703125,77.57154846191406,77.19773864746094,-0.373809814453125,0.8081893920898438,0.6970901489257812,0.9999999999999002,0.9999999999999002,-4.73700101823486,9.987866995903069,1,1,1,0,0,1,0,1,1,1,5
20,200006,gate15_c020_s200006,gate15_psll_200006_e972fa4c2d91862d,gate15_boundary_scenes_run01,60,gate15_psll_outside,6,0.5234375,134,1,19.935461044311523,gate15_psll_outside,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.998283386230469,0.4215545654296875,5.419837951660156,26.08881378173828,26.088764190673828,-4.9591064453125e-05,22.467422485351562,21.00994873046875,-1.4574737548828125,77.57154846191406,77.099853515625,-0.4716949462890625,0.8081893920898438,0.6847915649414062,0.9999999999999002,0.9999999999999002,-10.828000339673189,9.974657810774538,0,0,1,0,0,1,1,0,1,1,7
21,200007,gate15_c021_s200007,gate15_psll_200007_a5c2ab4ab589d080,gate15_boundary_scenes_run01,66,nominal_control,6,0.72265625,185,1,12.560807228088379,nominal_control,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-7.324470520019531,-7.3244781494140625,-7.62939453125e-06,28.178375244140625,28.178382873535156,7.62939453125e-06,23.552818298339844,23.552810668945312,-7.62939453125e-06,78.84721374511719,78.84720611572266,-7.62939453125e-06,0.14495086669921875,0.14495849609375,1.0000000000002647,1.0000000000002647,10.02540297129498,10.546159092517142,1,1,1,1,1,1,0,1,1,1,5
22,200007,gate15_c022_s200007,gate15_psll_200007_a5c2ab4ab589d080,gate15_boundary_scenes_run01,66,gate15_psll_inside,6,0.72265625,185,1,12.560807228088379,gate15_psll_inside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-7.324470520019531,-0.27114105224609375,7.0533294677734375,28.178375244140625,28.178356170654297,-1.9073486328125e-05,23.552818298339844,22.737625122070312,-0.8151931762695312,78.84721374511719,78.45149993896484,-0.39571380615234375,0.14495086669921875,0.1927032470703125,1.0000000000002647,1.3382236885270529,-5.908520825948571,10.697441869310058,1,1,1,0,0,1,0,1,1,1,5
23,200007,gate15_c023_s200007,gate15_psll_200007_a5c2ab4ab589d080,gate15_boundary_scenes_run01,66,gate15_psll_outside,6,0.72265625,185,1,12.560807228088379,gate15_psll_outside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-7.324470520019531,0.183074951171875,7.507545471191406,28.178375244140625,28.178359985351562,-1.52587890625e-05,23.552818298339844,22.572704315185547,-0.9801139831542969,78.84721374511719,78.40315246582031,-0.444061279296875,0.14495086669921875,0.19568634033203125,1.0000000000002647,1.3382236885270529,-6.853158691318603,10.70225403796048,0,0,1,0,0,1,1,0,1,1,7
24,200008,gate15_c024_s200008,gate15_psll_200008_319a15f32a015db9,gate15_boundary_scenes_run01,66,nominal_control,6,0.72265625,185,1,12.560807228088379,nominal_control,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-7.343269348144531,-7.34326171875,7.62939453125e-06,28.56543731689453,28.565406799316406,-3.0517578125e-05,23.253631591796875,23.253646850585938,1.52587890625e-05,78.84217834472656,78.84217834472656,0.0,0.1164398193359375,0.11644744873046875,1.3382236885273253,1.3382236885273253,10.050552381833048,10.522968911960053,1,1,1,1,1,1,0,1,1,1,5
25,200008,gate15_c025_s200008,gate15_psll_200008_319a15f32a015db9,gate15_boundary_scenes_run01,66,gate15_psll_inside,6,0.72265625,185,1,12.560807228088379,gate15_psll_inside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-7.343254089355469,-0.32894134521484375,7.014312744140625,28.565433502197266,28.565406799316406,-2.6702880859375e-05,23.253631591796875,22.134910583496094,-1.1187210083007812,78.84217071533203,78.43205261230469,-0.41011810302734375,0.11644744873046875,0.32401275634765625,1.3382236885273253,1.3382236885273253,-3.931575129803209,10.570062657560172,1,1,1,0,0,1,0,1,1,1,5
26,200008,gate15_c026_s200008,gate15_psll_200008_319a15f32a015db9,gate15_boundary_scenes_run01,66,gate15_psll_outside,6,0.72265625,185,1,12.560807228088379,gate15_psll_outside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-7.343254089355469,0.08141326904296875,7.4246673583984375,28.56543731689453,28.565399169921875,-3.814697265625e-05,23.253631591796875,22.005935668945312,-1.2476959228515625,78.84217071533203,78.38507843017578,-0.45709228515625,0.11644744873046875,0.35276031494140625,1.3382236885273253,1.3382236885273253,-5.114158188591674,10.572167186048366,0,0,1,0,0,1,1,0,1,1,7
27,200009,gate15_c027_s200009,gate15_psll_200009_889a75f1755aec50,gate15_boundary_scenes_run01,60,nominal_control,6,0.5234375,134,1,20.699947357177734,nominal_control,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.415977478027344,-4.415985107421875,-7.62939453125e-06,25.641170501708984,25.64116668701172,-3.814697265625e-06,22.275875091552734,22.275882720947266,7.62939453125e-06,75.7630844116211,75.7630844116211,0.0,2.1638717651367188,2.1638717651367188,1.019274182245362,1.019274182245362,10.011904989133566,10.062724770502331,1,1,1,1,1,1,0,1,1,1,5
28,200009,gate15_c028_s200009,gate15_psll_200009_889a75f1755aec50,gate15_boundary_scenes_run01,60,gate15_psll_inside,6,0.5234375,134,1,20.699947357177734,gate15_psll_inside,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.415977478027344,-0.209930419921875,4.206047058105469,25.641170501708984,25.641155242919922,-1.52587890625e-05,22.27587127685547,21.145423889160156,-1.1304473876953125,75.7630844116211,75.33123779296875,-0.43184661865234375,2.1638717651367188,2.2260589599609375,1.019274182245362,1.0000000000002647,-1.9132419784875767,9.945365379295271,1,1,1,0,0,1,0,1,1,1,5
29,200009,gate15_c029_s200009,gate15_psll_200009_889a75f1755aec50,gate15_boundary_scenes_run01,60,gate15_psll_outside,6,0.5234375,134,1,20.699947357177734,gate15_psll_outside,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.415977478027344,0.132080078125,4.548057556152344,25.641170501708984,25.641170501708984,0.0,22.27587127685547,21.09973907470703,-1.1761322021484375,75.7630844116211,75.292236328125,-0.47084808349609375,2.1638717651367188,2.2308197021484375,1.019274182245362,1.0000000000002647,-2.597337187408748,9.939113617111351,0,0,1,0,0,1,1,0,1,1,7
30,200010,gate15_c030_s200010,gate15_nearest_200010_77484a55d677c208,gate15_boundary_scenes_run01,36,nominal_control,4,0.4140625,106,0,22.024211883544922,nominal_control,0,0.4140625,0.0,0.0,0.0,0,16,16,-1,-4.9608001708984375,-4.960807800292969,-7.62939453125e-06,28.17315673828125,28.173168182373047,1.1444091796875e-05,23.924911499023438,23.924903869628906,-7.62939453125e-06,78.496337890625,78.496337890625,0.0,0.0911407470703125,0.0911407470703125,0.6180056077586904,0.6180056077586904,10.033091259737139,10.032344788998738,1,1,1,1,1,1,0,1,1,1,5
31,200010,gate15_c031_s200010,gate15_nearest_200010_77484a55d677c208,gate15_boundary_scenes_run01,36,gate15_nearest_inside,4,0.4140625,106,0,22.024211883544922,gate15_nearest_inside,0,0.4140625,0.0,0.0,0.0,0,16,16,-1,-4.9608001708984375,-4.9815826416015625,-0.020782470703125,28.17315673828125,25.123245239257812,-3.0499114990234375,23.924911499023438,21.072731018066406,-2.8521804809570312,78.496337890625,78.31425476074219,-0.1820831298828125,0.0911407470703125,0.7484359741210938,0.6180056077586904,0.6180056077586904,9.023420754401,10.036869122222178,1,1,1,0,0,1,0,1,1,1,5
32,200010,gate15_c032_s200010,gate15_nearest_200010_77484a55d677c208,gate15_boundary_scenes_run01,36,gate15_nearest_outside,4,0.4140625,106,0,22.024211883544922,gate15_nearest_outside,0,0.4140625,0.0,0.0,0.0,0,16,16,-1,-4.9608001708984375,-4.982887268066406,-0.02208709716796875,28.173171997070312,24.304935455322266,-3.868236541748047,23.924911499023438,20.81978988647461,-3.105121612548828,78.496337890625,78.30258178710938,-0.193756103515625,0.0911407470703125,0.793212890625,0.6180056077586904,0.6180056077586904,8.936059840135787,10.036869122222178,0,0,1,0,0,1,1,0,1,1,7
33,200011,gate15_c033_s200011,gate15_nearest_200011_240d5ce75b5e4550,gate15_boundary_scenes_run01,18,nominal_control,2,0.4140625,106,0,31.377717971801758,nominal_control,1,0.4140625,0.0,0.0,0.0,0,16,16,-1,-9.8551025390625,-9.855125427246094,-2.288818359375e-05,27.340545654296875,27.34056854248047,2.288818359375e-05,23.71582794189453,23.7158203125,-7.62939453125e-06,81.94146728515625,81.94148254394531,1.52587890625e-05,1.52587890625e-05,0.0,8.537736462515939e-07,8.537736462515939e-07,10.02666258541331,10.064881773500806,1,1,1,1,1,1,0,1,1,1,5
34,200011,gate15_c034_s200011,gate15_nearest_200011_240d5ce75b5e4550,gate15_boundary_scenes_run01,18,gate15_nearest_inside,2,0.4140625,106,0,31.377717971801758,gate15_nearest_inside,1,0.4140625,0.0,0.0,0.0,0,16,16,-1,-9.8551025390625,-9.863365173339844,-0.00826263427734375,27.340545654296875,25.37879180908203,-1.9617538452148438,23.71582794189453,21.748584747314453,-1.9672431945800781,81.94146728515625,81.58206176757812,-0.359405517578125,1.52587890625e-05,0.7547760009765625,8.537736462515939e-07,8.537736462515939e-07,9.522642623340923,10.21450757151229,1,1,1,0,0,1,0,1,1,1,5
35,200011,gate15_c035_s200011,gate15_nearest_200011_240d5ce75b5e4550,gate15_boundary_scenes_run01,18,gate15_nearest_outside,2,0.4140625,106,0,31.377717971801758,gate15_nearest_outside,1,0.4140625,0.0,0.0,0.0,0,16,16,-1,-9.8551025390625,-9.863822937011719,-0.00872039794921875,27.340545654296875,24.558326721191406,-2.7822189331054688,23.71582794189453,21.305770874023438,-2.4100570678710938,81.94146728515625,81.56192016601562,-0.379547119140625,1.52587890625e-05,0.7947235107421875,8.537736462515939e-07,8.537736462515939e-07,9.49623816500459,10.223222320225682,0,0,1,0,0,1,1,0,1,1,7
36,200012,gate15_c036_s200012,gate15_nearest_200012_4d54b5a17a6ec8f9,gate15_boundary_scenes_run01,19,nominal_control,2,0.3984375,102,1,54.11437225341797,nominal_control,2,0.3984375,0.0,0.0,0.0,0,16,16,-1,-6.1059417724609375,-6.105934143066406,7.62939453125e-06,31.7989501953125,31.7989501953125,0.0,23.392520904541016,23.392498016357422,-2.288818359375e-05,79.74623107910156,79.74623107910156,0.0,2.2280731201171875,2.2280731201171875,0.9999999999995357,0.9999999999995357,10.033138894077812,10.014189701557497,1,1,1,1,1,1,0,1,1,1,5
37,200012,gate15_c037_s200012,gate15_nearest_200012_4d54b5a17a6ec8f9,gate15_boundary_scenes_run01,19,gate15_nearest_inside,2,0.3984375,102,1,54.11437225341797,gate15_nearest_inside,2,0.3984375,0.0,0.0,0.0,0,16,16,-1,-6.1059417724609375,-6.335990905761719,-0.23004913330078125,31.7989501953125,25.39470672607422,-6.404243469238281,23.392520904541016,22.21078872680664,-1.181732177734375,79.74623107910156,79.89448547363281,0.14825439453125,2.2280731201171875,1.9035415649414062,0.9999999999995357,0.9999999999995357,9.973496038297677,10.061108453917424,1,1,1,0,0,1,0,1,1,1,5
38,200012,gate15_c038_s200012,gate15_nearest_200012_4d54b5a17a6ec8f9,gate15_boundary_scenes_run01,19,gate15_nearest_outside,2,0.3984375,102,1,54.11437225341797,gate15_nearest_outside,2,0.3984375,0.0,0.0,0.0,0,16,16,-1,-6.1059417724609375,-6.391754150390625,-0.2858123779296875,31.7989501953125,24.29218292236328,-7.506767272949219,23.392520904541016,21.61513900756836,-1.7773818969726562,79.74623107910156,79.9295654296875,0.1833343505859375,2.2280731201171875,1.8243255615234375,0.9999999999995357,0.9999999999995357,9.91684930034504,10.061108453917424,0,0,1,0,0,1,1,0,1,1,7
39,200013,gate15_c039_s200013,gate15_nearest_200013_3dc96cc469845f24,gate15_boundary_scenes_run01,39,nominal_control,4,0.50390625,129,0,15.107400894165039,nominal_control,3,0.50390625,0.0,0.0,0.0,0,16,16,-1,-8.892555236816406,-8.892547607421875,7.62939453125e-06,30.027957916259766,30.02796173095703,3.814697265625e-06,23.16086196899414,23.160858154296875,-3.814697265625e-06,80.1895523071289,80.18954467773438,-7.62939453125e-06,0.03266143798828125,0.0326690673828125,1.0000000000002647,1.0000000000002647,10.001695936014048,10.021305684695683,1,1,1,1,1,1,0,1,1,1,5
40,200013,gate15_c040_s200013,gate15_nearest_200013_3dc96cc469845f24,gate15_boundary_scenes_run01,39,gate15_nearest_inside,4,0.50390625,129,0,15.107400894165039,gate15_nearest_inside,3,0.50390625,0.0,0.0,0.0,0,16,16,-1,-8.892555236816406,-8.637527465820312,0.25502777099609375,30.027957916259766,25.23552703857422,-4.792430877685547,23.16086196899414,21.974712371826172,-1.1861495971679688,80.1895523071289,80.01091003417969,-0.17864227294921875,0.03266143798828125,0.7110748291015625,1.0000000000002647,1.0000000000002647,9.185890909009679,10.021305684695683,1,1,1,0,0,1,0,1,1,1,5
41,200013,gate15_c041_s200013,gate15_nearest_200013_3dc96cc469845f24,gate15_boundary_scenes_run01,39,gate15_nearest_outside,4,0.50390625,129,0,15.107400894165039,gate15_nearest_outside,3,0.50390625,0.0,0.0,0.0,0,16,16,-1,-8.892555236816406,-8.621803283691406,0.270751953125,30.027935028076172,24.447750091552734,-5.5801849365234375,23.16086196899414,21.751422882080078,-1.4094390869140625,80.1895523071289,79.99939727783203,-0.190155029296875,0.03266143798828125,0.7535629272460938,1.0000000000002647,1.0000000000002647,9.116394847155377,10.021305684695683,0,0,1,0,0,1,1,0,1,1,7
42,200014,gate15_c042_s200014,gate15_nearest_200014_ef1ce78d49987ba8,gate15_boundary_scenes_run01,21,nominal_control,2,0.49609375,127,0,33.03091049194336,nominal_control,4,0.49609375,0.0,0.0,0.0,0,16,16,-1,-10.180641174316406,-10.180633544921875,7.62939453125e-06,29.457630157470703,29.457595825195312,-3.4332275390625e-05,24.000579833984375,24.000579833984375,0.0,82.45951843261719,82.45950317382812,-1.52587890625e-05,0.96759033203125,0.9676055908203125,0.17430270312381774,0.17430270312381774,10.065987385555953,10.014534696405127,1,1,1,1,1,1,0,1,1,1,5
