candidate_index,sample_index,sample_id,scene_id,source_dataset,source_sample_index,selection_role,k,ratio,active_count,large_scan,min_target_separation_deg,eep_psll_db,hfss_psll_db,delta_psll_db,eep_nearest_iso_db,hfss_nearest_iso_db,delta_nearest_iso_db,eep_local_iso_db,hfss_local_iso_db,delta_local_iso_db,eep_mainlobe_gain_db,hfss_mainlobe_gain_db,delta_mainlobe_gain_db,eep_target_spread_db,hfss_target_spread_db,eep_pointing_error_deg,hfss_pointing_error_deg,all_case_worst_active_rl_db,all_case_worst_total_rl_db,gate15,strict_gate20,mainlobe_gate,active_RL_gate,strict_engineering_gate,eep_gate15,hard_negative,hard_positive,fullwave_complete,near_boundary,training_priority
18,18,tv018_s018_k2_r0.5,scene_018_a2305a41e138a5f82a44,task_level_run02,675,proxy_joint_positive,2,0.5,106,0,30.836536407470703,-11.693336486816406,-11.693321228027344,1.52587890625e-05,33.41474151611328,33.41478729248047,4.57763671875e-05,18.324493408203125,18.32452392578125,3.0517578125e-05,81.73504638671875,81.73503875732422,-7.62939453125e-06,0.785003662109375,0.7850112915039062,0.6236221555346833,0.6236221555346833,3.4915322335323684,9.230788492768081,1,0,1,0,0,1,0,0,1,1,3
19,19,tv019_s019_k2_r0.5,scene_019_d2ef96b17c2e8db0f43e,task_level_run02,693,proxy_near_boundary,2,0.5,102,1,53.63685989379883,-7.812355041503906,-7.812355041503906,0.0,26.999855041503906,26.999855041503906,0.0,14.076332092285156,14.076324462890625,-7.62939453125e-06,79.70223236083984,79.70222473144531,-7.62939453125e-06,2.5834503173828125,2.5834579467773438,0.8411287694562455,0.8411287694562455,-0.6337828880918285,8.981877475873315,0,0,1,0,0,0,0,0,1,1,3
20,20,tv020_s020_k2_r0.5,scene_020_3365b5ae3361275f50d4,task_level_run02,654,proxy_large_scan_risk,2,0.5,102,1,54.766170501708984,-6.595939636230469,-6.595939636230469,0.0,23.83257293701172,23.832557678222656,-1.52587890625e-05,18.17205810546875,18.172088623046875,3.0517578125e-05,79.62276458740234,79.62276458740234,0.0,3.4569778442382812,3.4569625854492188,0.7989188925666157,0.7989188925666157,1.8102826912201477,7.9909722246027926,0,0,0,0,0,0,0,0,1,1,3
21,21,tv021_s021_k2_r0.6,scene_021_7fa23c6b18cbda6da517,task_level_run02,715,proxy_joint_positive,2,0.6000000238418579,127,0,33.27549362182617,-12.35430908203125,-12.354301452636719,7.62939453125e-06,33.453025817871094,33.452911376953125,-0.00011444091796875,14.2044677734375,14.204460144042969,-7.62939453125e-06,82.67314910888672,82.67314910888672,0.0,1.0930252075195312,1.0930252075195312,0.6708795507678821,0.6708795507678821,0.6938271313463211,8.568494642008265,0,0,1,0,0,0,0,0,1,1,3
22,22,tv022_s022_k2_r0.6,scene_022_40e0020e02d5e86e9e49,task_level_run02,700,proxy_near_boundary,2,0.6000000238418579,127,1,28.5905818939209,-5.2480926513671875,-5.248100280761719,-7.62939453125e-06,21.405181884765625,21.405181884765625,0.0,19.560733795166016,19.560733795166016,0.0,80.14918518066406,80.14918518066406,0.0,1.3136138916015625,1.3136138916015625,1.8942304360002395,1.8942304360002395,0.5655281169240024,8.938776709052332,0,0,0,0,0,0,0,0,1,1,3
23,23,tv023_s023_k2_r0.6,scene_023_54c86e7b3dff8944bceb,task_level_run02,708,proxy_large_scan_risk,2,0.6000000238418579,131,1,70.64033508300781,-5.195960998535156,-5.195945739746094,1.52587890625e-05,29.163700103759766,29.16370391845703,3.814697265625e-06,17.61396026611328,17.613983154296875,2.288818359375e-05,80.80062866210938,80.80062866210938,0.0,2.71832275390625,2.71832275390625,1.290335458576411,1.290335458576411,1.3320371021832718,9.55708230404636,1,0,1,0,0,1,0,0,1,1,3
24,24,tv024_s024_k2_r0.7,scene_024_59f4a151f653906f6717,task_level_run02,846,proxy_joint_positive,2,0.699999988079071,144,0,25.092235565185547,-11.532752990722656,-11.532752990722656,0.0,35.40755844116211,35.407447814941406,-0.000110626220703125,15.914337158203125,15.914352416992188,1.52587890625e-05,83.5216064453125,83.52161407470703,7.62939453125e-06,0.3763580322265625,0.3763275146484375,0.8003882685084812,0.8003882685084812,3.4010193392704724,9.69702952637393,1,0,1,0,0,1,0,0,1,1,3
25,25,tv025_s025_k2_r0.7,scene_025_7c5801cfb386cbf7e3ea,task_level_run02,853,proxy_near_boundary,2,0.699999988079071,148,1,80.07714080810547,-6.34014892578125,-6.340141296386719,7.62939453125e-06,22.694732666015625,22.694751739501953,1.9073486328125e-05,18.66283416748047,18.662864685058594,3.0517578125e-05,80.82063293457031,80.82062530517578,-7.62939453125e-06,3.4383697509765625,3.4383773803710938,0.9141719072705323,0.9141719072705323,2.03598350006793,8.499898710220783,0,0,0,0,0,0,0,0,1,1,3
26,26,tv026_s026_k2_r0.7,scene_026_2de9da44dfdfb90a5a80,task_level_run02,881,proxy_large_scan_risk,2,0.699999988079071,150,1,55.273494720458984,-5.3750457763671875,-5.37506103515625,-1.52587890625e-05,21.87643814086914,21.87646484375,2.6702880859375e-05,18.30799102783203,18.30799102783203,0.0,79.80654907226562,79.80654907226562,0.0,3.3694915771484375,3.3694915771484375,2.4851305324312665,2.4851305324312665,-4.465334770650605,9.506354251750889,0,0,0,0,0,0,0,0,1,1,3
27,27,tv027_s027_k2_r0.8,scene_027_0b269af45f686105c254,task_level_run02,936,proxy_joint_positive,2,0.800000011920929,168,0,14.186053276062012,-14.113929748535156,-14.113929748535156,0.0,27.591724395751953,27.591686248779297,-3.814697265625e-05,14.466949462890625,14.466934204101562,-1.52587890625e-05,84.58119201660156,84.58119201660156,0.0,0.20147705078125,0.20148468017578125,0.7521484878180047,0.7521484878180047,2.734784413061717,9.26781994592554,0,0,1,0,0,0,0,0,1,1,3
28,28,tv028_s028_k2_r0.8,scene_028_b785b249546e261d05ac,task_level_run02,923,proxy_near_boundary,2,0.800000011920929,171,1,55.8316764831543,-5.9319000244140625,-5.9319000244140625,0.0,22.41354751586914,22.413551330566406,3.814697265625e-06,21.06890869140625,21.06891632080078,7.62939453125e-06,81.61979675292969,81.61979675292969,0.0,2.5777816772460938,2.5777511596679688,1.9707308196750868,1.9707308196750868,-2.7961988251335916,9.39758691189281,0,0,0,0,0,0,0,0,1,1,3
29,29,tv029_s029_k2_r0.8,scene_029_fcb43abdace85f7d9851,task_level_run02,924,proxy_large_scan_risk,2,0.800000011920929,169,1,82.30632781982422,-5.045860290527344,-5.045860290527344,0.0,27.35519027709961,27.355186462402344,-3.814697265625e-06,23.18114471435547,23.18115234375,7.62939453125e-06,81.71332550048828,81.71332550048828,0.0,0.35962677001953125,0.35962677001953125,1.597575792829073,1.597575792829073,0.7779012927553909,9.54373055634176,1,1,0,0,0,1,0,1,1,1,5
30,30,tv030_s030_k2_r0.9,scene_030_b76eac0e0e8738ec8c08,task_level_run02,1017,proxy_joint_positive,2,0.8999999761581421,193,0,31.914785385131836,-15.260787963867188,-15.260765075683594,2.288818359375e-05,28.05649185180664,28.056514739990234,2.288818359375e-05,18.399032592773438,18.399063110351562,3.0517578125e-05,85.45201110839844,85.45199584960938,-1.52587890625e-05,0.1011962890625,0.101226806640625,0.6538713550498017,0.6538713550498017,6.1521825154282075,11.12577886792054,1,0,1,0,0,1,0,0,1,1,3
31,31,tv031_s031_k2_r0.9,scene_031_f0cba6492979ad25986f,task_level_run02,1065,proxy_near_boundary,2,0.8999999761581421,191,1,35.052467346191406,-3.1742630004882812,-3.1742630004882812,0.0,23.221370697021484,23.221397399902344,2.6702880859375e-05,19.6263427734375,19.626380920410156,3.814697265625e-05,82.11128997802734,82.11128997802734,0.0,1.3395156860351562,1.3395156860351562,2.877363310332569,2.877363310332569,2.388736399501184,9.745391507287447,0,0,0,0,0,0,0,0,1,1,3
32,32,tv032_s032_k2_r0.9,scene_032_5bc97d3650404d551d63,task_level_run02,1060,proxy_large_scan_risk,2,0.8999999761581421,192,1,19.151371002197266,-3.9286041259765625,-3.928619384765625,-1.52587890625e-05,28.212852478027344,28.21288299560547,3.0517578125e-05,14.753822326660156,14.753829956054688,7.62939453125e-06,82.01466369628906,82.01467895507812,1.52587890625e-05,2.2927322387695312,2.2927169799804688,2.979667590576027,2.979667590576027,2.448444404517286,8.977132597707909,0,0,0,0,0,0,0,0,1,1,3
33,33,tv033_s033_k2_r1.0,scene_033_c066853ca08be752f294,task_level_run02,1146,proxy_joint_positive,2,1.0,256,0,39.66925811767578,-14.803962707519531,-14.803962707519531,0.0,32.548336029052734,32.54834747314453,1.1444091796875e-05,30.839252471923828,30.839244842529297,-7.62939453125e-06,85.48983764648438,85.48983764648438,0.0,0.17125701904296875,0.1712493896484375,0.4677607853623416,0.4677607853623416,1.660569836280742,12.247344147641776,1,1,1,0,0,1,0,0,1,0,0
34,34,tv034_s034_k2_r1.0,scene_034_1a8f250d185414e34db9,task_level_run02,1195,proxy_near_boundary,2,1.0,256,1,57.99696350097656,-6.374481201171875,-6.374458312988281,2.288818359375e-05,26.613994598388672,26.613990783691406,-3.814697265625e-06,21.636001586914062,21.636016845703125,1.52587890625e-05,83.246826171875,83.24681091308594,-1.52587890625e-05,0.819091796875,0.819091796875,2.5174806211155727,2.5174806211155727,-0.345223200618076,12.226295415328568,1,1,0,0,0,1,0,1,1,1,5
35,35,tv035_s035_k2_r1.0,scene_035_59c4134dbe3df500b927,task_level_run02,1191,proxy_large_scan_risk,2,1.0,256,1,51.33946228027344,-2.7520065307617188,-2.7520065307617188,0.0,22.31747055053711,22.31749725341797,2.6702880859375e-05,16.81939697265625,16.819412231445312,1.52587890625e-05,80.67031860351562,80.67031860351562,0.0,3.476043701171875,3.476043701171875,2.1361502284550196,2.1361502284550196,-9.3657869608391,10.082853928982004,0,0,0,0,0,0,0,0,1,1,3
36,36,tv036_s036_k4_r0.5,scene_036_1c512d44ac59d831aa92,task_level_run02,1272,proxy_joint_positive,4,0.5,106,0,21.625534057617188,-6.6613616943359375,-6.6613616943359375,0.0,25.26644515991211,25.26648712158203,4.1961669921875e-05,17.371871948242188,17.37189483642578,2.288818359375e-05,78.03160095214844,78.03160095214844,0.0,1.158416748046875,1.1584091186523438,1.2970200492789796,1.2970200492789796,0.37526310189883016,8.701654233706222,1,0,1,0,0,1,0,0,1,1,3
37,37,tv037_s037_k4_r0.5,scene_037_16a3b4183c51e7ed41d8,task_level_run02,1208,proxy_near_boundary,4,0.5,98,1,21.323556900024414,-4.6953582763671875,-4.695335388183594,2.288818359375e-05,23.516921997070312,23.516895294189453,-2.6702880859375e-05,15.419548034667969,15.419540405273438,-7.62939453125e-06,76.31593322753906,76.31592559814453,-7.62939453125e-06,3.428436279296875,3.4284439086914062,1.3035024464225893,1.3035024464225893,3.4596735317841527,8.28863303180665,0,0,0,0,0,0,0,0,1,1,3
38,38,tv038_s038_k4_r0.5,scene_038_222a3c03d6009a878b40,task_level_run02,1202,proxy_large_scan_risk,4,0.5,104,1,13.506495475769043,-1.8775863647460938,-1.8775711059570312,1.52587890625e-05,21.455860137939453,21.455867767333984,7.62939453125e-06,14.047996520996094,14.047981262207031,-1.52587890625e-05,74.42449951171875,74.42449951171875,0.0,4.154228210449219,4.154212951660156,2.1649483832744005,2.1649483832744005,1.7689799475883863,7.287033814996949,0,0,0,0,0,0,0,0,1,1,3
39,39,tv039_s039_k4_r0.6,scene_039_d3f0d87f4f6c529a4a83,task_level_run02,1301,proxy_joint_positive,4,0.6000000238418579,129,0,15.059062004089355,-8.62408447265625,-8.62408447265625,0.0,25.7601318359375,25.76012420654297,-7.62939453125e-06,17.539138793945312,17.539154052734375,1.52587890625e-05,79.95451354980469,79.95451354980469,0.0,0.8309478759765625,0.8309402465820312,1.2551908139937036,1.2551908139937036,-2.4825175223868636,8.27894805818441,1,0,1,0,0,1,0,0,1,1,3
40,40,tv040_s040_k4_r0.6,scene_040_beb0d6e2e373aaf2dfda,task_level_run02,1328,proxy_near_boundary,4,0.6000000238418579,126,1,13.3247652053833,-4.179161071777344,-4.179161071777344,0.0,23.04534912109375,23.04531478881836,-3.4332275390625e-05,16.75505828857422,16.755081176757812,2.288818359375e-05,77.56120300292969,77.56120300292969,0.0,3.096435546875,3.0964202880859375,1.8840582770820442,1.8840582770820442,-1.8902577307356614,8.718252279810446,0,0,0,0,0,0,0,0,1,1,3
41,41,tv041_s041_k4_r0.6,scene_041_46ed71738ec68c7d8646,task_level_run02,1385,proxy_large_scan_risk,4,0.6000000238418579,132,1,24.257118225097656,-4.8951873779296875,-4.89520263671875,-1.52587890625e-05,22.115203857421875,22.115215301513672,1.1444091796875e-05,18.40814971923828,18.40814208984375,-7.62939453125e-06,77.24966430664062,77.24967193603516,7.62939453125e-06,3.5032730102539062,3.503265380859375,0.9504306848392212,0.9504306848392212,1.5340366087489632,9.14737250077094,0,0,0,0,0,0,0,0,1,1,3
42,42,tv042_s042_k4_r0.7,scene_042_9cfbf378fa99d359d5cf,task_level_run02,1461,proxy_joint_positive,4,0.699999988079071,152,1,23.54428482055664,-8.695877075195312,-8.695877075195312,0.0,24.67746353149414,24.677459716796875,-3.814697265625e-06,18.18138885498047,18.181365966796875,-2.288818359375e-05,78.71586608886719,78.71586608886719,0.0,2.6093521118164062,2.6093521118164062,1.4114732699568016,1.4114732699568016,1.7919576906830135,9.437877721083664,0,0,1,0,0,0,0,0,1,1,3
43,43,tv043_s043_k4_r0.7,scene_043_7849a72f6c753b5af559,task_level_run02,1455,proxy_near_boundary,4,0.699999988079071,142,1,31.78203010559082,-4.640800476074219,-4.64080810546875,-7.62939453125e-06,23.520244598388672,23.520221710205078,-2.288818359375e-05,16.215057373046875,16.215072631835938,1.52587890625e-05,77.49087524414062,77.49087524414062,0.0,3.99407958984375,3.99407958984375,2.0030697772704658,2.0030697772704658,2.366286661975077,7.784866910131624,0,0,0,0,0,0,0,0,1,1,3
44,44,tv044_s044_k4_r0.7,scene_044_185c94cb59bae6a85ae8,task_level_run02,1431,proxy_large_scan_risk,4,0.699999988079071,135,1,25.887489318847656,-4.480461120605469,-4.480445861816406,1.52587890625e-05,24.75393295288086,24.753929138183594,-3.814697265625e-06,15.992279052734375,15.992271423339844,-7.62939453125e-06,76.2132339477539,76.21322631835938,-7.62939453125e-06,4.179222106933594,4.179222106933594,2.00176867397502,2.00176867397502,1.5685617976243154,7.433957923897112,0,0,0,0,0,0,0,0,1,1,3
45,45,tv045_s045_k4_r0.8,scene_045_7b434446764ab4cecbca,task_level_run02,1528,proxy_joint_positive,4,0.800000011920929,167,1,17.196489334106445,-5.517822265625,-5.517829895019531,-7.62939453125e-06,23.823265075683594,23.823257446289062,-7.62939453125e-06,16.605926513671875,16.605926513671875,0.0,79.26077270507812,79.26077270507812,0.0,2.640960693359375,2.640960693359375,1.2409181692031352,1.2409181692031352,2.8551696207537915,9.163127618209906,0,0,1,0,0,0,0,0,1,1,3
46,46,tv046_s046_k4_r0.8,scene_046_843919e7e8ab3341c166,task_level_run02,1597,proxy_near_boundary,4,0.800000011920929,167,1,11.813552856445312,-5.629814147949219,-5.629814147949219,0.0,25.169048309326172,25.1690673828125,1.9073486328125e-05,14.921875,14.921836853027344,-3.814697265625e-05,78.09709167480469,78.09709930419922,7.62939453125e-06,3.25958251953125,3.2595672607421875,1.730243722984443,1.730243722984443,0.5762611536851112,9.739312440200193,0,0,0,0,0,0,0,0,1,1,3
47,47,tv047_s047_k4_r0.8,scene_047_9a48779be1f40c1db82b,task_level_run02,1512,proxy_large_scan_risk,4,0.800000011920929,171,1,39.343414306640625,-4.930290222167969,-4.9302825927734375,7.62939453125e-06,26.839126586914062,26.839126586914062,0.0,19.715408325195312,19.715408325195312,0.0,78.31336212158203,78.31336212158203,0.0,1.9845809936523438,1.9845809936523438,2.877704381948797,2.877704381948797,-1.544175177193684,7.862884891360725,1,0,0,0,0,1,0,0,1,1,3
48,48,tv048_s048_k4_r0.9,scene_048_5c7d470f65e045a2aa49,task_level_run02,1633,proxy_joint_positive,4,0.8999999761581421,181,0,13.632284164428711,-10.50140380859375,-10.501426696777344,-2.288818359375e-05,24.815135955810547,24.815093994140625,-4.1961669921875e-05,17.428077697753906,17.428054809570312,-2.288818359375e-05,80.82247924804688,80.82247924804688,0.0,1.6713485717773438,1.6713485717773438,0.6938773797012245,0.6938773797012245,3.3817644795316895,10.401141063687865,0,0,1,0,0,0,0,0,1,1,3
49,49,tv049_s049_k4_r0.9,scene_049_b3e54aeb4664f5588801,task_level_run02,1688,proxy_near_boundary,4,0.8999999761581421,192,1,30.004592895507812,-5.907569885253906,-5.907562255859375,7.62939453125e-06,25.800518035888672,25.80046844482422,-4.9591064453125e-05,20.274024963378906,20.274063110351562,3.814697265625e-05,79.40848541259766,79.40848541259766,0.0,2.027435302734375,2.027435302734375,1.3188517201753525,1.3188517201753525,2.1746998978893566,10.874337179427332,1,1,1,0,0,1,0,1,1,1,5
50,50,tv050_s050_k4_r0.9,scene_050_4e7201e90b25d09b9a1e,task_level_run02,1676,proxy_large_scan_risk,4,0.8999999761581421,186,1,16.084293365478516,-4.216209411621094,-4.216209411621094,0.0,26.990463256835938,26.99048614501953,2.288818359375e-05,16.8167724609375,16.816741943359375,-3.0517578125e-05,78.14318084716797,78.14318084716797,0.0,3.3331451416015625,3.3331451416015625,2.904077063761827,2.904077063761827,1.1035230891819534,8.252540464200269,1,0,0,0,0,1,0,0,1,1,3
51,51,tv051_s051_k4_r1.0,scene_051_73741944419b6c8ef466,task_level_run02,1780,proxy_joint_positive,4,1.0,256,0,19.107898712158203,-11.517913818359375,-11.517936706542969,-2.288818359375e-05,24.71422576904297,24.714210510253906,-1.52587890625e-05,16.877365112304688,16.877365112304688,0.0,82.1048355102539,82.1048355102539,0.0,0.5208969116210938,0.5208892822265625,1.0122858336465919,1.0122858336465919,3.874063622865636,11.243715826117302,0,0,1,0,0,0,0,0,1,1,3
52,52,tv052_s052_k4_r1.0,scene_052_807475834c931beea26a,task_level_run02,1794,proxy_near_boundary,4,1.0,256,1,28.844627380371094,-6.6990509033203125,-6.6990509033203125,0.0,24.44869613647461,24.448692321777344,-3.814697265625e-06,19.15631103515625,19.156326293945312,1.52587890625e-05,80.23667907714844,80.23667907714844,0.0,2.0746078491210938,2.074615478515625,1.190578853944481,1.190578853944481,2.873150278076401,11.083935886515127,0,0,1,0,0,0,0,0,1,1,3
53,53,tv053_s053_k4_r1.0,scene_053_2a58306494693acd7f4d,task_level_run02,1774,proxy_large_scan_risk,4,1.0,256,1,40.21367263793945,-4.419464111328125,-4.419464111328125,0.0,26.41149139404297,26.411460876464844,-3.0517578125e-05,18.34418487548828,18.344200134277344,1.52587890625e-05,79.66900634765625,79.66900634765625,0.0,2.51654052734375,2.51654052734375,2.8423492746787966,2.8423492746787966,1.1069589454141868,9.34600326941496,1,0,0,0,0,1,0,0,1,1,3
54,54,tv054_s054_k6_r0.5,scene_054_66f7f4d53269b7ed00dd,task_level_run02,1830,proxy_joint_positive,6,0.5,97,1,27.88064956665039,-3.6342086791992188,-3.6342315673828125,-2.288818359375e-05,22.979381561279297,22.979400634765625,1.9073486328125e-05,12.160736083984375,12.160728454589844,-7.62939453125e-06,74.42823028564453,74.42822265625,-7.62939453125e-06,3.58544921875,3.5854568481445312,2.5594857694099975,2.5594857694099975,0.5370800467567746,8.036857174197657,0,0,0,0,0,0,0,0,1,1,3
