sample_index,base_sample_index,operator_profile,operator_family,drift_intensity,split,k_value,candidate_count
1401023,422012,frequency_low_x0.20,frequency_low,0.2,train,2,4
1401024,422014,frequency_low_x0.20,frequency_low,0.2,train,2,4
1401025,422015,frequency_low_x0.20,frequency_low,0.2,train,2,4
1401026,422016,frequency_low_x0.20,frequency_low,0.2,test,2,4
1401027,422017,frequency_low_x0.20,frequency_low,0.2,train,2,4
1401028,422018,frequency_low_x0.20,frequency_low,0.2,test,2,4
1401029,422019,frequency_low_x0.20,frequency_low,0.2,train,2,4
1401030,423000,frequency_low_x0.20,frequency_low,0.2,test,4,4
1401031,423002,frequency_low_x0.20,frequency_low,0.2,train,4,4
1401032,423003,frequency_low_x0.20,frequency_low,0.2,test,4,4
1401033,423005,frequency_low_x0.20,frequency_low,0.2,train,4,4
1401034,423006,frequency_low_x0.20,frequency_low,0.2,train,4,4
1401035,423007,frequency_low_x0.20,frequency_low,0.2,train,4,4
1401036,423008,frequency_low_x0.20,frequency_low,0.2,val,4,4
1401037,423009,frequency_low_x0.20,frequency_low,0.2,train,4,4
1401038,423010,frequency_low_x0.20,frequency_low,0.2,val,4,4
1401039,423011,frequency_low_x0.20,frequency_low,0.2,train,4,4
1401040,423012,frequency_low_x0.20,frequency_low,0.2,train,4,4
1401041,423013,frequency_low_x0.20,frequency_low,0.2,train,4,4
1401042,423014,frequency_low_x0.20,frequency_low,0.2,test,4,4
1401043,423015,frequency_low_x0.20,frequency_low,0.2,train,4,4
1401044,423018,frequency_low_x0.20,frequency_low,0.2,train,4,4
1402000,421020,frequency_low_x0.50,frequency_low,0.5,train,6,4
1402001,421021,frequency_low_x0.50,frequency_low,0.5,train,6,4
1402002,421022,frequency_low_x0.50,frequency_low,0.5,train,6,4
1402003,421023,frequency_low_x0.50,frequency_low,0.5,train,6,4
1402004,421024,frequency_low_x0.50,frequency_low,0.5,train,6,4
1402005,421025,frequency_low_x0.50,frequency_low,0.5,test,6,4
1402006,421026,frequency_low_x0.50,frequency_low,0.5,test,6,4
1402007,421029,frequency_low_x0.50,frequency_low,0.5,val,6,4
1402008,421030,frequency_low_x0.50,frequency_low,0.5,train,6,4
1402009,421031,frequency_low_x0.50,frequency_low,0.5,train,6,4
1402010,421033,frequency_low_x0.50,frequency_low,0.5,test,6,4
1402011,421035,frequency_low_x0.50,frequency_low,0.5,train,6,4
1402012,421036,frequency_low_x0.50,frequency_low,0.5,val,6,4
1402013,421037,frequency_low_x0.50,frequency_low,0.5,train,6,4
1402014,421039,frequency_low_x0.50,frequency_low,0.5,train,6,4
1402015,422000,frequency_low_x0.50,frequency_low,0.5,train,2,4
1402016,422003,frequency_low_x0.50,frequency_low,0.5,val,2,4
1402017,422005,frequency_low_x0.50,frequency_low,0.5,train,2,4
1402018,422006,frequency_low_x0.50,frequency_low,0.5,train,2,4
1402019,422007,frequency_low_x0.50,frequency_low,0.5,train,2,4
1402020,422009,frequency_low_x0.50,frequency_low,0.5,train,2,4
1402021,422010,frequency_low_x0.50,frequency_low,0.5,val,2,4
1402022,422011,frequency_low_x0.50,frequency_low,0.5,test,2,4
1402023,422012,frequency_low_x0.50,frequency_low,0.5,train,2,4
1402024,422014,frequency_low_x0.50,frequency_low,0.5,train,2,4
1402025,422015,frequency_low_x0.50,frequency_low,0.5,train,2,4
1402026,422016,frequency_low_x0.50,frequency_low,0.5,test,2,4
1402027,422017,frequency_low_x0.50,frequency_low,0.5,train,2,4
1402028,422018,frequency_low_x0.50,frequency_low,0.5,test,2,4
1402029,422019,frequency_low_x0.50,frequency_low,0.5,train,2,4
1402030,423000,frequency_low_x0.50,frequency_low,0.5,test,4,4
1402031,423002,frequency_low_x0.50,frequency_low,0.5,train,4,4
1402032,423003,frequency_low_x0.50,frequency_low,0.5,test,4,4
1402033,423005,frequency_low_x0.50,frequency_low,0.5,train,4,4
1402034,423006,frequency_low_x0.50,frequency_low,0.5,train,4,4
1402035,423007,frequency_low_x0.50,frequency_low,0.5,train,4,4
1402036,423008,frequency_low_x0.50,frequency_low,0.5,val,4,4
1402037,423009,frequency_low_x0.50,frequency_low,0.5,train,4,4
1402038,423010,frequency_low_x0.50,frequency_low,0.5,val,4,4
1402039,423011,frequency_low_x0.50,frequency_low,0.5,train,4,4
1402040,423012,frequency_low_x0.50,frequency_low,0.5,train,4,4
1402041,423013,frequency_low_x0.50,frequency_low,0.5,train,4,4
1402042,423014,frequency_low_x0.50,frequency_low,0.5,test,4,4
1402043,423015,frequency_low_x0.50,frequency_low,0.5,train,4,4
1402044,423018,frequency_low_x0.50,frequency_low,0.5,train,4,4
1403000,421020,frequency_low_x1.00,frequency_low,1.0,train,6,4
1403001,421021,frequency_low_x1.00,frequency_low,1.0,train,6,4
1403002,421022,frequency_low_x1.00,frequency_low,1.0,train,6,4
1403003,421023,frequency_low_x1.00,frequency_low,1.0,train,6,4
1403004,421024,frequency_low_x1.00,frequency_low,1.0,train,6,4
1403005,421025,frequency_low_x1.00,frequency_low,1.0,test,6,4
1403006,421026,frequency_low_x1.00,frequency_low,1.0,test,6,4
1403007,421029,frequency_low_x1.00,frequency_low,1.0,val,6,4
1403008,421030,frequency_low_x1.00,frequency_low,1.0,train,6,4
1403009,421031,frequency_low_x1.00,frequency_low,1.0,train,6,4
1403010,421033,frequency_low_x1.00,frequency_low,1.0,test,6,4
1403011,421035,frequency_low_x1.00,frequency_low,1.0,train,6,4
1403012,421036,frequency_low_x1.00,frequency_low,1.0,val,6,4
1403013,421037,frequency_low_x1.00,frequency_low,1.0,train,6,4
1403014,421039,frequency_low_x1.00,frequency_low,1.0,train,6,4
1403015,422000,frequency_low_x1.00,frequency_low,1.0,train,2,4
1403016,422003,frequency_low_x1.00,frequency_low,1.0,val,2,4
1403017,422005,frequency_low_x1.00,frequency_low,1.0,train,2,4
1403018,422006,frequency_low_x1.00,frequency_low,1.0,train,2,4
1403019,422007,frequency_low_x1.00,frequency_low,1.0,train,2,4
1403020,422009,frequency_low_x1.00,frequency_low,1.0,train,2,4
1403021,422010,frequency_low_x1.00,frequency_low,1.0,val,2,4
1403022,422011,frequency_low_x1.00,frequency_low,1.0,test,2,4
1403023,422012,frequency_low_x1.00,frequency_low,1.0,train,2,4
1403024,422014,frequency_low_x1.00,frequency_low,1.0,train,2,4
1403025,422015,frequency_low_x1.00,frequency_low,1.0,train,2,4
1403026,422016,frequency_low_x1.00,frequency_low,1.0,test,2,4
1403027,422017,frequency_low_x1.00,frequency_low,1.0,train,2,4
1403028,422018,frequency_low_x1.00,frequency_low,1.0,test,2,4
1403029,422019,frequency_low_x1.00,frequency_low,1.0,train,2,4
1403030,423000,frequency_low_x1.00,frequency_low,1.0,test,4,4
1403031,423002,frequency_low_x1.00,frequency_low,1.0,train,4,4
1403032,423003,frequency_low_x1.00,frequency_low,1.0,test,4,4
1403033,423005,frequency_low_x1.00,frequency_low,1.0,train,4,4
1403034,423006,frequency_low_x1.00,frequency_low,1.0,train,4,4
1403035,423007,frequency_low_x1.00,frequency_low,1.0,train,4,4
1403036,423008,frequency_low_x1.00,frequency_low,1.0,val,4,4
1403037,423009,frequency_low_x1.00,frequency_low,1.0,train,4,4
1403038,423010,frequency_low_x1.00,frequency_low,1.0,val,4,4
1403039,423011,frequency_low_x1.00,frequency_low,1.0,train,4,4
1403040,423012,frequency_low_x1.00,frequency_low,1.0,train,4,4
1403041,423013,frequency_low_x1.00,frequency_low,1.0,train,4,4
1403042,423014,frequency_low_x1.00,frequency_low,1.0,test,4,4
1403043,423015,frequency_low_x1.00,frequency_low,1.0,train,4,4
1403044,423018,frequency_low_x1.00,frequency_low,1.0,train,4,4
1500000,421020,frequency_high_x0.05,frequency_high,0.05,train,6,4
1500001,421021,frequency_high_x0.05,frequency_high,0.05,train,6,4
1500002,421022,frequency_high_x0.05,frequency_high,0.05,train,6,4
1500003,421023,frequency_high_x0.05,frequency_high,0.05,train,6,4
1500004,421024,frequency_high_x0.05,frequency_high,0.05,train,6,4
1500005,421025,frequency_high_x0.05,frequency_high,0.05,test,6,4
1500006,421026,frequency_high_x0.05,frequency_high,0.05,test,6,4
1500007,421029,frequency_high_x0.05,frequency_high,0.05,val,6,4
1500008,421030,frequency_high_x0.05,frequency_high,0.05,train,6,4
1500009,421031,frequency_high_x0.05,frequency_high,0.05,train,6,4
1500010,421033,frequency_high_x0.05,frequency_high,0.05,test,6,4
1500011,421035,frequency_high_x0.05,frequency_high,0.05,train,6,4
1500012,421036,frequency_high_x0.05,frequency_high,0.05,val,6,4
1500013,421037,frequency_high_x0.05,frequency_high,0.05,train,6,4
1500014,421039,frequency_high_x0.05,frequency_high,0.05,train,6,4
1500015,422000,frequency_high_x0.05,frequency_high,0.05,train,2,4
1500016,422003,frequency_high_x0.05,frequency_high,0.05,val,2,4
1500017,422005,frequency_high_x0.05,frequency_high,0.05,train,2,4
1500018,422006,frequency_high_x0.05,frequency_high,0.05,train,2,4
1500019,422007,frequency_high_x0.05,frequency_high,0.05,train,2,4
1500020,422009,frequency_high_x0.05,frequency_high,0.05,train,2,4
1500021,422010,frequency_high_x0.05,frequency_high,0.05,val,2,4
1500022,422011,frequency_high_x0.05,frequency_high,0.05,test,2,4
1500023,422012,frequency_high_x0.05,frequency_high,0.05,train,2,4
1500024,422014,frequency_high_x0.05,frequency_high,0.05,train,2,4
1500025,422015,frequency_high_x0.05,frequency_high,0.05,train,2,4
1500026,422016,frequency_high_x0.05,frequency_high,0.05,test,2,4
1500027,422017,frequency_high_x0.05,frequency_high,0.05,train,2,4
1500028,422018,frequency_high_x0.05,frequency_high,0.05,test,2,4
1500029,422019,frequency_high_x0.05,frequency_high,0.05,train,2,4
1500030,423000,frequency_high_x0.05,frequency_high,0.05,test,4,4
1500031,423002,frequency_high_x0.05,frequency_high,0.05,train,4,4
1500032,423003,frequency_high_x0.05,frequency_high,0.05,test,4,4
1500033,423005,frequency_high_x0.05,frequency_high,0.05,train,4,4
1500034,423006,frequency_high_x0.05,frequency_high,0.05,train,4,4
1500035,423007,frequency_high_x0.05,frequency_high,0.05,train,4,4
1500036,423008,frequency_high_x0.05,frequency_high,0.05,val,4,4
1500037,423009,frequency_high_x0.05,frequency_high,0.05,train,4,4
1500038,423010,frequency_high_x0.05,frequency_high,0.05,val,4,4
1500039,423011,frequency_high_x0.05,frequency_high,0.05,train,4,4
1500040,423012,frequency_high_x0.05,frequency_high,0.05,train,4,4
1500041,423013,frequency_high_x0.05,frequency_high,0.05,train,4,4
1500042,423014,frequency_high_x0.05,frequency_high,0.05,test,4,4
1500043,423015,frequency_high_x0.05,frequency_high,0.05,train,4,4
1500044,423018,frequency_high_x0.05,frequency_high,0.05,train,4,4
1501000,421020,frequency_high_x0.20,frequency_high,0.2,train,6,4
1501001,421021,frequency_high_x0.20,frequency_high,0.2,train,6,4
1501002,421022,frequency_high_x0.20,frequency_high,0.2,train,6,4
1501003,421023,frequency_high_x0.20,frequency_high,0.2,train,6,4
1501004,421024,frequency_high_x0.20,frequency_high,0.2,train,6,4
1501005,421025,frequency_high_x0.20,frequency_high,0.2,test,6,4
1501006,421026,frequency_high_x0.20,frequency_high,0.2,test,6,4
1501007,421029,frequency_high_x0.20,frequency_high,0.2,val,6,4
1501008,421030,frequency_high_x0.20,frequency_high,0.2,train,6,4
1501009,421031,frequency_high_x0.20,frequency_high,0.2,train,6,4
1501010,421033,frequency_high_x0.20,frequency_high,0.2,test,6,4
1501011,421035,frequency_high_x0.20,frequency_high,0.2,train,6,4
1501012,421036,frequency_high_x0.20,frequency_high,0.2,val,6,4
1501013,421037,frequency_high_x0.20,frequency_high,0.2,train,6,4
1501014,421039,frequency_high_x0.20,frequency_high,0.2,train,6,4
1501015,422000,frequency_high_x0.20,frequency_high,0.2,train,2,4
1501016,422003,frequency_high_x0.20,frequency_high,0.2,val,2,4
1501017,422005,frequency_high_x0.20,frequency_high,0.2,train,2,4
1501018,422006,frequency_high_x0.20,frequency_high,0.2,train,2,4
1501019,422007,frequency_high_x0.20,frequency_high,0.2,train,2,4
1501020,422009,frequency_high_x0.20,frequency_high,0.2,train,2,4
1501021,422010,frequency_high_x0.20,frequency_high,0.2,val,2,4
1501022,422011,frequency_high_x0.20,frequency_high,0.2,test,2,4
1501023,422012,frequency_high_x0.20,frequency_high,0.2,train,2,4
1501024,422014,frequency_high_x0.20,frequency_high,0.2,train,2,4
1501025,422015,frequency_high_x0.20,frequency_high,0.2,train,2,4
1501026,422016,frequency_high_x0.20,frequency_high,0.2,test,2,4
1501027,422017,frequency_high_x0.20,frequency_high,0.2,train,2,4
1501028,422018,frequency_high_x0.20,frequency_high,0.2,test,2,4
1501029,422019,frequency_high_x0.20,frequency_high,0.2,train,2,4
1501030,423000,frequency_high_x0.20,frequency_high,0.2,test,4,4
1501031,423002,frequency_high_x0.20,frequency_high,0.2,train,4,4
1501032,423003,frequency_high_x0.20,frequency_high,0.2,test,4,4
1501033,423005,frequency_high_x0.20,frequency_high,0.2,train,4,4
1501034,423006,frequency_high_x0.20,frequency_high,0.2,train,4,4
1501035,423007,frequency_high_x0.20,frequency_high,0.2,train,4,4
1501036,423008,frequency_high_x0.20,frequency_high,0.2,val,4,4
1501037,423009,frequency_high_x0.20,frequency_high,0.2,train,4,4
1501038,423010,frequency_high_x0.20,frequency_high,0.2,val,4,4
1501039,423011,frequency_high_x0.20,frequency_high,0.2,train,4,4
1501040,423012,frequency_high_x0.20,frequency_high,0.2,train,4,4
1501041,423013,frequency_high_x0.20,frequency_high,0.2,train,4,4
1501042,423014,frequency_high_x0.20,frequency_high,0.2,test,4,4
1501043,423015,frequency_high_x0.20,frequency_high,0.2,train,4,4
1501044,423018,frequency_high_x0.20,frequency_high,0.2,train,4,4
1502000,421020,frequency_high_x0.50,frequency_high,0.5,train,6,4
1502001,421021,frequency_high_x0.50,frequency_high,0.5,train,6,4
1502002,421022,frequency_high_x0.50,frequency_high,0.5,train,6,4
1502003,421023,frequency_high_x0.50,frequency_high,0.5,train,6,4
1502004,421024,frequency_high_x0.50,frequency_high,0.5,train,6,4
1502005,421025,frequency_high_x0.50,frequency_high,0.5,test,6,4
1502006,421026,frequency_high_x0.50,frequency_high,0.5,test,6,4
1502007,421029,frequency_high_x0.50,frequency_high,0.5,val,6,4
1502008,421030,frequency_high_x0.50,frequency_high,0.5,train,6,4
1502009,421031,frequency_high_x0.50,frequency_high,0.5,train,6,4
1502010,421033,frequency_high_x0.50,frequency_high,0.5,test,6,4
1502011,421035,frequency_high_x0.50,frequency_high,0.5,train,6,4
1502012,421036,frequency_high_x0.50,frequency_high,0.5,val,6,4
1502013,421037,frequency_high_x0.50,frequency_high,0.5,train,6,4
1502014,421039,frequency_high_x0.50,frequency_high,0.5,train,6,4
1502015,422000,frequency_high_x0.50,frequency_high,0.5,train,2,4
1502016,422003,frequency_high_x0.50,frequency_high,0.5,val,2,4
1502017,422005,frequency_high_x0.50,frequency_high,0.5,train,2,4
1502018,422006,frequency_high_x0.50,frequency_high,0.5,train,2,4
1502019,422007,frequency_high_x0.50,frequency_high,0.5,train,2,4
1502020,422009,frequency_high_x0.50,frequency_high,0.5,train,2,4
1502021,422010,frequency_high_x0.50,frequency_high,0.5,val,2,4
1502022,422011,frequency_high_x0.50,frequency_high,0.5,test,2,4
1502023,422012,frequency_high_x0.50,frequency_high,0.5,train,2,4
1502024,422014,frequency_high_x0.50,frequency_high,0.5,train,2,4
1502025,422015,frequency_high_x0.50,frequency_high,0.5,train,2,4
1502026,422016,frequency_high_x0.50,frequency_high,0.5,test,2,4
1502027,422017,frequency_high_x0.50,frequency_high,0.5,train,2,4
1502028,422018,frequency_high_x0.50,frequency_high,0.5,test,2,4
1502029,422019,frequency_high_x0.50,frequency_high,0.5,train,2,4
1502030,423000,frequency_high_x0.50,frequency_high,0.5,test,4,4
1502031,423002,frequency_high_x0.50,frequency_high,0.5,train,4,4
1502032,423003,frequency_high_x0.50,frequency_high,0.5,test,4,4
1502033,423005,frequency_high_x0.50,frequency_high,0.5,train,4,4
1502034,423006,frequency_high_x0.50,frequency_high,0.5,train,4,4
1502035,423007,frequency_high_x0.50,frequency_high,0.5,train,4,4
1502036,423008,frequency_high_x0.50,frequency_high,0.5,val,4,4
1502037,423009,frequency_high_x0.50,frequency_high,0.5,train,4,4
1502038,423010,frequency_high_x0.50,frequency_high,0.5,val,4,4
1502039,423011,frequency_high_x0.50,frequency_high,0.5,train,4,4
1502040,423012,frequency_high_x0.50,frequency_high,0.5,train,4,4
1502041,423013,frequency_high_x0.50,frequency_high,0.5,train,4,4
1502042,423014,frequency_high_x0.50,frequency_high,0.5,test,4,4
1502043,423015,frequency_high_x0.50,frequency_high,0.5,train,4,4
1502044,423018,frequency_high_x0.50,frequency_high,0.5,train,4,4
1503000,421020,frequency_high_x1.00,frequency_high,1.0,train,6,4
1503001,421021,frequency_high_x1.00,frequency_high,1.0,train,6,4
1503002,421022,frequency_high_x1.00,frequency_high,1.0,train,6,4
1503003,421023,frequency_high_x1.00,frequency_high,1.0,train,6,4
1503004,421024,frequency_high_x1.00,frequency_high,1.0,train,6,4
1503005,421025,frequency_high_x1.00,frequency_high,1.0,test,6,4
1503006,421026,frequency_high_x1.00,frequency_high,1.0,test,6,4
1503007,421029,frequency_high_x1.00,frequency_high,1.0,val,6,4
1503008,421030,frequency_high_x1.00,frequency_high,1.0,train,6,4
1503009,421031,frequency_high_x1.00,frequency_high,1.0,train,6,4
1503010,421033,frequency_high_x1.00,frequency_high,1.0,test,6,4
1503011,421035,frequency_high_x1.00,frequency_high,1.0,train,6,4
1503012,421036,frequency_high_x1.00,frequency_high,1.0,val,6,4
1503013,421037,frequency_high_x1.00,frequency_high,1.0,train,6,4
1503014,421039,frequency_high_x1.00,frequency_high,1.0,train,6,4
1503015,422000,frequency_high_x1.00,frequency_high,1.0,train,2,4
1503016,422003,frequency_high_x1.00,frequency_high,1.0,val,2,4
1503017,422005,frequency_high_x1.00,frequency_high,1.0,train,2,4
1503018,422006,frequency_high_x1.00,frequency_high,1.0,train,2,4
1503019,422007,frequency_high_x1.00,frequency_high,1.0,train,2,4
1503020,422009,frequency_high_x1.00,frequency_high,1.0,train,2,4
1503021,422010,frequency_high_x1.00,frequency_high,1.0,val,2,4
1503022,422011,frequency_high_x1.00,frequency_high,1.0,test,2,4
1503023,422012,frequency_high_x1.00,frequency_high,1.0,train,2,4
1503024,422014,frequency_high_x1.00,frequency_high,1.0,train,2,4
1503025,422015,frequency_high_x1.00,frequency_high,1.0,train,2,4
1503026,422016,frequency_high_x1.00,frequency_high,1.0,test,2,4
1503027,422017,frequency_high_x1.00,frequency_high,1.0,train,2,4
1503028,422018,frequency_high_x1.00,frequency_high,1.0,test,2,4
1503029,422019,frequency_high_x1.00,frequency_high,1.0,train,2,4
1503030,423000,frequency_high_x1.00,frequency_high,1.0,test,4,4
1503031,423002,frequency_high_x1.00,frequency_high,1.0,train,4,4
1503032,423003,frequency_high_x1.00,frequency_high,1.0,test,4,4
1503033,423005,frequency_high_x1.00,frequency_high,1.0,train,4,4
1503034,423006,frequency_high_x1.00,frequency_high,1.0,train,4,4
1503035,423007,frequency_high_x1.00,frequency_high,1.0,train,4,4
1503036,423008,frequency_high_x1.00,frequency_high,1.0,val,4,4
1503037,423009,frequency_high_x1.00,frequency_high,1.0,train,4,4
1503038,423010,frequency_high_x1.00,frequency_high,1.0,val,4,4
1503039,423011,frequency_high_x1.00,frequency_high,1.0,train,4,4
1503040,423012,frequency_high_x1.00,frequency_high,1.0,train,4,4
1503041,423013,frequency_high_x1.00,frequency_high,1.0,train,4,4
1503042,423014,frequency_high_x1.00,frequency_high,1.0,test,4,4
1503043,423015,frequency_high_x1.00,frequency_high,1.0,train,4,4
1503044,423018,frequency_high_x1.00,frequency_high,1.0,train,4,4
1600000,421020,patch_length_low_x0.05,patch_length_low,0.05,train,6,4
1600001,421021,patch_length_low_x0.05,patch_length_low,0.05,train,6,4
1600002,421022,patch_length_low_x0.05,patch_length_low,0.05,train,6,4
1600003,421023,patch_length_low_x0.05,patch_length_low,0.05,train,6,4
1600004,421024,patch_length_low_x0.05,patch_length_low,0.05,train,6,4
1600005,421025,patch_length_low_x0.05,patch_length_low,0.05,test,6,4
1600006,421026,patch_length_low_x0.05,patch_length_low,0.05,test,6,4
1600007,421029,patch_length_low_x0.05,patch_length_low,0.05,val,6,4
1600008,421030,patch_length_low_x0.05,patch_length_low,0.05,train,6,4
1600009,421031,patch_length_low_x0.05,patch_length_low,0.05,train,6,4
1600010,421033,patch_length_low_x0.05,patch_length_low,0.05,test,6,4
1600011,421035,patch_length_low_x0.05,patch_length_low,0.05,train,6,4
1600012,421036,patch_length_low_x0.05,patch_length_low,0.05,val,6,4
1600013,421037,patch_length_low_x0.05,patch_length_low,0.05,train,6,4
1600014,421039,patch_length_low_x0.05,patch_length_low,0.05,train,6,4
1600015,422000,patch_length_low_x0.05,patch_length_low,0.05,train,2,4
1600016,422003,patch_length_low_x0.05,patch_length_low,0.05,val,2,4
1600017,422005,patch_length_low_x0.05,patch_length_low,0.05,train,2,4
1600018,422006,patch_length_low_x0.05,patch_length_low,0.05,train,2,4
1600019,422007,patch_length_low_x0.05,patch_length_low,0.05,train,2,4
1600020,422009,patch_length_low_x0.05,patch_length_low,0.05,train,2,4
1600021,422010,patch_length_low_x0.05,patch_length_low,0.05,val,2,4
1600022,422011,patch_length_low_x0.05,patch_length_low,0.05,test,2,4
1600023,422012,patch_length_low_x0.05,patch_length_low,0.05,train,2,4
1600024,422014,patch_length_low_x0.05,patch_length_low,0.05,train,2,4
1600025,422015,patch_length_low_x0.05,patch_length_low,0.05,train,2,4
1600026,422016,patch_length_low_x0.05,patch_length_low,0.05,test,2,4
1600027,422017,patch_length_low_x0.05,patch_length_low,0.05,train,2,4
1600028,422018,patch_length_low_x0.05,patch_length_low,0.05,test,2,4
1600029,422019,patch_length_low_x0.05,patch_length_low,0.05,train,2,4
1600030,423000,patch_length_low_x0.05,patch_length_low,0.05,test,4,4
1600031,423002,patch_length_low_x0.05,patch_length_low,0.05,train,4,4
1600032,423003,patch_length_low_x0.05,patch_length_low,0.05,test,4,4
1600033,423005,patch_length_low_x0.05,patch_length_low,0.05,train,4,4
1600034,423006,patch_length_low_x0.05,patch_length_low,0.05,train,4,4
1600035,423007,patch_length_low_x0.05,patch_length_low,0.05,train,4,4
1600036,423008,patch_length_low_x0.05,patch_length_low,0.05,val,4,4
1600037,423009,patch_length_low_x0.05,patch_length_low,0.05,train,4,4
1600038,423010,patch_length_low_x0.05,patch_length_low,0.05,val,4,4
1600039,423011,patch_length_low_x0.05,patch_length_low,0.05,train,4,4
1600040,423012,patch_length_low_x0.05,patch_length_low,0.05,train,4,4
1600041,423013,patch_length_low_x0.05,patch_length_low,0.05,train,4,4
1600042,423014,patch_length_low_x0.05,patch_length_low,0.05,test,4,4
1600043,423015,patch_length_low_x0.05,patch_length_low,0.05,train,4,4
1600044,423018,patch_length_low_x0.05,patch_length_low,0.05,train,4,4
1601000,421020,patch_length_low_x0.20,patch_length_low,0.2,train,6,4
