sample_index,scene_origin,k_value,envelope,robust_oracle_pass,minimum_feasible_ratio,best_candidate_source,best_evaluation_index,best_worst_margin_db
422016,existing45,2,E2,1,0.5,adversarial_multi_corner_refinement,1304,0.20099014043807983
422016,existing45,2,E3,0,nan,hard_positive_swap_00,29,-8.039661407470703
422017,existing45,2,E1,1,0.5,mirrored_pair,157,0.4556957483291626
422017,existing45,2,E2,1,0.5,adversarial_multi_corner_refinement,1309,0.26651763916015625
422017,existing45,2,E3,0,nan,adversarial_multi_corner_refinement,1308,-7.239339828491211
422018,existing45,2,E1,1,0.5,adversarial_multi_corner_refinement,1312,0.462982177734375
422018,existing45,2,E2,1,0.5,E2_active_rl_guided_mask_rescue,rescue_361,0.29442721605300903
422018,existing45,2,E3,0,nan,adversarial_multi_corner_refinement,1312,-11.790210723876953
422019,existing45,2,E1,1,0.5,adversarial_multi_corner_refinement,1317,0.44464874267578125
422019,existing45,2,E2,1,0.6000000238418579,adversarial_multi_corner_refinement,1317,0.28862762451171875
422019,existing45,2,E3,0,nan,local_swap_augment_00,67,-7.6390604972839355
423000,existing45,4,E1,1,0.5,E2_active_rl_guided_mask_rescue,rescue_407,0.47940826416015625
423000,existing45,4,E2,1,0.5,E2_active_rl_guided_mask_rescue,rescue_384,0.1410364806652069
423000,existing45,4,E3,0,nan,hard_positive_swap_03,254,-13.437292098999023
423002,existing45,4,E1,1,0.5,adversarial_multi_corner_refinement,1327,0.4646148681640625
423002,existing45,4,E2,1,0.6000000238418579,adversarial_multi_corner_refinement,1325,0.29251861572265625
423002,existing45,4,E3,0,nan,adversarial_multi_corner_refinement,1324,-9.657532691955566
423003,existing45,4,E1,1,0.5,hard_positive_neighbor_03,468,0.45142364501953125
423003,existing45,4,E2,1,0.6000000238418579,adversarial_multi_corner_refinement,1329,0.23413848876953125
423003,existing45,4,E3,0,nan,continuation_swap_01,467,-11.897663116455078
423005,existing45,4,E1,1,0.5,adversarial_multi_corner_refinement,1335,0.463287353515625
423005,existing45,4,E2,1,0.6000000238418579,adversarial_multi_corner_refinement,1333,0.09182378649711609
423005,existing45,4,E3,0,nan,hard_positive_neighbor_02,402,-8.429821968078613
423006,existing45,4,E1,1,0.5,E2_active_rl_guided_mask_rescue,rescue_437,0.47148895263671875
423006,existing45,4,E2,1,0.5,E2_active_rl_guided_mask_rescue,rescue_416,0.2302708476781845
423006,existing45,4,E3,0,nan,E2_active_rl_guided_mask_rescue,rescue_429,-10.085763931274414
423007,existing45,4,E1,1,0.5,adversarial_multi_corner_refinement,1340,0.47835540771484375
423007,existing45,4,E2,1,0.6000000238418579,adversarial_multi_corner_refinement,1341,0.03265279158949852
423007,existing45,4,E3,0,nan,hard_positive_swap_02,273,-5.8499755859375
423008,existing45,4,E1,1,0.5,adversarial_multi_corner_refinement,1346,0.46633148193359375
423008,existing45,4,E2,1,0.5,adversarial_multi_corner_refinement,1344,0.23309436440467834
423008,existing45,4,E3,0,nan,hard_positive_swap_00,288,-7.267818927764893
423009,existing45,4,E1,1,0.5,E2_active_rl_guided_mask_rescue,rescue_451,0.47939300537109375
423009,existing45,4,E2,1,0.5,E2_active_rl_guided_mask_rescue,rescue_459,0.25234729051589966
423009,existing45,4,E3,0,nan,hard_positive_neighbor_03,449,-6.434852123260498
423010,existing45,4,E1,1,0.5,adversarial_multi_corner_refinement,1353,0.4637451171875
423010,existing45,4,E2,1,0.5,adversarial_multi_corner_refinement,1352,0.26824188232421875
423010,existing45,4,E3,0,nan,continuation_swap_02,419,-12.676261901855469
423011,existing45,4,E1,1,0.5,adversarial_multi_corner_refinement,1359,0.46588134765625
423011,existing45,4,E2,1,0.5,adversarial_multi_corner_refinement,1356,0.28519439697265625
423011,existing45,4,E3,0,nan,hard_positive_swap_02,306,-6.989861011505127
423012,existing45,4,E1,1,0.5,adversarial_multi_corner_refinement,1360,0.4588165283203125
423012,existing45,4,E2,1,0.5,adversarial_multi_corner_refinement,1360,0.28118133544921875
423012,existing45,4,E3,0,nan,hard_positive_swap_02,353,-6.709386825561523
423013,existing45,4,E1,1,0.5,adversarial_multi_corner_refinement,1364,0.4736480712890625
423013,existing45,4,E2,1,0.5,E2_active_rl_guided_mask_rescue,rescue_483,0.26611328125
423013,existing45,4,E3,0,nan,continuation_swap_02,323,-12.377079010009766
423014,existing45,4,E1,1,0.5,adversarial_multi_corner_refinement,1369,0.4669647216796875
423014,existing45,4,E2,1,0.5,E2_active_rl_guided_mask_rescue,rescue_517,0.24237596988677979
423014,existing45,4,E3,0,nan,parent_normalized,368,-7.071521759033203
423015,existing45,4,E1,1,0.5,adversarial_multi_corner_refinement,1372,0.46909332275390625
423015,existing45,4,E2,1,0.5,adversarial_multi_corner_refinement,1372,0.22193145751953125
423015,existing45,4,E3,0,nan,adversarial_multi_corner_refinement,1372,-11.244948387145996
423018,existing45,4,E1,1,0.5,E2_active_rl_guided_mask_rescue,rescue_565,0.47510528564453125
423018,existing45,4,E2,0,nan,E2_active_rl_guided_mask_rescue,rescue_549,-0.0028734628576785326
423018,existing45,4,E3,0,nan,local_swap_augment_05,259,-6.366158962249756
426100,new30,2,E1,1,0.5,adversarial_multi_corner_refinement,1382,0.4584808349609375
426100,new30,2,E2,1,0.5,adversarial_multi_corner_refinement,1380,0.044552434235811234
426100,new30,2,E3,0,nan,hard_positive_swap_03,729,-7.725679874420166
426101,new30,2,E1,1,0.5,center_density,748,0.44480133056640625
426101,new30,2,E2,1,0.5,adversarial_multi_corner_refinement,1384,0.3268890380859375
426101,new30,2,E3,0,nan,hard_positive_swap_00,738,-9.054794311523438
426102,new30,2,E1,1,0.5,adversarial_multi_corner_refinement,1390,0.4608001708984375
426102,new30,2,E2,1,0.5,adversarial_multi_corner_refinement,1389,0.22595621645450592
426102,new30,2,E3,0,nan,ring_quadrant,764,-9.506126403808594
426103,new30,2,E1,1,0.5,hard_positive_swap_03,782,0.45912933349609375
426103,new30,2,E2,1,0.5,adversarial_multi_corner_refinement,1392,0.30977630615234375
426103,new30,2,E3,0,nan,mirrored_pair,780,-8.526583671569824
426104,new30,2,E1,1,0.5,adversarial_multi_corner_refinement,1399,0.4608917236328125
426104,new30,2,E2,1,0.5,adversarial_multi_corner_refinement,1396,0.33586883544921875
426104,new30,2,E3,0,nan,power_top,792,-6.687816619873047
426105,new30,2,E1,1,0.5,ratio_continuation_00,812,0.45111846923828125
426105,new30,2,E2,1,0.5,adversarial_multi_corner_refinement,1400,0.2921295166015625
426105,new30,2,E3,0,nan,hard_positive_neighbor_00,800,-9.936686515808105
426106,new30,2,E1,1,0.5,adversarial_multi_corner_refinement,1406,0.47200775146484375
426106,new30,2,E2,1,0.5,adversarial_multi_corner_refinement,1404,0.35736846923828125
426106,new30,2,E3,0,nan,ratio_continuation_02,829,-6.689541816711426
426107,new30,2,E1,1,0.5,hard_positive_swap_02,841,0.45037078857421875
426107,new30,2,E2,1,0.5,adversarial_multi_corner_refinement,1409,0.31034088134765625
426107,new30,2,E3,0,nan,ratio_continuation_00,843,-8.280116081237793
426108,new30,2,E1,1,0.5,adversarial_multi_corner_refinement,1414,0.4650726318359375
426108,new30,2,E2,1,0.5,adversarial_multi_corner_refinement,1412,0.21307043731212616
426108,new30,2,E3,0,nan,ratio_continuation_00,859,-9.527339935302734
426109,new30,2,E1,1,0.5,adversarial_multi_corner_refinement,1416,0.447509765625
426109,new30,2,E2,1,0.5,adversarial_multi_corner_refinement,1416,0.29345703125
426109,new30,2,E3,0,nan,ratio_continuation_02,875,-13.094559669494629
426110,new30,4,E1,1,0.5,adversarial_multi_corner_refinement,1423,0.47245025634765625
426110,new30,4,E2,1,0.5,adversarial_multi_corner_refinement,1422,0.28093892335891724
426110,new30,4,E3,0,nan,hard_positive_swap_03,894,-6.398586273193359
426111,new30,4,E1,1,0.5,adversarial_multi_corner_refinement,1427,0.4579010009765625
426111,new30,4,E2,1,0.5,adversarial_multi_corner_refinement,1424,0.3118000328540802
426111,new30,4,E3,0,nan,hard_positive_neighbor_03,901,-10.688730239868164
426112,new30,4,E1,1,0.5,adversarial_multi_corner_refinement,1431,0.4732666015625
426112,new30,4,E2,1,0.5,adversarial_multi_corner_refinement,1428,0.03125276789069176
426112,new30,4,E3,0,nan,ratio_continuation_02,921,-6.866751670837402
426113,new30,4,E1,1,0.5,adversarial_multi_corner_refinement,1434,0.47003173828125
426113,new30,4,E2,1,0.5,adversarial_multi_corner_refinement,1433,0.3006439208984375
426113,new30,4,E3,0,nan,local_swap_04,939,-10.678215980529785
426114,new30,4,E1,1,0.5,adversarial_multi_corner_refinement,1438,0.470703125
426114,new30,4,E2,1,0.5,adversarial_multi_corner_refinement,1436,0.20843982696533203
426114,new30,4,E3,0,nan,hard_positive_swap_03,957,-6.608586311340332
426115,new30,4,E1,1,0.5,adversarial_multi_corner_refinement,1442,0.4647064208984375
426115,new30,4,E2,1,0.5,adversarial_multi_corner_refinement,1440,0.2408067286014557
426115,new30,4,E3,0,nan,ratio_continuation_02,967,-8.63381576538086
426116,new30,4,E1,1,0.5,adversarial_multi_corner_refinement,1447,0.4638214111328125
426116,new30,4,E2,1,0.5,adversarial_multi_corner_refinement,1444,0.34139251708984375
426116,new30,4,E3,0,nan,adversarial_multi_corner_refinement,1444,-7.030198097229004
426117,new30,4,E1,1,0.5,adversarial_multi_corner_refinement,1449,0.46674346923828125
426117,new30,4,E2,1,0.5,adversarial_multi_corner_refinement,1448,0.04813161492347717
426117,new30,4,E3,0,nan,adversarial_multi_corner_refinement,1448,-7.369219779968262
426118,new30,4,E1,1,0.5,adversarial_multi_corner_refinement,1452,0.4604949951171875
426118,new30,4,E2,1,0.5,adversarial_multi_corner_refinement,1452,0.1354406476020813
426118,new30,4,E3,0,nan,continuation_swap_01,1018,-12.867264747619629
426119,new30,4,E1,1,0.5,adversarial_multi_corner_refinement,1458,0.474822998046875
426119,new30,4,E2,1,0.6000000238418579,adversarial_multi_corner_refinement,1457,0.04956413060426712
426119,new30,4,E3,0,nan,local_swap_06,1030,-8.026095390319824
426120,new30,6,E1,1,0.800000011920929,K6_multifrequency_combined_mainlobe_reserve,qmf_155,0.46610260009765625
426120,new30,6,E2,1,0.800000011920929,K6_multifrequency_combined_mainlobe_reserve,qmf_154,0.334747314453125
426120,new30,6,E3,0,nan,K6_multifrequency_combined_mainlobe_reserve,qmf_146,-12.888842582702637
426121,new30,6,E1,1,0.5,adversarial_multi_corner_refinement,1466,0.44066619873046875
426121,new30,6,E2,1,0.5,adversarial_multi_corner_refinement,1464,0.34738922119140625
426121,new30,6,E3,0,nan,ratio_continuation_03,1070,-6.315134048461914
426122,new30,6,E1,1,0.6000000238418579,K6_multifrequency_combined_mainlobe_reserve,mf_284,0.44325387477874756
426122,new30,6,E2,1,0.6000000238418579,K6_multifrequency_combined_mainlobe_reserve,mf_268,0.20094095170497894
426122,new30,6,E3,0,nan,K6_multifrequency_combined_mainlobe_reserve,mf_259,-6.546175479888916
426123,new30,6,E1,1,0.5,adversarial_multi_corner_refinement,1472,0.4604034423828125
426123,new30,6,E2,1,0.5,adversarial_multi_corner_refinement,1472,0.04545469954609871
426123,new30,6,E3,0,nan,hard_positive_neighbor_02,1098,-14.25489330291748
426124,new30,6,E1,1,0.800000011920929,K6_multifrequency_combined_mainlobe_reserve,mf_316,0.4626007080078125
426124,new30,6,E2,1,0.800000011920929,K6_multifrequency_combined_mainlobe_reserve,mf_317,0.20805078744888306
426124,new30,6,E3,0,nan,K6_multifrequency_combined_mainlobe_reserve,mf_299,-6.817464828491211
426125,new30,6,E1,1,0.5,K6_multifrequency_combined_mainlobe_reserve,qmf_186,0.45001983642578125
426125,new30,6,E2,1,0.6000000238418579,K6_multifrequency_combined_mainlobe_reserve,qmf_190,0.35561370849609375
426125,new30,6,E3,0,nan,K6_multifrequency_combined_mainlobe_reserve,mf_327,-12.885485649108887
426126,new30,6,E1,1,0.5,K6_multifrequency_combined_mainlobe_reserve,mf_369,0.4728240966796875
426126,new30,6,E2,1,0.699999988079071,K6_multifrequency_combined_mainlobe_reserve,mf_374,0.33162689208984375
426126,new30,6,E3,0,nan,K6_multifrequency_combined_mainlobe_reserve,mf_356,-9.078889846801758
426127,new30,6,E1,1,0.6000000238418579,adversarial_multi_corner_refinement,1490,0.36626794934272766
426127,new30,6,E2,1,0.699999988079071,adversarial_multi_corner_refinement,1490,0.02733786031603813
426127,new30,6,E3,0,nan,ratio_continuation_00,1165,-12.042784690856934
426128,new30,6,E1,1,0.5,adversarial_multi_corner_refinement,1493,0.445068359375
426128,new30,6,E2,1,0.5,adversarial_multi_corner_refinement,1492,0.07132849842309952
426128,new30,6,E3,0,nan,ring_quadrant,1176,-10.9991455078125
426129,new30,6,E1,1,0.5,adversarial_multi_corner_refinement,1496,0.46306610107421875
426129,new30,6,E2,1,0.5,adversarial_multi_corner_refinement,1496,0.16231238842010498
426129,new30,6,E3,0,nan,adversarial_multi_corner_refinement,1496,-7.276899814605713
